bioproject,project_name,manual_annot,is_pig_assoc
PRJNA629394,"",Matagenomic data from mangrve sediment microbiome along South China,0
PRJEB31019,"",Simulations developed to emulate metagenomic cancer tissue sequence data.,0
PRJEB4352,"",Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,0
PRJEB31266,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]",Metagenomic sequencing of the rumen of 240 cattle from Scotland,1
PRJNA957716,"",Microbiomes and viromes in mudflat intertidal sediments along the Chinese coasts,0
PRJEB9691,"",Shotgun Sequencing of Tara Oceans Polar Circle DNA samples corresponding to size fractions for protists.,0
PRJNA352737,"",A time-resolved deep metagenomic survey of bacterioplankton from the oceans surface to a depth of 1000 m in the North Pacific Subtropical Gyre at Station ALOHA collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.,0
PRJEB34634,"[""REHAB""]",Detailed study at the genetic level at bacteria in farm animals human/animal sewage sewage treatment works and rivers to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes,1
PRJEB1787,"[""Tara Oceans expedition (2009-2013)""]",Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes.,0
PRJEB9691,"[""Tara Oceans Expedition (2009-2013)""]",Shotgun Sequencing of Tara Oceans Polar Circle DNA samples corresponding to size fractions for protists.,0
PRJNA1128851,"",Key Roles of Microbial Sulfur and Ammonium Oxidizers in Determining the Coastal Seafloor Ecological State,0
PRJNA949377,"",Sequencing data from multi-point sampling of high-density time series in subtropical drowned-valley Daya Bay,0
PRJEB1787,"[""Tara Oceans""]",Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes.,0
PRJNA356291,"",bovine fecal metagenome raw sequence reads,1
PRJEB21508,"[""Ruminomics EU FP7""]",Deep metagenome sequencing of European cows rumen samples,1
PRJNA982563,"",We collected skin and environmental samples to explore the impact of daily occupational exposure in swine farms on human skin microbiomes.,1
PRJEB4352,"[""Tara Oceans expedition (2009-2013)""]",Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,0
PRJNA379303,"",The objective of this study was to evaluate the impact of natural and organic rearing methods on the amount and type of antibiotic resistance genes (resistome) of feces and environmental samples in feedlot and dairy farms.,1
PRJEB4352,"[""Tara Oceans""]",Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,0
