acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR8436516,PRJNA502373,seawater metagenome,8,other,28210,"[""not applicable""]",,Seawater microbial communities from Amundsen Gulf Northwest Territories Canada - Cases_109_9,0
SRR9651508,PRJNA539066,wetland metagenome,9,other,88209,,,Wetland soil microbial communities from Old Woman Creek delta Ohio United States - OWC_soil_day20_CT metagenome,0
SRR3181140,PRJNA309291,bovine gut metagenome,11,other,15442,"[""Bos taurus""]",,cow gut,1
SRR11615638,PRJNA620681,soil metagenome,9,other,48419,"[""not applicable""]",,Soil microbial communities from Everglades Agricultural Area Florida United States - EAA2017_Dec_plot3_rep3,1
SRR4435568,PRJNA214227,bovine gut metagenome,8,other,10036,"[""Bison bison""]",,Metagenomic survey sequencing of O. aries rumen microflora,1
SRR3181120,PRJNA309291,bovine gut metagenome,8,other,9721,"[""Bos taurus""]",,Cattle feces Metagenome,1
SRR17418342,PRJNA792486,goat gut metagenome,13,other,27528,"[""Black goat""]",,goat gut metagenome,1
SRR20217184,PRJNA808857,freshwater sediment metagenome,8,other,50894,,,Shotgun metagenome sequencing of the sediment of the Otemma glacier stream,0
SRR30201830,PRJNA1146790,anaerobic digester metagenome,16,other,12892,"[""Sus scrofa""]",,Multi omics reveals that dietary fiber affects growth and slaughter performance by altering intestinal microbial composition and metabolomic profiles in Durco and Bamei crossbred pig,1
SRR30531164,PRJNA1122929,marine metagenome,8,other,21355,,,Environmental sequences from Australian terrestrial and marine sources - marine metagenome,0
SRR7638735,PRJNA484080,bioreactor metagenome,16,other,4219,"[""not collected""]",,(unnanotated),""
SRR13433997,PRJNA691977,bovine gut metagenome,13,other,39756,"[""Bos taurus""]",,(unnanotated),""
SRR12825389,PRJNA668816,sediment metagenome,9,other,21610,,,(unnanotated),""
SRR16183341,PRJNA768333,African swine fever virus,9,other,9051,"[""Sus scrofa""]",,(unnanotated),""
SRR7091410,PRJNA441430,rhizosphere metagenome,8,other,27816,"[""Vellozia epidendroides""]",,(unnanotated),""
SRR7145724,PRJNA470703,mixed sample,12,other,56115,"[""HeLa""]",,(unnanotated),""
SRR27069942,PRJNA1048085,freshwater sediment metagenome,16,other,86400,,,(unnanotated),""
SRR15377920,PRJNA714922,soil metagenome,11,other,63525,,,(unnanotated),""
SRR9616656,PRJNA539313,sediment metagenome,12,other,54863,"[""not applicable""]",,(unnanotated),""
SRR28378877,PRJNA1088235,bovine gut metagenome,8,other,14223,"[""Cattle""]",,(unnanotated),""
SRR16608036,PRJNA775848,soil metagenome,8,other,23957,,,(unnanotated),""
SRR18644954,PRJNA823681,plant metagenome,8,other,13835,"[""Sonneratia alba""]",,(unnanotated),""
SRR8550535,PRJNA521034,lake water metagenome,16,other,125446,"[""Water""]",,(unnanotated),""
SRR636559,PRJNA183510,hydrocarbon metagenome,14,other,117621,,"[""SCADC metagenome""]",(unnanotated),""
SRR5195141,PRJNA362455,rhizosphere metagenome,9,other,34853,,,(unnanotated),""
SRR9663098,PRJNA539363,marine metagenome,13,other,31599,"[""not applicable""]",,(unnanotated),""
SRR22388322,PRJNA858913,groundwater metagenome,11,other,32170,,,(unnanotated),""
ERR7438476,PRJEB48889,Rinodina peloleuca,16,other,11364,,,(unnanotated),""
SRR9045291,PRJNA539070,rhizosphere metagenome,13,other,27570,"[""Juncus roemerianus""]",,(unnanotated),""
SRR7097860,PRJNA441489,soil metagenome,10,other,45606,"[""not applicable""]",,(unnanotated),""
SRR11696408,PRJNA621494,wetland metagenome,13,other,25301,"[""not applicable""]",,(unnanotated),""
SRR8144090,PRJNA503328,Bolivina costata,12,other,48783,,,(unnanotated),""
SRR3715698,PRJNA326769,marine sediment metagenome,16,other,59712,,,(unnanotated),""
SRR7154798,PRJNA465687,salt marsh metagenome,8,other,33046,"[""not applicable""]",,(unnanotated),""
SRR6512890,PRJNA420682,bovine metagenome,13,other,6584,"[""Bos taurus""]",,(unnanotated),""
SRR3053162,PRJNA292471,bovine metagenome,9,other,4775,"[""Bos taurus""]",,(unnanotated),""
SRR5456787,PRJNA365517,rhizosphere metagenome,13,other,57508,"[""not applicable""]",,(unnanotated),""
SRR28806304,PRJNA1103961,Equus asinus,9,other,13935,,,(unnanotated),""
ERR8977424,PRJEB51229,wastewater metagenome,9,other,9739,,,(unnanotated),""
SRR15313070,PRJNA749371,soil metagenome,16,other,107761,,,(unnanotated),""
SRR7093795,PRJNA441475,soil metagenome,12,other,51512,"[""not applicable""]",,(unnanotated),""
SRR9032617,PRJNA539719,soil metagenome,11,other,51601,"[""not applicable""]",,(unnanotated),""
SRR12660292,PRJNA654801,marine sediment metagenome,16,other,49362,"[""not applicable""]",,(unnanotated),""
SRR20698646,PRJNA852163,freshwater sediment metagenome,12,other,30264,,,(unnanotated),""
SRR5456737,PRJNA365519,rhizosphere metagenome,9,other,56673,"[""not applicable""]",,(unnanotated),""
SRR9617949,PRJNA539333,sediment metagenome,14,other,60317,"[""not applicable""]",,(unnanotated),""
SRR9656168,PRJNA552615,soil metagenome,12,other,40139,,,(unnanotated),""
SRR12447090,PRJNA656110,wastewater metagenome,8,other,7849,,,(unnanotated),""
SRR18078964,PRJNA808646,marine sediment metagenome,16,other,136951,,,(unnanotated),""
SRR12358613,PRJNA649861,mouse gut metagenome,14,other,43471,"[""BALB/c""]",,(unnanotated),""
SRR22560182,PRJNA909573,bovine metagenome,10,other,12494,"[""bovine""]",,(unnanotated),""
