,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,biosample,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam
0,SRR8960471,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740240,Ma3/29951,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498073,SAMN11098393,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1312,,302,4274,,plate_3_E6,3/3/17,Australia,Oceania,['Australia: NSW']
1,ERR1135330,WGS,BEIJING GENOME INSTITUTE,public,ERX1214509,SAMEA3663157,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970306,SAMEA3663157,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,5271,,185,6819,,120521,,Denmark,Europe,[]
2,SRR8960499,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740212,Ja31/29948,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498265,SAMN11097689,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1649,,302,5236,,plate_7_H10,1/31/17,Australia,Oceania,['Australia: NSW']
3,SRR8960204,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5739835,Fe7/29846,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498133,SAMN11097924,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,5729,,302,16136,,plate_4_E1,2/7/17,Australia,Oceania,['Australia: NSW']
4,ERR1135371,WGS,BEIJING GENOME INSTITUTE,public,ERX1214550,SAMEA3663198,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970347,SAMEA3663198,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,5467,,186,7026,,120522,,Denmark,Europe,[]
5,SRR11125550,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761757,Ja30/B11439,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498034,SAMN11098499,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,366,,302,1283,,plate_10_B8,1/30/17,Australia,Oceania,['Australia: NSW']
6,SRR11126318,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762945,Ma3/14188,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497837,SAMN11098400,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,328,,302,1114,,plate_4_C6,3/3/17,Australia,Oceania,['Australia: NSW']
7,ERR3212030,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX3239557,SAMEA5414676,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS3219977,SAMEA5414676,pig gut metagenome,ERP114226,2019-03-21 00:00:00+00:00,PRJEB31650,1397,,292,3247,,unspecified,9/12/16,Denmark,Europe,[]
8,SRR11125497,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761810,Fe24/29702,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498001,SAMN11098288,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,308,,302,1077,,plate_6_B11,2/24/17,Australia,Oceania,['Australia: NSW']
9,SRR11183728,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7804371,Ja30/32810,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498302,SAMN11098515,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,475,,302,1552,,plate_10_C7,1/30/17,Australia,Oceania,['Australia: NSW']
10,SRR11183898,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7804201,Fe7/29913,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497574,SAMN11097894,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,543,,302,1731,,plate_7_A6,2/7/17,Australia,Oceania,['Australia: NSW']
11,SRR11124810,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761250,Fe21/14276,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498318,SAMN11098200,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,388,,302,1360,,plate_2_A3,2/21/17,Australia,Oceania,['Australia: NSW']
12,ERR1135447,WGS,BEIJING GENOME INSTITUTE,public,ERX1214626,SAMEA3663274,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970423,SAMEA3663274,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,3256,,191,4169,,130420,,China,Asia,[]
13,SRR11125359,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761948,Fe14/14193,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498037,SAMN11098095,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,325,,302,1155,,plate_3_D7,2/14/17,Australia,Oceania,['Australia: NSW']
14,SRR11126481,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762782,Fe28/14209,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497887,SAMN11098340,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,296,,302,1011,,plate_2_A1,2/28/17,Australia,Oceania,['Australia: NSW']
15,SRR11183768,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7804331,Fe7/14308,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498335,SAMN11097954,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,310,,302,1052,,plate_8_D9,2/7/17,Australia,Oceania,['Australia: NSW']
16,SRR8960838,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740448,Fe24/29846,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497878,SAMN11098270,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,620,,302,2016,,plate_3_E9,2/24/17,Australia,Oceania,['Australia: NSW']
17,SRR8960128,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5739911,Fe28/14183,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497738,SAMN11098343,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,3914,,302,11201,,plate_1_C8,2/28/17,Australia,Oceania,['Australia: NSW']
