organism,1,15,2,3,4,10,12,11,14,9,8,7,13,6,5,16
outdoor metagenome,3,0,1,4,6,4,0,2,0,4,4,4,2,4,7,1
fermentation metagenome,67,9,5,0,0,3,3,3,8,0,0,0,3,0,0,3
rock metagenome,34,0,19,10,2,0,0,0,0,0,5,2,0,4,3,0
Acetobacterium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
root metagenome,108,1,58,80,18,12,6,12,2,11,2,6,2,4,10,0
biocathode metagenome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primate metagenome,12,0,7,18,6,1,3,1,0,0,0,0,0,2,8,0
insect gut metagenome,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cold seep metagenome,3,3,2,5,5,0,1,1,2,3,4,2,3,1,0,12
groundwater metagenome,87,11,58,39,30,12,13,10,12,12,17,18,8,27,29,13
coral metagenome,72,1,35,13,3,2,1,1,0,0,1,1,0,2,4,0
Severe acute respiratory syndrome coronavirus 2,20,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0
Candidatus Harpocratesius repetitus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mosquito metagenome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium longum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nomascus siki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marine metagenome,965,188,541,297,208,109,171,132,209,132,112,114,182,133,195,146
air metagenome,78,7,49,44,37,8,9,3,3,17,18,20,4,19,33,33
marine sediment metagenome,55,22,55,41,29,19,15,10,19,14,15,18,14,9,16,69
compost metagenome,55,7,9,6,2,3,6,1,2,1,7,10,2,3,5,22
wetland metagenome,36,14,27,35,23,10,9,8,11,13,11,12,13,20,23,43
Acrocephalus sechellensis,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
microbial mat metagenome,26,0,11,15,4,0,2,0,0,1,3,3,1,3,2,0
metagenomes,15,0,4,1,0,0,0,0,0,1,0,1,0,1,0,0
Neisseriaceae bacterium,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
synthetic metagenome,44,6,19,11,7,1,7,1,18,1,4,2,39,2,6,1
pig metagenome,70,79,61,38,28,19,22,18,54,16,15,20,25,32,40,192
algae metagenome,13,0,4,4,3,1,1,0,1,0,2,2,1,1,4,0
Bubalus bubalis,1,0,0,1,3,0,0,0,0,0,0,3,0,7,2,0
bioreactor metagenome,63,8,25,18,15,8,4,5,4,13,7,11,3,9,17,53
human sputum metagenome,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
human blood metagenome,105,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0
food production metagenome,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Bos taurus,34,0,31,8,4,13,10,9,1,21,14,19,7,11,9,0
aquatic metagenome,202,6,79,44,29,0,4,4,2,4,6,8,3,18,29,7
