organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,ERR3224576,PRJEB31266,8,other,39686,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048405,PRJEB52849,16,other,152280,,
Bos taurus,1,ERR2019396,PRJEB21508,10,other,20546,,"[""Ruminomics EU FP7""]"
termite gut metagenome,0,SRR6206199,PRJNA366375,15,other,47836,"[""not applicable""]",
Equus asinus,1,SRR28806309,PRJNA1103961,14,other,13923,,
bovine gut metagenome,1,SRR22221980,PRJNA843354,9,other,11117,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371511,PRJNA356291,16,other,67315,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418359,PRJNA792486,9,other,28392,"[""Black goat""]",
bovine gut metagenome,1,SRR3181140,PRJNA309291,11,other,15442,"[""Bos taurus""]",
Bos taurus,1,SRR24891230,PRJNA981443,9,other,13531,,
bovine gut metagenome,1,ERR3220179,PRJEB31266,11,other,22365,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3211462,PRJEB31266,8,other,28248,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801455,PRJEB33080,12,other,18867,,
bovine gut metagenome,1,ERR3224609,PRJEB31266,12,other,38658,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098304,PRJNA563872,8,other,13686,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220178,PRJEB31266,10,other,18157,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220184,PRJEB31266,9,other,19360,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220198,PRJEB31266,8,other,21850,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR12358621,PRJNA649861,12,other,39731,"[""BALB/c""]",
Bos taurus,1,ERR2019391,PRJEB21508,9,other,24783,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371499,PRJNA356291,16,other,24297,"[""Bos taurus""]",
termite gut metagenome,0,SRR6218741,PRJNA405701,12,other,58309,"[""not applicable""]",
