species_m,frequency,freq_cds3
*s__Sodaliphilus sp004557565,0.9912935323383084,0.9897388059701492
*s__Lactobacillus amylovorus,0.9897388059701492,0.9847636815920398
*s__Mogibacterium_A kristiansenii,0.9810323383084577,0.9701492537313433
*s__UBA2868 sp004552595,0.9800995024875622,0.9670398009950248
*s__Cryptobacteroides sp900546925,0.9785447761194029,0.9751243781094527
*s__JAFBIX01 sp021531895,0.9751243781094527,0.962997512437811
*s__Fimisoma sp002320005,0.9738805970149254,0.970771144278607
*s__Floccifex porci,0.9713930348258706,0.9645522388059702
*s__Prevotella sp002251295,0.9685945273631841,0.9636194029850746
*s__Cryptobacteroides sp034089285,0.9673507462686567,0.9639303482587065
*s__Bariatricus sp004560705,0.9642412935323383,0.9574004975124378
*s__Colivicinus sp002299675,0.958955223880597,0.9558457711442786
*s__Ornithospirochaeta sp022785155,0.9561567164179104,0.9521144278606964
*s__Cryptobacteroides sp000434935,0.9552238805970149,0.9440298507462687
*s__Prevotella sp000434975,0.9533582089552238,0.9381218905472637
*s__Cryptobacteroides sp000432655,0.953047263681592,0.9499378109452736
s__UMGS1225 sp034086705,0.7876243781094527,0.7761194029850746
s__Ruminococcus_C sp000433635,0.591728855721393,0.5715174129353233
s__SIG351 sp945918795,0.5345149253731343,0.5211442786069652
s__Bifidobacterium thermacidophilum,0.4919154228855721,0.46610696517412936
s__Ventricola sp017937505,0.3921019900497512,0.34328358208955223
s__Blautia_A sp945872375,0.36318407960199006,0.3445273631840796
s__CAG-873 sp016302215,0.35136815920398007,0.3407960199004975
s__CAG-269 sp014846485,0.31529850746268656,0.2879353233830846
s__Phascolarctobacterium_A succinatutens_B,0.27705223880597013,0.22388059701492538
s__Ruminococcoides sp902766885,0.24595771144278605,0.19558457711442787
s__CAG-465 sp000433755,0.22761194029850745,0.20615671641791045
