,metag,count
0,ERR3211766,221186
1,SRR11126273,121773
2,SRR8960968,939776
3,SRR14369136,636067
4,SRR17241596,2122694
5,SRR11551383,705772
6,ERR1135349,735172
7,SRR17241663,8867192
8,SRR17241609,3264545
9,SRR11125534,123819
10,ERR1135427,199746
11,ERR1135331,870558
12,SRR14369255,763376
13,SRR11723733,267272
14,ERR1135199,522571
15,SRR8960391,2025552
16,SRR16235699,2374826
17,SRR14369268,632094
18,ERR3211929,491828
19,ERR3211812,278602
20,ERR1135401,426233
21,ERR3211801,367043
22,SRR12795775,283795
23,ERR1135304,955606
24,ERR3211839,278938
25,SRR8960478,561357
26,SRR7182060,109212
27,SRR11126360,153320
28,ERR8314769,547452
29,ERR3211891,184496
30,SRR14369219,442593
31,ERR1135303,779041
32,SRR11183981,525336
33,SRR11125497,282226
34,ERR8314788,643748
35,SRR5976181,564675
36,ERR8314743,456015
37,SRR14369306,891972
38,ERR1135412,497696
39,ERR3212050,146357
40,SRR8960309,1198432
41,SRR14812375,1095102
42,SRR17241485,2003832
43,ERR1135213,639655
44,SRR11124923,454774
45,ERR8314767,730906
46,SRR11489792,1471113
47,ERR3212024,25968
48,ERR1135459,455506
49,SRR11489783,1050551
50,SRR8960101,1359559
51,SRR11183784,998656
52,SRR14369134,564872
53,ERR3211906,262236
54,ERR8314733,546623
55,SRR11124687,195686
56,ERR1135273,1191700
57,ERR1135292,769213
58,SRR8960491,354147
59,SRR11489750,824863
60,SRR2329775,342539
61,SRR8960625,409971
62,ERR3211949,265651
63,ERR3211964,211912
64,SRR8960379,761965
65,SRR11551377,959283
66,SRR11489781,1193958
67,SRR8960492,621820
68,SRR12795790,403303
69,SRR8655118,246008
70,ERR3211876,176313
71,SRR5240744,2392942
72,ERR3211971,279075
73,SRR10209667,936497
74,SRR8655119,206447
75,SRR7182028,260306
76,SRR18048904,2639806
77,SRR10209683,2368297
78,ERR1135238,459114
79,SRR5241534,183959
80,SRR17241521,5074134
81,SRR11489769,1768156
82,SRR11805642,1878292
83,ERR3211974,151712
84,SRR12795793,868051
85,SRR8960444,1230356
86,SRR11805643,1056627
87,ERR1135289,681402
88,SRR15057929,191199
89,SRR14369296,993257
90,SRR14812372,903269
91,ERR1135346,1216723
92,SRR17241595,2017560
93,ERR1135282,915563
94,SRR5240729,551685
95,ERR3211783,245017
96,SRR14812369,1014490
97,SRR8655115,230643
98,ERR3211879,154042
99,SRR11125751,520805
