,metag,count
0,ERR3211766,75052
1,SRR11126273,40518
2,SRR8960968,2397018
3,SRR14369136,139655
4,SRR17241596,550108
5,SRR11551383,197691
6,ERR1135349,184917
7,SRR17241663,478791
8,SRR17241609,589229
9,SRR11125534,46635
10,ERR1135427,48561
11,ERR1135331,135484
12,SRR14369255,159033
13,SRR11723733,146189
14,ERR1135199,105350
15,SRR8960391,352999
16,SRR16235699,328369
17,SRR14369268,135099
18,ERR3211929,73946
19,ERR3211812,96257
20,ERR1135401,101993
21,ERR3211801,130043
22,SRR12795775,270368
23,ERR1135304,174450
24,ERR3211839,88013
25,SRR8960478,97175
26,SRR7182060,35989
27,SRR11126360,34209
28,ERR8314769,364644
29,ERR3211891,59075
30,SRR14369219,114356
31,ERR1135303,158551
32,SRR11183981,62677
33,SRR11125497,32665
34,ERR8314788,331170
35,SRR5976181,246579
36,ERR8314743,268882
37,SRR14369306,115655
38,ERR1135412,124947
39,ERR3212050,34997
40,SRR8960309,77090
41,SRR14812375,128649
42,SRR17241485,436170
43,ERR1135213,143214
44,SRR11124923,44063
45,ERR8314767,355692
46,SRR11489792,398363
47,ERR3212024,33760
48,ERR1135459,117975
49,SRR11489783,331328
50,SRR8960101,159890
51,SRR11183784,79462
52,SRR14369134,123852
53,ERR3211906,54538
54,ERR8314733,378687
55,SRR11124687,40986
56,ERR1135273,178305
57,ERR1135292,165138
58,SRR8960491,129542
59,SRR11489750,309976
60,SRR2329775,86969
61,SRR8960625,99539
62,ERR3211949,95347
63,ERR3211964,79951
64,SRR8960379,130067
65,SRR11551377,223583
66,SRR11489781,270568
67,SRR8960492,157578
68,SRR12795790,291281
69,SRR8655118,172567
70,ERR3211876,47461
71,SRR5240744,299776
72,ERR3211971,95826
73,SRR10209667,190770
74,SRR8655119,165626
75,SRR7182028,49416
76,SRR18048904,351529
77,SRR10209683,548588
78,ERR1135238,106013
79,SRR5241534,59329
80,SRR17241521,642822
81,SRR11489769,397751
82,SRR11805642,110117
83,ERR3211974,52977
84,SRR12795793,1290227
85,SRR8960444,144899
86,SRR11805643,457423
87,ERR1135289,155393
88,SRR15057929,50602
89,SRR14369296,164657
90,SRR14812372,133335
91,ERR1135346,176528
92,SRR17241595,536424
93,ERR1135282,156050
94,SRR5240729,75390
95,ERR3211783,83675
96,SRR14812369,158492
97,SRR8655115,157443
98,ERR3211879,43986
99,SRR11125751,74572
