,metag,count
0,ERR3211766,2660
1,SRR11126273,1796
2,SRR8960968,22971
3,SRR14369136,11650
4,SRR17241596,23612
5,SRR11551383,9322
6,ERR1135349,4947
7,SRR17241663,151655
8,SRR17241609,54823
9,SRR11125534,1348
10,ERR1135427,1942
11,ERR1135331,8299
12,SRR14369255,13362
13,SRR11723733,1864
14,ERR1135199,3516
15,SRR8960391,23963
16,SRR16235699,39880
17,SRR14369268,15578
18,ERR3211929,5913
19,ERR3211812,2463
20,ERR1135401,4576
21,ERR3211801,2750
22,SRR12795775,877
23,ERR1135304,6485
24,ERR3211839,2855
25,SRR8960478,5652
26,SRR7182060,2335
27,SRR11126360,3299
28,ERR8314769,8064
29,ERR3211891,1481
30,SRR14369219,7655
31,ERR1135303,6209
32,SRR11183981,11616
33,SRR11125497,8758
34,ERR8314788,11016
35,SRR5976181,8870
36,ERR8314743,7823
37,SRR14369306,15463
38,ERR1135412,4507
39,ERR3212050,1229
40,SRR8960309,11339
41,SRR14812375,19718
42,SRR17241485,25257
43,ERR1135213,7084
44,SRR11124923,10044
45,ERR8314767,10621
46,SRR11489792,22175
47,ERR3212024,175
48,ERR1135459,4920
49,SRR11489783,10129
50,SRR8960101,40270
51,SRR11183784,23071
52,SRR14369134,12216
53,ERR3211906,2704
54,ERR8314733,9323
55,SRR11124687,4958
56,ERR1135273,8004
57,ERR1135292,5709
58,SRR8960491,2689
59,SRR11489750,10758
60,SRR2329775,3302
61,SRR8960625,9179
62,ERR3211949,1848
63,ERR3211964,1973
64,SRR8960379,13554
65,SRR11551377,11055
66,SRR11489781,13886
67,SRR8960492,3818
68,SRR12795790,1641
69,SRR8655118,3069
70,ERR3211876,1559
71,SRR5240744,26684
72,ERR3211971,2800
73,SRR10209667,10659
74,SRR8655119,3448
75,SRR7182028,3740
76,SRR18048904,41582
77,SRR10209683,30135
78,ERR1135238,3621
79,SRR5241534,1452
80,SRR17241521,105777
81,SRR11489769,19080
82,SRR11805642,24613
83,ERR3211974,1509
84,SRR12795793,14503
85,SRR8960444,31557
86,SRR11805643,10946
87,ERR1135289,6331
88,SRR15057929,2121
89,SRR14369296,18987
90,SRR14812372,12036
91,ERR1135346,10069
92,SRR17241595,26065
93,ERR1135282,6853
94,SRR5240729,7922
95,ERR3211783,2114
96,SRR14812369,18587
97,SRR8655115,3277
98,ERR3211879,1259
99,SRR11125751,11578
