,metag,count
0,ERR3211766,9349
1,SRR11126273,4085
2,SRR8960968,28521
3,SRR14369136,14867
4,SRR17241596,80190
5,SRR11551383,11353
6,ERR1135349,16138
7,SRR17241663,35124
8,SRR17241609,66416
9,SRR11125534,6200
10,ERR1135427,3746
11,ERR1135331,12306
12,SRR14369255,21737
13,SRR11723733,16589
14,ERR1135199,8359
15,SRR8960391,52349
16,SRR16235699,30878
17,SRR14369268,28489
18,ERR3211929,16527
19,ERR3211812,14799
20,ERR1135401,12125
21,ERR3211801,15040
22,SRR12795775,15313
23,ERR1135304,20960
24,ERR3211839,12722
25,SRR8960478,19163
26,SRR7182060,1089
27,SRR11126360,8153
28,ERR8314769,8024
29,ERR3211891,8396
30,SRR14369219,26008
31,ERR1135303,20806
32,SRR11183981,11051
33,SRR11125497,15258
34,ERR8314788,8172
35,SRR5976181,5530
36,ERR8314743,6466
37,SRR14369306,18170
38,ERR1135412,15230
39,ERR3212050,6532
40,SRR8960309,25644
41,SRR14812375,46525
42,SRR17241485,39816
43,ERR1135213,6688
44,SRR11124923,16330
45,ERR8314767,13999
46,SRR11489792,48058
47,ERR3212024,1278
48,ERR1135459,10432
49,SRR11489783,67286
50,SRR8960101,32361
51,SRR11183784,39820
52,SRR14369134,17165
53,ERR3211906,11671
54,ERR8314733,7412
55,SRR11124687,3813
56,ERR1135273,13504
57,ERR1135292,15755
58,SRR8960491,3332
59,SRR11489750,57378
60,SRR2329775,7970
61,SRR8960625,7815
62,ERR3211949,15221
63,ERR3211964,8271
64,SRR8960379,65689
65,SRR11551377,13130
66,SRR11489781,33636
67,SRR8960492,6165
68,SRR12795790,22389
69,SRR8655118,26275
70,ERR3211876,7524
71,SRR5240744,3948
72,ERR3211971,8589
73,SRR10209667,37645
74,SRR8655119,21733
75,SRR7182028,6288
76,SRR18048904,29148
77,SRR10209683,295413
78,ERR1135238,13988
79,SRR5241534,9089
80,SRR17241521,85841
81,SRR11489769,309017
82,SRR11805642,63649
83,ERR3211974,5364
84,SRR12795793,19242
85,SRR8960444,196144
86,SRR11805643,18682
87,ERR1135289,17960
88,SRR15057929,5654
89,SRR14369296,31967
90,SRR14812372,15825
91,ERR1135346,39247
92,SRR17241595,58358
93,ERR1135282,22483
94,SRR5240729,2011
95,ERR3211783,9721
96,SRR14812369,4282
97,SRR8655115,27715
98,ERR3211879,7134
99,SRR11125751,28291
