,metag,count
0,ERR3211766,542463
1,SRR11126273,125150
2,SRR8960968,424246
3,SRR14369136,922447
4,SRR17241596,2186237
5,SRR11551383,1255937
6,ERR1135349,1640529
7,SRR17241663,1885523
8,SRR17241609,2704070
9,SRR11125534,118261
10,ERR1135427,319649
11,ERR1135331,1349472
12,SRR14369255,870598
13,SRR11723733,304966
14,ERR1135199,668384
15,SRR8960391,910502
16,SRR16235699,1611240
17,SRR14369268,686936
18,ERR3211929,622997
19,ERR3211812,501511
20,ERR1135401,573729
21,ERR3211801,1038481
22,SRR12795775,464599
23,ERR1135304,1549279
24,ERR3211839,762096
25,SRR8960478,319254
26,SRR7182060,138938
27,SRR11126360,146494
28,ERR8314769,1911033
29,ERR3211891,580427
30,SRR14369219,632547
31,ERR1135303,1452428
32,SRR11183981,147326
33,SRR11125497,82506
34,ERR8314788,1904650
35,SRR5976181,1489765
36,ERR8314743,1632261
37,SRR14369306,831444
38,ERR1135412,614570
39,ERR3212050,400409
40,SRR8960309,343672
41,SRR14812375,625116
42,SRR17241485,2101884
43,ERR1135213,1099731
44,SRR11124923,106138
45,ERR8314767,2007080
46,SRR11489792,2282250
47,ERR3212024,75305
48,ERR1135459,709402
49,SRR11489783,2272466
50,SRR8960101,395480
51,SRR11183784,201243
52,SRR14369134,749676
53,ERR3211906,522091
54,ERR8314733,1949995
55,SRR11124687,170333
56,ERR1135273,1732897
57,ERR1135292,1613418
58,SRR8960491,481936
59,SRR11489750,1553397
60,SRR2329775,514211
61,SRR8960625,716750
62,ERR3211949,642844
63,ERR3211964,597671
64,SRR8960379,405476
65,SRR11551377,1501716
66,SRR11489781,1907482
67,SRR8960492,488363
68,SRR12795790,579304
69,SRR8655118,335168
70,ERR3211876,498211
71,SRR5240744,933792
72,ERR3211971,731536
73,SRR10209667,1353051
74,SRR8655119,301590
75,SRR7182028,302444
76,SRR18048904,389479
77,SRR10209683,3238263
78,ERR1135238,1004240
79,SRR5241534,283655
80,SRR17241521,2408775
81,SRR11489769,2206342
82,SRR11805642,719740
83,ERR3211974,416738
84,SRR12795793,1151241
85,SRR8960444,591555
86,SRR11805643,554329
87,ERR1135289,1461594
88,SRR15057929,376877
89,SRR14369296,953913
90,SRR14812372,584184
91,ERR1135346,1604307
92,SRR17241595,2020300
93,ERR1135282,1509961
94,SRR5240729,151109
95,ERR3211783,737701
96,SRR14812369,1281893
97,SRR8655115,285886
98,ERR3211879,469193
99,SRR11125751,219616
