,metag,count
0,ERR3211766,90895
1,SRR11126273,100579
2,SRR8960968,390792
3,SRR14369136,378024
4,SRR17241596,1462708
5,SRR11551383,413536
6,ERR1135349,254452
7,SRR17241663,1834697
8,SRR17241609,1486568
9,SRR11125534,97553
10,ERR1135427,153317
11,ERR1135331,317011
12,SRR14369255,266243
13,SRR11723733,137157
14,ERR1135199,394223
15,SRR8960391,470074
16,SRR16235699,926419
17,SRR14369268,236115
18,ERR3211929,159332
19,ERR3211812,132842
20,ERR1135401,289022
21,ERR3211801,163545
22,SRR12795775,293391
23,ERR1135304,341301
24,ERR3211839,108751
25,SRR8960478,270294
26,SRR7182060,52667
27,SRR11126360,123003
28,ERR8314769,304382
29,ERR3211891,73539
30,SRR14369219,175686
31,ERR1135303,295496
32,SRR11183981,186785
33,SRR11125497,93363
34,ERR8314788,330685
35,SRR5976181,368035
36,ERR8314743,263589
37,SRR14369306,269716
38,ERR1135412,371509
39,ERR3212050,51803
40,SRR8960309,293046
41,SRR14812375,340822
42,SRR17241485,895568
43,ERR1135213,318866
44,SRR11124923,115481
45,ERR8314767,360798
46,SRR11489792,1166457
47,ERR3212024,22801
48,ERR1135459,358033
49,SRR11489783,502117
50,SRR8960101,400952
51,SRR11183784,270809
52,SRR14369134,268287
53,ERR3211906,95569
54,ERR8314733,329637
55,SRR11124687,127812
56,ERR1135273,294309
57,ERR1135292,323721
58,SRR8960491,319547
59,SRR11489750,473879
60,SRR2329775,170889
61,SRR8960625,304607
62,ERR3211949,130457
63,ERR3211964,87073
64,SRR8960379,297680
65,SRR11551377,560685
66,SRR11489781,616288
67,SRR8960492,341198
68,SRR12795790,383160
69,SRR8655118,218557
70,ERR3211876,65798
71,SRR5240744,604662
72,ERR3211971,105848
73,SRR10209667,333209
74,SRR8655119,171202
75,SRR7182028,110097
76,SRR18048904,751977
77,SRR10209683,759330
78,ERR1135238,206268
79,SRR5241534,142997
80,SRR17241521,1508438
81,SRR11489769,893538
82,SRR11805642,397916
83,ERR3211974,57714
84,SRR12795793,708145
85,SRR8960444,463520
86,SRR11805643,295486
87,ERR1135289,287109
88,SRR15057929,114974
89,SRR14369296,329600
90,SRR14812372,268573
91,ERR1135346,346512
92,SRR17241595,1291964
93,ERR1135282,395298
94,SRR5240729,174262
95,ERR3211783,98617
96,SRR14812369,316391
97,SRR8655115,209381
98,ERR3211879,57779
99,SRR11125751,204514
