,metag,count
0,ERR3211766,337908
1,SRR11126273,154040
2,SRR8960968,2171300
3,SRR14369136,682916
4,SRR17241596,2386163
5,SRR11551383,939664
6,ERR1135349,982266
7,SRR17241663,5117548
8,SRR17241609,3095609
9,SRR11125534,204486
10,ERR1135427,293046
11,ERR1135331,916071
12,SRR14369255,1022501
13,SRR11723733,392711
14,ERR1135199,558820
15,SRR8960391,1294927
16,SRR16235699,2557771
17,SRR14369268,702287
18,ERR3211929,494209
19,ERR3211812,442881
20,ERR1135401,552684
21,ERR3211801,463085
22,SRR12795775,845137
23,ERR1135304,1237776
24,ERR3211839,365018
25,SRR8960478,1373928
26,SRR7182060,132977
27,SRR11126360,289611
28,ERR8314769,1246444
29,ERR3211891,188632
30,SRR14369219,562795
31,ERR1135303,936784
32,SRR11183981,1087229
33,SRR11125497,448330
34,ERR8314788,1053192
35,SRR5976181,954119
36,ERR8314743,700934
37,SRR14369306,545648
38,ERR1135412,660913
39,ERR3212050,139904
40,SRR8960309,523307
41,SRR14812375,995677
42,SRR17241485,1776090
43,ERR1135213,737870
44,SRR11124923,221978
45,ERR8314767,1100306
46,SRR11489792,2451560
47,ERR3212024,64569
48,ERR1135459,628769
49,SRR11489783,1632532
50,SRR8960101,2805864
51,SRR11183784,932805
52,SRR14369134,533955
53,ERR3211906,288723
54,ERR8314733,1141137
55,SRR11124687,250617
56,ERR1135273,829126
57,ERR1135292,1190751
58,SRR8960491,1126380
59,SRR11489750,1570123
60,SRR2329775,386610
61,SRR8960625,670366
62,ERR3211949,381254
63,ERR3211964,266955
64,SRR8960379,832123
65,SRR11551377,1382674
66,SRR11489781,1513537
67,SRR8960492,1690529
68,SRR12795790,1150131
69,SRR8655118,461792
70,ERR3211876,179239
71,SRR5240744,823200
72,ERR3211971,341774
73,SRR10209667,951629
74,SRR8655119,396698
75,SRR7182028,251804
76,SRR18048904,2909497
77,SRR10209683,3589726
78,ERR1135238,667448
79,SRR5241534,235450
80,SRR17241521,5211935
81,SRR11489769,2568624
82,SRR11805642,2070272
83,ERR3211974,180286
84,SRR12795793,1536790
85,SRR8960444,1035630
86,SRR11805643,796070
87,ERR1135289,841597
88,SRR15057929,192558
89,SRR14369296,913223
90,SRR14812372,893650
91,ERR1135346,1155094
92,SRR17241595,2213153
93,ERR1135282,1278178
94,SRR5240729,517564
95,ERR3211783,255824
96,SRR14812369,1750105
97,SRR8655115,430457
98,ERR3211879,161596
99,SRR11125751,1155504
