,metag,count
0,ERR3211766,108218
1,SRR11126273,73923
2,SRR8960968,698883
3,SRR14369136,321341
4,SRR17241596,833657
5,SRR11551383,238622
6,ERR1135349,293617
7,SRR17241663,2287759
8,SRR17241609,1047988
9,SRR11125534,87886
10,ERR1135427,71751
11,ERR1135331,299610
12,SRR14369255,663478
13,SRR11723733,255837
14,ERR1135199,190840
15,SRR8960391,652764
16,SRR16235699,893859
17,SRR14369268,332335
18,ERR3211929,140945
19,ERR3211812,172860
20,ERR1135401,180385
21,ERR3211801,237205
22,SRR12795775,489377
23,ERR1135304,385655
24,ERR3211839,141455
25,SRR8960478,152692
26,SRR7182060,33513
27,SRR11126360,58462
28,ERR8314769,311926
29,ERR3211891,89226
30,SRR14369219,238551
31,ERR1135303,292270
32,SRR11183981,212088
33,SRR11125497,162084
34,ERR8314788,259560
35,SRR5976181,189195
36,ERR8314743,207515
37,SRR14369306,205587
38,ERR1135412,181552
39,ERR3212050,68994
40,SRR8960309,223838
41,SRR14812375,289519
42,SRR17241485,716487
43,ERR1135213,172026
44,SRR11124923,102813
45,ERR8314767,350443
46,SRR11489792,634610
47,ERR3212024,20243
48,ERR1135459,196243
49,SRR11489783,1029436
50,SRR8960101,908813
51,SRR11183784,456082
52,SRR14369134,302648
53,ERR3211906,98599
54,ERR8314733,270327
55,SRR11124687,68729
56,ERR1135273,282749
57,ERR1135292,342098
58,SRR8960491,176830
59,SRR11489750,310313
60,SRR2329775,105048
61,SRR8960625,169501
62,ERR3211949,194308
63,ERR3211964,135280
64,SRR8960379,516503
65,SRR11551377,307283
66,SRR11489781,674719
67,SRR8960492,398183
68,SRR12795790,555715
69,SRR8655118,189476
70,ERR3211876,84167
71,SRR5240744,320405
72,ERR3211971,141788
73,SRR10209667,345573
74,SRR8655119,147529
75,SRR7182028,75447
76,SRR18048904,1391600
77,SRR10209683,1290825
78,ERR1135238,191617
79,SRR5241534,109779
80,SRR17241521,1695757
81,SRR11489769,803430
82,SRR11805642,380662
83,ERR3211974,83065
84,SRR12795793,493092
85,SRR8960444,836434
86,SRR11805643,811962
87,ERR1135289,216043
88,SRR15057929,101791
89,SRR14369296,402567
90,SRR14812372,567851
91,ERR1135346,405151
92,SRR17241595,756348
93,ERR1135282,337549
94,SRR5240729,100254
95,ERR3211783,117740
96,SRR14812369,251076
97,SRR8655115,165337
98,ERR3211879,74177
99,SRR11125751,307477
