,metag,count
0,ERR3211766,101901
1,SRR11126273,66295
2,SRR8960968,480738
3,SRR14369136,275837
4,SRR17241596,964673
5,SRR11551383,342541
6,ERR1135349,312298
7,SRR17241663,4206208
8,SRR17241609,1600107
9,SRR11125534,64184
10,ERR1135427,97953
11,ERR1135331,370719
12,SRR14369255,329385
13,SRR11723733,118234
14,ERR1135199,172250
15,SRR8960391,742449
16,SRR16235699,974867
17,SRR14369268,300260
18,ERR3211929,175419
19,ERR3211812,121484
20,ERR1135401,208562
21,ERR3211801,159728
22,SRR12795775,295334
23,ERR1135304,369659
24,ERR3211839,129100
25,SRR8960478,418320
26,SRR7182060,78055
27,SRR11126360,135170
28,ERR8314769,275819
29,ERR3211891,77747
30,SRR14369219,193680
31,ERR1135303,324702
32,SRR11183981,273850
33,SRR11125497,134548
34,ERR8314788,307668
35,SRR5976181,270227
36,ERR8314743,235834
37,SRR14369306,341425
38,ERR1135412,246147
39,ERR3212050,60395
40,SRR8960309,384289
41,SRR14812375,470100
42,SRR17241485,852535
43,ERR1135213,262692
44,SRR11124923,319959
45,ERR8314767,358586
46,SRR11489792,756279
47,ERR3212024,32275
48,ERR1135459,223340
49,SRR11489783,441906
50,SRR8960101,675481
51,SRR11183784,560088
52,SRR14369134,263667
53,ERR3211906,104642
54,ERR8314733,284489
55,SRR11124687,193967
56,ERR1135273,361093
57,ERR1135292,356883
58,SRR8960491,269314
59,SRR11489750,419302
60,SRR2329775,149925
61,SRR8960625,213100
62,ERR3211949,115373
63,ERR3211964,95891
64,SRR8960379,331831
65,SRR11551377,410006
66,SRR11489781,514706
67,SRR8960492,663636
68,SRR12795790,392219
69,SRR8655118,174617
70,ERR3211876,73681
71,SRR5240744,661667
72,ERR3211971,127312
73,SRR10209667,375509
74,SRR8655119,157834
75,SRR7182028,191542
76,SRR18048904,2057129
77,SRR10209683,934949
78,ERR1135238,195765
79,SRR5241534,90411
80,SRR17241521,2017256
81,SRR11489769,733049
82,SRR11805642,976463
83,ERR3211974,69995
84,SRR12795793,777471
85,SRR8960444,615162
86,SRR11805643,710910
87,ERR1135289,317731
88,SRR15057929,83672
89,SRR14369296,453328
90,SRR14812372,324480
91,ERR1135346,469072
92,SRR17241595,924427
93,ERR1135282,396978
94,SRR5240729,326575
95,ERR3211783,103852
96,SRR14812369,455701
97,SRR8655115,164967
98,ERR3211879,64542
99,SRR11125751,236034
