,metag,count
0,ERR3211766,324217
1,SRR11126273,140152
2,SRR8960968,1026789
3,SRR14369136,634076
4,SRR17241596,2305966
5,SRR11551383,978866
6,ERR1135349,1221347
7,SRR17241663,7976924
8,SRR17241609,3081795
9,SRR11125534,141778
10,ERR1135427,299196
11,ERR1135331,1192812
12,SRR14369255,907362
13,SRR11723733,312331
14,ERR1135199,517927
15,SRR8960391,3166404
16,SRR16235699,2599108
17,SRR14369268,760476
18,ERR3211929,460734
19,ERR3211812,391056
20,ERR1135401,590580
21,ERR3211801,585825
22,SRR12795775,178201
23,ERR1135304,1254170
24,ERR3211839,411955
25,SRR8960478,596248
26,SRR7182060,114420
27,SRR11126360,211396
28,ERR8314769,951634
29,ERR3211891,266683
30,SRR14369219,514999
31,ERR1135303,1064268
32,SRR11183981,563596
33,SRR11125497,304515
34,ERR8314788,1034649
35,SRR5976181,823454
36,ERR8314743,760827
37,SRR14369306,946075
38,ERR1135412,743575
39,ERR3212050,177585
40,SRR8960309,822259
41,SRR14812375,1029473
42,SRR17241485,2048215
43,ERR1135213,789889
44,SRR11124923,300745
45,ERR8314767,1145143
46,SRR11489792,1892641
47,ERR3212024,17319
48,ERR1135459,691804
49,SRR11489783,1723373
50,SRR8960101,1554295
51,SRR11183784,1047123
52,SRR14369134,631025
53,ERR3211906,289804
54,ERR8314733,875972
55,SRR11124687,263179
56,ERR1135273,1332413
57,ERR1135292,1110768
58,SRR8960491,570831
59,SRR11489750,1118630
60,SRR2329775,438907
61,SRR8960625,508268
62,ERR3211949,383120
63,ERR3211964,348062
64,SRR8960379,796634
65,SRR11551377,1183080
66,SRR11489781,1485821
67,SRR8960492,720078
68,SRR12795790,261850
69,SRR8655118,247786
70,ERR3211876,214497
71,SRR5240744,1123805
72,ERR3211971,430491
73,SRR10209667,993983
74,SRR8655119,215004
75,SRR7182028,261495
76,SRR18048904,2731966
77,SRR10209683,2965536
78,ERR1135238,615917
79,SRR5241534,221335
80,SRR17241521,4390853
81,SRR11489769,2156084
82,SRR11805642,1734122
83,ERR3211974,240961
84,SRR12795793,842520
85,SRR8960444,1199428
86,SRR11805643,925029
87,ERR1135289,920742
88,SRR15057929,247953
89,SRR14369296,1074368
90,SRR14812372,773090
91,ERR1135346,1640110
92,SRR17241595,2143532
93,ERR1135282,1190241
94,SRR5240729,387621
95,ERR3211783,343568
96,SRR14812369,1384485
97,SRR8655115,253478
98,ERR3211879,189761
99,SRR11125751,644813
