,metag,count
0,ERR3211766,401421
1,SRR11126273,223222
2,SRR8960968,5869694
3,SRR14369136,847696
4,SRR17241596,6920791
5,SRR11551383,1081454
6,ERR1135349,1500044
7,SRR17241663,11144810
8,SRR17241609,10507222
9,SRR11125534,1704214
10,ERR1135427,354778
11,ERR1135331,1155571
12,SRR14369255,2243626
13,SRR11723733,5584549
14,ERR1135199,841696
15,SRR8960391,4684845
16,SRR16235699,5108146
17,SRR14369268,3816723
18,ERR3211929,420944
19,ERR3211812,527898
20,ERR1135401,1290749
21,ERR3211801,803927
22,SRR12795775,7726545
23,ERR1135304,1399418
24,ERR3211839,525601
25,SRR8960478,478928
26,SRR7182060,117781
27,SRR11126360,162438
28,ERR8314769,1420159
29,ERR3211891,344517
30,SRR14369219,856385
31,ERR1135303,1529200
32,SRR11183981,2261975
33,SRR11125497,633929
34,ERR8314788,1340482
35,SRR5976181,956259
36,ERR8314743,1148521
37,SRR14369306,1106034
38,ERR1135412,841279
39,ERR3212050,245000
40,SRR8960309,689253
41,SRR14812375,7245145
42,SRR17241485,10028261
43,ERR1135213,740939
44,SRR11124923,895273
45,ERR8314767,1571066
46,SRR11489792,2974389
47,ERR3212024,98706
48,ERR1135459,1298924
49,SRR11489783,2236838
50,SRR8960101,2036086
51,SRR11183784,1781816
52,SRR14369134,747134
53,ERR3211906,324541
54,ERR8314733,1243092
55,SRR11124687,187414
56,ERR1135273,1339389
57,ERR1135292,2170989
58,SRR8960491,604681
59,SRR11489750,1329899
60,SRR2329775,567689
61,SRR8960625,1282687
62,ERR3211949,569716
63,ERR3211964,457248
64,SRR8960379,5980828
65,SRR11551377,1167475
66,SRR11489781,1712593
67,SRR8960492,2712952
68,SRR12795790,2440079
69,SRR8655118,738306
70,ERR3211876,297393
71,SRR5240744,1440416
72,ERR3211971,540278
73,SRR10209667,6102300
74,SRR8655119,568115
75,SRR7182028,316698
76,SRR18048904,2086570
77,SRR10209683,13531954
78,ERR1135238,1190025
79,SRR5241534,756670
80,SRR17241521,48164695
81,SRR11489769,2349869
82,SRR11805642,3424056
83,ERR3211974,306264
84,SRR12795793,3959198
85,SRR8960444,1679045
86,SRR11805643,5144758
87,ERR1135289,1164987
88,SRR15057929,876959
89,SRR14369296,2625796
90,SRR14812372,8643222
91,ERR1135346,1518108
92,SRR17241595,3175005
93,ERR1135282,1279039
94,SRR5240729,1785751
95,ERR3211783,444484
96,SRR14812369,1978700
97,SRR8655115,705713
98,ERR3211879,266688
99,SRR11125751,454847
