,metag,count
0,ERR3211766,315328
1,SRR11126273,180475
2,SRR8960968,903553
3,SRR14369136,694777
4,SRR17241596,2798649
5,SRR11551383,1021413
6,ERR1135349,1280943
7,SRR17241663,4095926
8,SRR17241609,3547839
9,SRR11125534,277632
10,ERR1135427,336496
11,ERR1135331,1011860
12,SRR14369255,713868
13,SRR11723733,450959
14,ERR1135199,620702
15,SRR8960391,1361644
16,SRR16235699,2153233
17,SRR14369268,592649
18,ERR3211929,415940
19,ERR3211812,424833
20,ERR1135401,651915
21,ERR3211801,584428
22,SRR12795775,778107
23,ERR1135304,1231952
24,ERR3211839,382675
25,SRR8960478,978344
26,SRR7182060,130676
27,SRR11126360,286028
28,ERR8314769,1321881
29,ERR3211891,264286
30,SRR14369219,481070
31,ERR1135303,1083127
32,SRR11183981,973862
33,SRR11125497,249172
34,ERR8314788,1263525
35,SRR5976181,1072240
36,ERR8314743,995353
37,SRR14369306,559594
38,ERR1135412,752162
39,ERR3212050,170781
40,SRR8960309,725899
41,SRR14812375,872149
42,SRR17241485,2188408
43,ERR1135213,909553
44,SRR11124923,254063
45,ERR8314767,1331707
46,SRR11489792,2200035
47,ERR3212024,107506
48,ERR1135459,737308
49,SRR11489783,1672907
50,SRR8960101,1137102
51,SRR11183784,1043716
52,SRR14369134,632305
53,ERR3211906,275287
54,ERR8314733,1297170
55,SRR11124687,251530
56,ERR1135273,1145174
57,ERR1135292,1125101
58,SRR8960491,1043711
59,SRR11489750,1372126
60,SRR2329775,451540
61,SRR8960625,933173
62,ERR3211949,434664
63,ERR3211964,334496
64,SRR8960379,2342135
65,SRR11551377,1379196
66,SRR11489781,1476467
67,SRR8960492,1926437
68,SRR12795790,833224
69,SRR8655118,550720
70,ERR3211876,218726
71,SRR5240744,1072562
72,ERR3211971,397273
73,SRR10209667,1003687
74,SRR8655119,469546
75,SRR7182028,244395
76,SRR18048904,1513209
77,SRR10209683,2864834
78,ERR1135238,676814
79,SRR5241534,321611
80,SRR17241521,4325702
81,SRR11489769,2117217
82,SRR11805642,981023
83,ERR3211974,222403
84,SRR12795793,2058729
85,SRR8960444,1399296
86,SRR11805643,851559
87,ERR1135289,955767
88,SRR15057929,242339
89,SRR14369296,833219
90,SRR14812372,953291
91,ERR1135346,1334005
92,SRR17241595,2651305
93,ERR1135282,1186667
94,SRR5240729,424598
95,ERR3211783,349967
96,SRR14812369,1060831
97,SRR8655115,485991
98,ERR3211879,198573
99,SRR11125751,970461
