,metag,count
0,ERR3211766,185756
1,SRR11126273,89443
2,SRR8960968,677251
3,SRR14369136,535646
4,SRR17241596,1379827
5,SRR11551383,640115
6,ERR1135349,818143
7,SRR17241663,2245646
8,SRR17241609,1400807
9,SRR11125534,126284
10,ERR1135427,180687
11,ERR1135331,622800
12,SRR14369255,562150
13,SRR11723733,225691
14,ERR1135199,255991
15,SRR8960391,676662
16,SRR16235699,1778100
17,SRR14369268,508759
18,ERR3211929,379474
19,ERR3211812,461339
20,ERR1135401,342055
21,ERR3211801,341674
22,SRR12795775,462063
23,ERR1135304,765059
24,ERR3211839,165645
25,SRR8960478,426314
26,SRR7182060,61599
27,SRR11126360,128196
28,ERR8314769,771228
29,ERR3211891,165300
30,SRR14369219,315214
31,ERR1135303,738715
32,SRR11183981,210806
33,SRR11125497,224268
34,ERR8314788,691808
35,SRR5976181,533100
36,ERR8314743,508475
37,SRR14369306,289800
38,ERR1135412,405063
39,ERR3212050,115026
40,SRR8960309,259755
41,SRR14812375,490637
42,SRR17241485,1027964
43,ERR1135213,385476
44,SRR11124923,151817
45,ERR8314767,708403
46,SRR11489792,1415149
47,ERR3212024,46021
48,ERR1135459,404358
49,SRR11489783,1128549
50,SRR8960101,871479
51,SRR11183784,597928
52,SRR14369134,312085
53,ERR3211906,202993
54,ERR8314733,697506
55,SRR11124687,136773
56,ERR1135273,786568
57,ERR1135292,766503
58,SRR8960491,792714
59,SRR11489750,764299
60,SRR2329775,231151
61,SRR8960625,320763
62,ERR3211949,344959
63,ERR3211964,172084
64,SRR8960379,832298
65,SRR11551377,947640
66,SRR11489781,740434
67,SRR8960492,447632
68,SRR12795790,564440
69,SRR8655118,308242
70,ERR3211876,150757
71,SRR5240744,693096
72,ERR3211971,173268
73,SRR10209667,664370
74,SRR8655119,259246
75,SRR7182028,126752
76,SRR18048904,701934
77,SRR10209683,1933167
78,ERR1135238,346754
79,SRR5241534,137119
80,SRR17241521,3165948
81,SRR11489769,1429141
82,SRR11805642,660575
83,ERR3211974,91128
84,SRR12795793,3590609
85,SRR8960444,612908
86,SRR11805643,555257
87,ERR1135289,545781
88,SRR15057929,229087
89,SRR14369296,497722
90,SRR14812372,517550
91,ERR1135346,988839
92,SRR17241595,1259238
93,ERR1135282,661150
94,SRR5240729,177502
95,ERR3211783,226167
96,SRR14812369,788234
97,SRR8655115,284465
98,ERR3211879,131074
99,SRR11125751,377611
