,metag,count
0,ERR3211766,122256
1,SRR11126273,48372
2,SRR8960968,424246
3,SRR14369136,291086
4,SRR17241596,672777
5,SRR11551383,306564
6,ERR1135349,605393
7,SRR17241663,951023
8,SRR17241609,694237
9,SRR11125534,71704
10,ERR1135427,52735
11,ERR1135331,418911
12,SRR14369255,373627
13,SRR11723733,111035
14,ERR1135199,97864
15,SRR8960391,341396
16,SRR16235699,1169179
17,SRR14369268,359867
18,ERR3211929,259600
19,ERR3211812,351886
20,ERR1135401,111440
21,ERR3211801,230886
22,SRR12795775,281711
23,ERR1135304,498668
24,ERR3211839,95849
25,SRR8960478,208614
26,SRR7182060,29324
27,SRR11126360,49269
28,ERR8314769,543964
29,ERR3211891,111226
30,SRR14369219,204923
31,ERR1135303,504951
32,SRR11183981,108278
33,SRR11125497,162956
34,ERR8314788,458222
35,SRR5976181,239698
36,ERR8314743,306691
37,SRR14369306,145359
38,ERR1135412,120500
39,ERR3212050,70104
40,SRR8960309,83828
41,SRR14812375,288113
42,SRR17241485,460401
43,ERR1135213,156614
44,SRR11124923,95292
45,ERR8314767,460692
46,SRR11489792,556189
47,ERR3212024,33241
48,ERR1135459,113153
49,SRR11489783,725598
50,SRR8960101,606198
51,SRR11183784,448323
52,SRR14369134,129724
53,ERR3211906,129912
54,ERR8314733,447327
55,SRR11124687,49454
56,ERR1135273,562035
57,ERR1135292,517733
58,SRR8960491,463543
59,SRR11489750,371473
60,SRR2329775,94634
61,SRR8960625,150087
62,ERR3211949,252277
63,ERR3211964,112738
64,SRR8960379,640876
65,SRR11551377,436328
66,SRR11489781,301010
67,SRR8960492,185482
68,SRR12795790,363924
69,SRR8655118,199363
70,ERR3211876,94382
71,SRR5240744,495823
72,ERR3211971,101149
73,SRR10209667,499388
74,SRR8655119,165319
75,SRR7182028,57520
76,SRR18048904,227481
77,SRR10209683,1514975
78,ERR1135238,179620
79,SRR5241534,57078
80,SRR17241521,2212469
81,SRR11489769,776009
82,SRR11805642,405334
83,ERR3211974,52892
84,SRR12795793,3112571
85,SRR8960444,384021
86,SRR11805643,378170
87,ERR1135289,316269
88,SRR15057929,47128
89,SRR14369296,305630
90,SRR14812372,357868
91,ERR1135346,667894
92,SRR17241595,635550
93,ERR1135282,333140
94,SRR5240729,93582
95,ERR3211783,153401
96,SRR14812369,574858
97,SRR8655115,174210
98,ERR3211879,80585
99,SRR11125751,255172
