,metag,count
0,ERR3211766,1416786
1,SRR11126273,117721
2,SRR8960968,433961
3,SRR14369136,985262
4,SRR17241596,1881906
5,SRR11551383,1720272
6,ERR1135349,5988766
7,SRR17241663,2229620
8,SRR17241609,3396948
9,SRR11125534,110023
10,ERR1135427,332465
11,ERR1135331,3079790
12,SRR14369255,2207161
13,SRR11723733,503269
14,ERR1135199,589400
15,SRR8960391,1293579
16,SRR16235699,3517409
17,SRR14369268,1903417
18,ERR3211929,926066
19,ERR3211812,1095232
20,ERR1135401,596430
21,ERR3211801,2675107
22,SRR12795775,726497
23,ERR1135304,3072276
24,ERR3211839,1960536
25,SRR8960478,393422
26,SRR7182060,260569
27,SRR11126360,93680
28,ERR8314769,5298476
29,ERR3211891,1436482
30,SRR14369219,1257162
31,ERR1135303,3455033
32,SRR11183981,127390
33,SRR11125497,77792
34,ERR8314788,4508590
35,SRR5976181,2612989
36,ERR8314743,3242440
37,SRR14369306,1014211
38,ERR1135412,668820
39,ERR3212050,796939
40,SRR8960309,180239
41,SRR14812375,933272
42,SRR17241485,2436097
43,ERR1135213,1235751
44,SRR11124923,77934
45,ERR8314767,4656447
46,SRR11489792,3635849
47,ERR3212024,91898
48,ERR1135459,758479
49,SRR11489783,7432876
50,SRR8960101,416452
51,SRR11183784,193464
52,SRR14369134,1006597
53,ERR3211906,945154
54,ERR8314733,4719630
55,SRR11124687,137906
56,ERR1135273,4721451
57,ERR1135292,3686665
58,SRR8960491,713950
59,SRR11489750,3480339
60,SRR2329775,899710
61,SRR8960625,307878
62,ERR3211949,1448884
63,ERR3211964,1733692
64,SRR8960379,280826
65,SRR11551377,1699400
66,SRR11489781,3958143
67,SRR8960492,745462
68,SRR12795790,537586
69,SRR8655118,456463
70,ERR3211876,1028970
71,SRR5240744,718480
72,ERR3211971,2067663
73,SRR10209667,3098458
74,SRR8655119,424131
75,SRR7182028,363480
76,SRR18048904,539081
77,SRR10209683,7929383
78,ERR1135238,2187131
79,SRR5241534,264317
80,SRR17241521,2057209
81,SRR11489769,4649166
82,SRR11805642,1307163
83,ERR3211974,1174651
84,SRR12795793,1327787
85,SRR8960444,588127
86,SRR11805643,965131
87,ERR1135289,2475195
88,SRR15057929,470386
89,SRR14369296,2034958
90,SRR14812372,1428967
91,ERR1135346,4619392
92,SRR17241595,2226912
93,ERR1135282,2153507
94,SRR5240729,206815
95,ERR3211783,1901859
96,SRR14812369,4985640
97,SRR8655115,379732
98,ERR3211879,990485
99,SRR11125751,197159
