,metag,count
0,ERR3211766,284910
1,SRR11126273,106846
2,SRR8960968,804931
3,SRR14369136,548457
4,SRR17241596,2022192
5,SRR11551383,793485
6,ERR1135349,959677
7,SRR17241663,5835971
8,SRR17241609,2380545
9,SRR11125534,128720
10,ERR1135427,215591
11,ERR1135331,885051
12,SRR14369255,877686
13,SRR11723733,301370
14,ERR1135199,372700
15,SRR8960391,1479649
16,SRR16235699,2995847
17,SRR14369268,902318
18,ERR3211929,394599
19,ERR3211812,379118
20,ERR1135401,460155
21,ERR3211801,509902
22,SRR12795775,578385
23,ERR1135304,1046654
24,ERR3211839,355881
25,SRR8960478,710463
26,SRR7182060,163679
27,SRR11126360,175059
28,ERR8314769,842939
29,ERR3211891,215949
30,SRR14369219,451026
31,ERR1135303,874718
32,SRR11183981,382214
33,SRR11125497,224868
34,ERR8314788,858995
35,SRR5976181,744559
36,ERR8314743,675923
37,SRR14369306,987151
38,ERR1135412,532839
39,ERR3212050,142815
40,SRR8960309,458444
41,SRR14812375,1009302
42,SRR17241485,1690420
43,ERR1135213,553876
44,SRR11124923,229041
45,ERR8314767,950768
46,SRR11489792,1939392
47,ERR3212024,62643
48,ERR1135459,487254
49,SRR11489783,1346027
50,SRR8960101,1095788
51,SRR11183784,647411
52,SRR14369134,503147
53,ERR3211906,256557
54,ERR8314733,822963
55,SRR11124687,191668
56,ERR1135273,1116303
57,ERR1135292,827018
58,SRR8960491,633500
59,SRR11489750,1573433
60,SRR2329775,347269
61,SRR8960625,353167
62,ERR3211949,373194
63,ERR3211964,285996
64,SRR8960379,567283
65,SRR11551377,940056
66,SRR11489781,1315455
67,SRR8960492,1091701
68,SRR12795790,671233
69,SRR8655118,371962
70,ERR3211876,179004
71,SRR5240744,807260
72,ERR3211971,355406
73,SRR10209667,858393
74,SRR8655119,336571
75,SRR7182028,315683
76,SRR18048904,2493136
77,SRR10209683,2365124
78,ERR1135238,515237
79,SRR5241534,191656
80,SRR17241521,4140372
81,SRR11489769,1952204
82,SRR11805642,1662784
83,ERR3211974,194670
84,SRR12795793,1073555
85,SRR8960444,902530
86,SRR11805643,798616
87,ERR1135289,703255
88,SRR15057929,175413
89,SRR14369296,878357
90,SRR14812372,667520
91,ERR1135346,1318568
92,SRR17241595,1867259
93,ERR1135282,832436
94,SRR5240729,579238
95,ERR3211783,293637
96,SRR14812369,1289013
97,SRR8655115,368205
98,ERR3211879,157908
99,SRR11125751,402082
