,metag,count
0,ERR3211766,12076
1,SRR11126273,7036
2,SRR8960968,63488
3,SRR14369136,28941
4,SRR17241596,155892
5,SRR11551383,52413
6,ERR1135349,20341
7,SRR17241663,618804
8,SRR17241609,882521
9,SRR11125534,9125
10,ERR1135427,21677
11,ERR1135331,34273
12,SRR14369255,23838
13,SRR11723733,27574
14,ERR1135199,40083
15,SRR8960391,77942
16,SRR16235699,73628
17,SRR14369268,20142
18,ERR3211929,17635
19,ERR3211812,18747
20,ERR1135401,37802
21,ERR3211801,18862
22,SRR12795775,16805
23,ERR1135304,38903
24,ERR3211839,15628
25,SRR8960478,23206
26,SRR7182060,8258
27,SRR11126360,83897
28,ERR8314769,40479
29,ERR3211891,7158
30,SRR14369219,40400
31,ERR1135303,42288
32,SRR11183981,18667
33,SRR11125497,10801
34,ERR8314788,43690
35,SRR5976181,34501
36,ERR8314743,50336
37,SRR14369306,50474
38,ERR1135412,45163
39,ERR3212050,6385
40,SRR8960309,45573
41,SRR14812375,87158
42,SRR17241485,208777
43,ERR1135213,40166
44,SRR11124923,17275
45,ERR8314767,51699
46,SRR11489792,81723
47,ERR3212024,1432
48,ERR1135459,62477
49,SRR11489783,47605
50,SRR8960101,40671
51,SRR11183784,18969
52,SRR14369134,88401
53,ERR3211906,10591
54,ERR8314733,41294
55,SRR11124687,37598
56,ERR1135273,23482
57,ERR1135292,31250
58,SRR8960491,22717
59,SRR11489750,62751
60,SRR2329775,18696
61,SRR8960625,18960
62,ERR3211949,15804
63,ERR3211964,10769
64,SRR8960379,17407
65,SRR11551377,64216
66,SRR11489781,99742
67,SRR8960492,22068
68,SRR12795790,22422
69,SRR8655118,20098
70,ERR3211876,7662
71,SRR5240744,45589
72,ERR3211971,13869
73,SRR10209667,45652
74,SRR8655119,16051
75,SRR7182028,34015
76,SRR18048904,32941
77,SRR10209683,154342
78,ERR1135238,28393
79,SRR5241534,14779
80,SRR17241521,345143
81,SRR11489769,89889
82,SRR11805642,52447
83,ERR3211974,7541
84,SRR12795793,251747
85,SRR8960444,35691
86,SRR11805643,96812
87,ERR1135289,32620
88,SRR15057929,18922
89,SRR14369296,31939
90,SRR14812372,48768
91,ERR1135346,28597
92,SRR17241595,138356
93,ERR1135282,50602
94,SRR5240729,16003
95,ERR3211783,9225
96,SRR14812369,19886
97,SRR8655115,22784
98,ERR3211879,6694
99,SRR11125751,36017
