,metag,count
0,ERR3211766,76372
1,SRR11126273,48087
2,SRR8960968,235139
3,SRR14369136,155591
4,SRR17241596,740914
5,SRR11551383,201481
6,ERR1135349,226033
7,SRR17241663,933748
8,SRR17241609,743242
9,SRR11125534,52355
10,ERR1135427,46973
11,ERR1135331,160046
12,SRR14369255,336682
13,SRR11723733,88757
14,ERR1135199,93030
15,SRR8960391,222771
16,SRR16235699,504731
17,SRR14369268,201296
18,ERR3211929,116715
19,ERR3211812,84630
20,ERR1135401,91435
21,ERR3211801,124364
22,SRR12795775,322035
23,ERR1135304,288876
24,ERR3211839,90103
25,SRR8960478,123944
26,SRR7182060,26319
27,SRR11126360,42488
28,ERR8314769,289816
29,ERR3211891,52835
30,SRR14369219,165571
31,ERR1135303,183849
32,SRR11183981,72829
33,SRR11125497,46418
34,ERR8314788,245945
35,SRR5976181,192871
36,ERR8314743,189619
37,SRR14369306,146637
38,ERR1135412,108603
39,ERR3212050,37157
40,SRR8960309,90897
41,SRR14812375,248529
42,SRR17241485,681288
43,ERR1135213,136458
44,SRR11124923,36643
45,ERR8314767,256207
46,SRR11489792,441590
47,ERR3212024,26292
48,ERR1135459,101780
49,SRR11489783,368047
50,SRR8960101,230590
51,SRR11183784,123088
52,SRR14369134,132350
53,ERR3211906,66810
54,ERR8314733,260655
55,SRR11124687,42708
56,ERR1135273,189990
57,ERR1135292,167072
58,SRR8960491,123630
59,SRR11489750,267974
60,SRR2329775,67022
61,SRR8960625,83529
62,ERR3211949,100607
63,ERR3211964,68753
64,SRR8960379,129081
65,SRR11551377,252779
66,SRR11489781,244296
67,SRR8960492,196185
68,SRR12795790,378878
69,SRR8655118,187771
70,ERR3211876,48627
71,SRR5240744,194118
72,ERR3211971,91512
73,SRR10209667,245660
74,SRR8655119,159138
75,SRR7182028,62578
76,SRR18048904,372277
77,SRR10209683,996436
78,ERR1135238,118866
79,SRR5241534,60593
80,SRR17241521,1081946
81,SRR11489769,480856
82,SRR11805642,233968
83,ERR3211974,48424
84,SRR12795793,557136
85,SRR8960444,160875
86,SRR11805643,169567
87,ERR1135289,131468
88,SRR15057929,51937
89,SRR14369296,170910
90,SRR14812372,207846
91,ERR1135346,258650
92,SRR17241595,699012
93,ERR1135282,177270
94,SRR5240729,198879
95,ERR3211783,71025
96,SRR14812369,188659
97,SRR8655115,162063
98,ERR3211879,43554
99,SRR11125751,98574
