,metag,count
0,ERR3211766,20945
1,SRR11126273,21686
2,SRR8960968,57534
3,SRR14369136,56826
4,SRR17241596,337007
5,SRR11551383,73698
6,ERR1135349,38236
7,SRR17241663,186014
8,SRR17241609,263325
9,SRR11125534,21333
10,ERR1135427,20186
11,ERR1135331,40684
12,SRR14369255,51554
13,SRR11723733,26365
14,ERR1135199,33045
15,SRR8960391,89879
16,SRR16235699,127543
17,SRR14369268,46816
18,ERR3211929,29745
19,ERR3211812,27812
20,ERR1135401,42084
21,ERR3211801,32517
22,SRR12795775,126856
23,ERR1135304,52640
24,ERR3211839,24695
25,SRR8960478,32787
26,SRR7182060,9433
27,SRR11126360,19971
28,ERR8314769,83619
29,ERR3211891,16106
30,SRR14369219,40430
31,ERR1135303,46051
32,SRR11183981,22835
33,SRR11125497,14012
34,ERR8314788,81823
35,SRR5976181,80981
36,ERR8314743,72614
37,SRR14369306,42363
38,ERR1135412,43155
39,ERR3212050,11965
40,SRR8960309,51325
41,SRR14812375,53484
42,SRR17241485,191766
43,ERR1135213,54223
44,SRR11124923,28262
45,ERR8314767,85252
46,SRR11489792,139833
47,ERR3212024,12847
48,ERR1135459,46283
49,SRR11489783,77196
50,SRR8960101,66522
51,SRR11183784,38138
52,SRR14369134,58209
53,ERR3211906,20440
54,ERR8314733,91808
55,SRR11124687,19782
56,ERR1135273,40387
57,ERR1135292,58696
58,SRR8960491,37635
59,SRR11489750,89201
60,SRR2329775,23620
61,SRR8960625,124821
62,ERR3211949,25516
63,ERR3211964,19036
64,SRR8960379,49348
65,SRR11551377,91256
66,SRR11489781,73646
67,SRR8960492,49975
68,SRR12795790,166503
69,SRR8655118,85047
70,ERR3211876,15902
71,SRR5240744,48128
72,ERR3211971,23909
73,SRR10209667,72706
74,SRR8655119,71000
75,SRR7182028,17606
76,SRR18048904,69015
77,SRR10209683,170651
78,ERR1135238,35005
79,SRR5241534,26450
80,SRR17241521,248520
81,SRR11489769,119835
82,SRR11805642,37507
83,ERR3211974,12715
84,SRR12795793,230794
85,SRR8960444,55762
86,SRR11805643,47721
87,ERR1135289,49954
88,SRR15057929,19872
89,SRR14369296,53102
90,SRR14812372,50288
91,ERR1135346,45209
92,SRR17241595,307211
93,ERR1135282,58773
94,SRR5240729,35864
95,ERR3211783,22909
96,SRR14812369,40461
97,SRR8655115,71180
98,ERR3211879,14187
99,SRR11125751,31102
