,metag,count
0,ERR3211766,847279
1,SRR11126273,376524
2,SRR8960968,1014274
3,SRR14369136,1190844
4,SRR17241596,2319474
5,SRR11551383,1683048
6,ERR1135349,2752639
7,SRR17241663,6013092
8,SRR17241609,5286808
9,SRR11125534,221494
10,ERR1135427,558961
11,ERR1135331,1869368
12,SRR14369255,1102062
13,SRR11723733,472037
14,ERR1135199,563377
15,SRR8960391,1361881
16,SRR16235699,3864977
17,SRR14369268,914080
18,ERR3211929,1190380
19,ERR3211812,2038160
20,ERR1135401,1685891
21,ERR3211801,1970602
22,SRR12795775,687679
23,ERR1135304,2570680
24,ERR3211839,1062689
25,SRR8960478,862814
26,SRR7182060,252537
27,SRR11126360,241279
28,ERR8314769,3533111
29,ERR3211891,1033230
30,SRR14369219,1414078
31,ERR1135303,2896574
32,SRR11183981,250619
33,SRR11125497,175907
34,ERR8314788,2917044
35,SRR5976181,2148332
36,ERR8314743,2242962
37,SRR14369306,1060645
38,ERR1135412,1283068
39,ERR3212050,557076
40,SRR8960309,256810
41,SRR14812375,1026088
42,SRR17241485,3071730
43,ERR1135213,1334706
44,SRR11124923,314550
45,ERR8314767,3390253
46,SRR11489792,4185956
47,ERR3212024,86369
48,ERR1135459,1169017
49,SRR11489783,3644717
50,SRR8960101,579504
51,SRR11183784,263282
52,SRR14369134,1366687
53,ERR3211906,831725
54,ERR8314733,3251624
55,SRR11124687,193176
56,ERR1135273,2020591
57,ERR1135292,2531431
58,SRR8960491,2810457
59,SRR11489750,2494926
60,SRR2329775,1296925
61,SRR8960625,816592
62,ERR3211949,1833879
63,ERR3211964,1019327
64,SRR8960379,577966
65,SRR11551377,2594315
66,SRR11489781,2868347
67,SRR8960492,882791
68,SRR12795790,769281
69,SRR8655118,480030
70,ERR3211876,706486
71,SRR5240744,5051869
72,ERR3211971,1016940
73,SRR10209667,1734309
74,SRR8655119,438593
75,SRR7182028,403596
76,SRR18048904,1734815
77,SRR10209683,5312535
78,ERR1135238,2036120
79,SRR5241534,418169
80,SRR17241521,5058004
81,SRR11489769,3833761
82,SRR11805642,1104261
83,ERR3211974,578317
84,SRR12795793,3675112
85,SRR8960444,1237201
86,SRR11805643,1048784
87,ERR1135289,1980296
88,SRR15057929,698514
89,SRR14369296,1512894
90,SRR14812372,1137716
91,ERR1135346,2783466
92,SRR17241595,2800241
93,ERR1135282,3136777
94,SRR5240729,298170
95,ERR3211783,1248723
96,SRR14812369,1954199
97,SRR8655115,424914
98,ERR3211879,637880
99,SRR11125751,503567
