,metag,count
0,ERR3211766,363819
1,SRR11126273,190973
2,SRR8960968,923907
3,SRR14369136,730931
4,SRR17241596,3842757
5,SRR11551383,1170635
6,ERR1135349,1152901
7,SRR17241663,4017574
8,SRR17241609,3116530
9,SRR11125534,297445
10,ERR1135427,643040
11,ERR1135331,1370064
12,SRR14369255,848380
13,SRR11723733,496810
14,ERR1135199,892878
15,SRR8960391,1811872
16,SRR16235699,2439230
17,SRR14369268,814396
18,ERR3211929,622799
19,ERR3211812,437872
20,ERR1135401,1743542
21,ERR3211801,677337
22,SRR12795775,1211523
23,ERR1135304,1167736
24,ERR3211839,483032
25,SRR8960478,414635
26,SRR7182060,124722
27,SRR11126360,469749
28,ERR8314769,1028495
29,ERR3211891,343066
30,SRR14369219,570486
31,ERR1135303,1185963
32,SRR11183981,420058
33,SRR11125497,359185
34,ERR8314788,1079038
35,SRR5976181,1361740
36,ERR8314743,885211
37,SRR14369306,756010
38,ERR1135412,2434263
39,ERR3212050,286110
40,SRR8960309,3981330
41,SRR14812375,1191483
42,SRR17241485,3509325
43,ERR1135213,2235907
44,SRR11124923,323806
45,ERR8314767,1322855
46,SRR11489792,2804172
47,ERR3212024,40858
48,ERR1135459,1987579
49,SRR11489783,1727392
50,SRR8960101,953030
51,SRR11183784,752468
52,SRR14369134,950483
53,ERR3211906,399850
54,ERR8314733,1010450
55,SRR11124687,522288
56,ERR1135273,1242079
57,ERR1135292,1420519
58,SRR8960491,608659
59,SRR11489750,1186560
60,SRR2329775,679748
61,SRR8960625,1485681
62,ERR3211949,484960
63,ERR3211964,371262
64,SRR8960379,944615
65,SRR11551377,1275863
66,SRR11489781,2139197
67,SRR8960492,703830
68,SRR12795790,1375969
69,SRR8655118,475582
70,ERR3211876,327780
71,SRR5240744,851958
72,ERR3211971,463626
73,SRR10209667,1207742
74,SRR8655119,385312
75,SRR7182028,321487
76,SRR18048904,1290794
77,SRR10209683,3175451
78,ERR1135238,983116
79,SRR5241534,428665
80,SRR17241521,5368131
81,SRR11489769,2272756
82,SRR11805642,1122305
83,ERR3211974,255477
84,SRR12795793,1531478
85,SRR8960444,1108112
86,SRR11805643,1004331
87,ERR1135289,1100099
88,SRR15057929,802508
89,SRR14369296,887860
90,SRR14812372,1047688
91,ERR1135346,1427824
92,SRR17241595,4128300
93,ERR1135282,1239642
94,SRR5240729,307963
95,ERR3211783,434763
96,SRR14812369,994369
97,SRR8655115,460366
98,ERR3211879,290003
99,SRR11125751,450456
