,metag,count
0,ERR3211766,11647
1,SRR11126273,9114
2,SRR8960968,42827
3,SRR14369136,37883
4,SRR17241596,128521
5,SRR11551383,40531
6,ERR1135349,22292
7,SRR17241663,144214
8,SRR17241609,142543
9,SRR11125534,12498
10,ERR1135427,16580
11,ERR1135331,30234
12,SRR14369255,20186
13,SRR11723733,9913
14,ERR1135199,52896
15,SRR8960391,47384
16,SRR16235699,122287
17,SRR14369268,16499
18,ERR3211929,19849
19,ERR3211812,18869
20,ERR1135401,25504
21,ERR3211801,17927
22,SRR12795775,10848
23,ERR1135304,46609
24,ERR3211839,14437
25,SRR8960478,33772
26,SRR7182060,4784
27,SRR11126360,13892
28,ERR8314769,29725
29,ERR3211891,7529
30,SRR14369219,18438
31,ERR1135303,31958
32,SRR11183981,14192
33,SRR11125497,10398
34,ERR8314788,32062
35,SRR5976181,41665
36,ERR8314743,20642
37,SRR14369306,18502
38,ERR1135412,41472
39,ERR3212050,6368
40,SRR8960309,28681
41,SRR14812375,27172
42,SRR17241485,72660
43,ERR1135213,33695
44,SRR11124923,8957
45,ERR8314767,34012
46,SRR11489792,136599
47,ERR3212024,2241
48,ERR1135459,45809
49,SRR11489783,36346
50,SRR8960101,31738
51,SRR11183784,19567
52,SRR14369134,34388
53,ERR3211906,11157
54,ERR8314733,32685
55,SRR11124687,18592
56,ERR1135273,22789
57,ERR1135292,42366
58,SRR8960491,50377
59,SRR11489750,38726
60,SRR2329775,17934
61,SRR8960625,25597
62,ERR3211949,16606
63,ERR3211964,9581
64,SRR8960379,29308
65,SRR11551377,99649
66,SRR11489781,49866
67,SRR8960492,36883
68,SRR12795790,16963
69,SRR8655118,23736
70,ERR3211876,7873
71,SRR5240744,28471
72,ERR3211971,11685
73,SRR10209667,25237
74,SRR8655119,20317
75,SRR7182028,13738
76,SRR18048904,47852
77,SRR10209683,57644
78,ERR1135238,39715
79,SRR5241534,13500
80,SRR17241521,118910
81,SRR11489769,85818
82,SRR11805642,23996
83,ERR3211974,6264
84,SRR12795793,51940
85,SRR8960444,39768
86,SRR11805643,15801
87,ERR1135289,43562
88,SRR15057929,19344
89,SRR14369296,20780
90,SRR14812372,15600
91,ERR1135346,30028
92,SRR17241595,114821
93,ERR1135282,56102
94,SRR5240729,8753
95,ERR3211783,9530
96,SRR14812369,17156
97,SRR8655115,23118
98,ERR3211879,6859
99,SRR11125751,20741
