,metag,count
0,ERR3211766,9589
1,SRR11126273,62657
2,SRR8960968,60744
3,SRR14369136,157534
4,SRR17241596,368623
5,SRR11551383,75467
6,ERR1135349,20142
7,SRR17241663,223217
8,SRR17241609,656129
9,SRR11125534,51533
10,ERR1135427,63013
11,ERR1135331,42486
12,SRR14369255,35522
13,SRR11723733,8108
14,ERR1135199,40348
15,SRR8960391,199905
16,SRR16235699,91780
17,SRR14369268,27342
18,ERR3211929,21456
19,ERR3211812,15598
20,ERR1135401,99145
21,ERR3211801,15021
22,SRR12795775,9470
23,ERR1135304,28926
24,ERR3211839,9547
25,SRR8960478,93131
26,SRR7182060,4506
27,SRR11126360,46878
28,ERR8314769,75272
29,ERR3211891,7150
30,SRR14369219,22475
31,ERR1135303,24566
32,SRR11183981,141333
33,SRR11125497,14375
34,ERR8314788,74282
35,SRR5976181,106049
36,ERR8314743,29326
37,SRR14369306,60340
38,ERR1135412,105265
39,ERR3212050,5035
40,SRR8960309,108684
41,SRR14812375,52777
42,SRR17241485,220341
43,ERR1135213,135668
44,SRR11124923,22239
45,ERR8314767,77695
46,SRR11489792,200812
47,ERR3212024,1527
48,ERR1135459,107489
49,SRR11489783,50958
50,SRR8960101,38692
51,SRR11183784,24314
52,SRR14369134,132427
53,ERR3211906,10371
54,ERR8314733,80017
55,SRR11124687,46878
56,ERR1135273,13497
57,ERR1135292,23657
58,SRR8960491,224598
59,SRR11489750,69420
60,SRR2329775,27031
61,SRR8960625,375989
62,ERR3211949,13179
63,ERR3211964,7969
64,SRR8960379,76258
65,SRR11551377,122450
66,SRR11489781,106496
67,SRR8960492,51897
68,SRR12795790,12410
69,SRR8655118,38013
70,ERR3211876,6618
71,SRR5240744,92534
72,ERR3211971,9927
73,SRR10209667,38098
74,SRR8655119,32316
75,SRR7182028,22661
76,SRR18048904,69330
77,SRR10209683,96383
78,ERR1135238,16426
79,SRR5241534,40927
80,SRR17241521,192501
81,SRR11489769,114486
82,SRR11805642,18900
83,ERR3211974,4951
84,SRR12795793,1019693
85,SRR8960444,62235
86,SRR11805643,65968
87,ERR1135289,39790
88,SRR15057929,45627
89,SRR14369296,38664
90,SRR14812372,26471
91,ERR1135346,30062
92,SRR17241595,286073
93,ERR1135282,59790
94,SRR5240729,9252
95,ERR3211783,9787
96,SRR14812369,20378
97,SRR8655115,38923
98,ERR3211879,5888
99,SRR11125751,24749
