,metag,count
0,ERR3211766,847
1,SRR11126273,377
2,SRR8960968,1894
3,SRR14369136,1459
4,SRR17241596,6020
5,SRR11551383,2303
6,ERR1135349,1865
7,SRR17241663,15523
8,SRR17241609,5898
9,SRR11125534,316
10,ERR1135427,1384
11,ERR1135331,2254
12,SRR14369255,2465
13,SRR11723733,537
14,ERR1135199,2410
15,SRR8960391,8695
16,SRR16235699,8534
17,SRR14369268,1642
18,ERR3211929,1877
19,ERR3211812,1741
20,ERR1135401,1762
21,ERR3211801,1763
22,SRR12795775,9
23,ERR1135304,4349
24,ERR3211839,1043
25,SRR8960478,1218
26,SRR7182060,514
27,SRR11126360,516
28,ERR8314769,1872
29,ERR3211891,709
30,SRR14369219,1392
31,ERR1135303,3381
32,SRR11183981,874
33,SRR11125497,597
34,ERR8314788,2577
35,SRR5976181,2910
36,ERR8314743,1817
37,SRR14369306,1534
38,ERR1135412,3245
39,ERR3212050,560
40,SRR8960309,1966
41,SRR14812375,3158
42,SRR17241485,4819
43,ERR1135213,3391
44,SRR11124923,920
45,ERR8314767,2523
46,SRR11489792,8513
47,ERR3212024,6
48,ERR1135459,2060
49,SRR11489783,2168
50,SRR8960101,2547
51,SRR11183784,1765
52,SRR14369134,1820
53,ERR3211906,1016
54,ERR8314733,2540
55,SRR11124687,385
56,ERR1135273,3284
57,ERR1135292,3056
58,SRR8960491,998
59,SRR11489750,4648
60,SRR2329775,901
61,SRR8960625,608
62,ERR3211949,1568
63,ERR3211964,726
64,SRR8960379,966
65,SRR11551377,3126
66,SRR11489781,4711
67,SRR8960492,751
68,SRR12795790,132
69,SRR8655118,363
70,ERR3211876,620
71,SRR5240744,7040
72,ERR3211971,969
73,SRR10209667,3447
74,SRR8655119,369
75,SRR7182028,704
76,SRR18048904,4185
77,SRR10209683,6239
78,ERR1135238,1672
79,SRR5241534,734
80,SRR17241521,10631
81,SRR11489769,6254
82,SRR11805642,4650
83,ERR3211974,480
84,SRR12795793,3069
85,SRR8960444,2454
86,SRR11805643,1574
87,ERR1135289,3429
88,SRR15057929,643
89,SRR14369296,2522
90,SRR14812372,1839
91,ERR1135346,4238
92,SRR17241595,5065
93,ERR1135282,4229
94,SRR5240729,1363
95,ERR3211783,946
96,SRR14812369,2527
97,SRR8655115,314
98,ERR3211879,519
99,SRR11125751,898
