,metag,count
0,ERR3211766,9185
1,SRR11126273,6736
2,SRR8960968,18256
3,SRR14369136,22129
4,SRR17241596,107179
5,SRR11551383,28433
6,ERR1135349,22674
7,SRR17241663,55532
8,SRR17241609,91395
9,SRR11125534,6785
10,ERR1135427,8398
11,ERR1135331,21904
12,SRR14369255,20527
13,SRR11723733,8998
14,ERR1135199,14568
15,SRR8960391,25021
16,SRR16235699,41041
17,SRR14369268,18066
18,ERR3211929,11222
19,ERR3211812,10070
20,ERR1135401,16304
21,ERR3211801,15722
22,SRR12795775,35864
23,ERR1135304,24550
24,ERR3211839,11784
25,SRR8960478,9139
26,SRR7182060,3785
27,SRR11126360,4748
28,ERR8314769,40141
29,ERR3211891,8541
30,SRR14369219,16041
31,ERR1135303,23296
32,SRR11183981,7368
33,SRR11125497,3955
34,ERR8314788,39289
35,SRR5976181,38582
36,ERR8314743,34981
37,SRR14369306,19311
38,ERR1135412,19175
39,ERR3212050,6241
40,SRR8960309,11724
41,SRR14812375,19755
42,SRR17241485,63215
43,ERR1135213,24706
44,SRR11124923,4225
45,ERR8314767,43932
46,SRR11489792,60219
47,ERR3212024,4251
48,ERR1135459,20236
49,SRR11489783,36085
50,SRR8960101,19969
51,SRR11183784,10795
52,SRR14369134,20769
53,ERR3211906,8561
54,ERR8314733,43968
55,SRR11124687,6673
56,ERR1135273,21141
57,ERR1135292,26669
58,SRR8960491,13159
59,SRR11489750,39642
60,SRR2329775,11200
61,SRR8960625,16181
62,ERR3211949,10913
63,ERR3211964,9514
64,SRR8960379,15682
65,SRR11551377,34181
66,SRR11489781,35383
67,SRR8960492,17500
68,SRR12795790,44138
69,SRR8655118,21885
70,ERR3211876,7882
71,SRR5240744,22060
72,ERR3211971,11425
73,SRR10209667,27017
74,SRR8655119,17171
75,SRR7182028,6151
76,SRR18048904,16849
77,SRR10209683,59618
78,ERR1135238,15911
79,SRR5241534,9463
80,SRR17241521,85645
81,SRR11489769,43175
82,SRR11805642,14053
83,ERR3211974,6403
84,SRR12795793,72794
85,SRR8960444,20442
86,SRR11805643,20153
87,ERR1135289,26099
88,SRR15057929,10455
89,SRR14369296,22445
90,SRR14812372,17491
91,ERR1135346,23324
92,SRR17241595,98452
93,ERR1135282,27443
94,SRR5240729,11162
95,ERR3211783,11374
96,SRR14812369,22944
97,SRR8655115,16858
98,ERR3211879,7085
99,SRR11125751,9090
