,metag,count
0,ERR3211766,2844
1,SRR11126273,1211
2,SRR8960968,8412
3,SRR14369136,7870
4,SRR17241596,43933
5,SRR11551383,9191
6,ERR1135349,7471
7,SRR17241663,59475
8,SRR17241609,47097
9,SRR11125534,1701
10,ERR1135427,5692
11,ERR1135331,11328
12,SRR14369255,4975
13,SRR11723733,4686
14,ERR1135199,7691
15,SRR8960391,8345
16,SRR16235699,34897
17,SRR14369268,4317
18,ERR3211929,5062
19,ERR3211812,6615
20,ERR1135401,8541
21,ERR3211801,5201
22,SRR12795775,23
23,ERR1135304,10882
24,ERR3211839,3180
25,SRR8960478,9543
26,SRR7182060,857
27,SRR11126360,3823
28,ERR8314769,4776
29,ERR3211891,1411
30,SRR14369219,3584
31,ERR1135303,7509
32,SRR11183981,3591
33,SRR11125497,2182
34,ERR8314788,6888
35,SRR5976181,7163
36,ERR8314743,3192
37,SRR14369306,4553
38,ERR1135412,13004
39,ERR3212050,1119
40,SRR8960309,4945
41,SRR14812375,6920
42,SRR17241485,26841
43,ERR1135213,8380
44,SRR11124923,2198
45,ERR8314767,7695
46,SRR11489792,23098
47,ERR3212024,0
48,ERR1135459,12729
49,SRR11489783,9442
50,SRR8960101,7489
51,SRR11183784,5001
52,SRR14369134,7134
53,ERR3211906,2297
54,ERR8314733,5545
55,SRR11124687,2674
56,ERR1135273,5157
57,ERR1135292,10150
58,SRR8960491,10712
59,SRR11489750,7809
60,SRR2329775,4419
61,SRR8960625,5933
62,ERR3211949,4917
63,ERR3211964,2519
64,SRR8960379,4984
65,SRR11551377,18973
66,SRR11489781,11689
67,SRR8960492,12094
68,SRR12795790,157
69,SRR8655118,1113
70,ERR3211876,1221
71,SRR5240744,10103
72,ERR3211971,2844
73,SRR10209667,3836
74,SRR8655119,648
75,SRR7182028,1944
76,SRR18048904,13360
77,SRR10209683,10929
78,ERR1135238,5547
79,SRR5241534,4028
80,SRR17241521,39185
81,SRR11489769,18121
82,SRR11805642,14292
83,ERR3211974,1594
84,SRR12795793,6207
85,SRR8960444,9786
86,SRR11805643,9202
87,ERR1135289,10379
88,SRR15057929,2333
89,SRR14369296,6242
90,SRR14812372,5148
91,ERR1135346,12240
92,SRR17241595,32392
93,ERR1135282,14887
94,SRR5240729,2518
95,ERR3211783,1651
96,SRR14812369,9214
97,SRR8655115,1245
98,ERR3211879,1124
99,SRR11125751,4306
