,metag,count
0,ERR3211766,9995
1,SRR11126273,6173
2,SRR8960968,56006
3,SRR14369136,34574
4,SRR17241596,109517
5,SRR11551383,42307
6,ERR1135349,24061
7,SRR17241663,184127
8,SRR17241609,126569
9,SRR11125534,9336
10,ERR1135427,14443
11,ERR1135331,22530
12,SRR14369255,26254
13,SRR11723733,13104
14,ERR1135199,26172
15,SRR8960391,45285
16,SRR16235699,104040
17,SRR14369268,20092
18,ERR3211929,21370
19,ERR3211812,16074
20,ERR1135401,25067
21,ERR3211801,13742
22,SRR12795775,543
23,ERR1135304,41683
24,ERR3211839,9341
25,SRR8960478,63233
26,SRR7182060,3382
27,SRR11126360,18660
28,ERR8314769,30841
29,ERR3211891,5650
30,SRR14369219,16812
31,ERR1135303,27740
32,SRR11183981,23514
33,SRR11125497,11945
34,ERR8314788,28216
35,SRR5976181,44616
36,ERR8314743,16205
37,SRR14369306,16234
38,ERR1135412,33399
39,ERR3212050,4390
40,SRR8960309,24525
41,SRR14812375,34770
42,SRR17241485,70177
43,ERR1135213,33869
44,SRR11124923,8961
45,ERR8314767,26780
46,SRR11489792,130590
47,ERR3212024,130
48,ERR1135459,27683
49,SRR11489783,47723
50,SRR8960101,61600
51,SRR11183784,25830
52,SRR14369134,28100
53,ERR3211906,10722
54,ERR8314733,30261
55,SRR11124687,15369
56,ERR1135273,19039
57,ERR1135292,35841
58,SRR8960491,70720
59,SRR11489750,52694
60,SRR2329775,13718
61,SRR8960625,28712
62,ERR3211949,12551
63,ERR3211964,6993
64,SRR8960379,21986
65,SRR11551377,80847
66,SRR11489781,57508
67,SRR8960492,77251
68,SRR12795790,1162
69,SRR8655118,5947
70,ERR3211876,5333
71,SRR5240744,37372
72,ERR3211971,8471
73,SRR10209667,25234
74,SRR8655119,4822
75,SRR7182028,11664
76,SRR18048904,114938
77,SRR10209683,91191
78,ERR1135238,22683
79,SRR5241534,8461
80,SRR17241521,133829
81,SRR11489769,98374
82,SRR11805642,49444
83,ERR3211974,4323
84,SRR12795793,45645
85,SRR8960444,34871
86,SRR11805643,16482
87,ERR1135289,29651
88,SRR15057929,7113
89,SRR14369296,26836
90,SRR14812372,21688
91,ERR1135346,32170
92,SRR17241595,88787
93,ERR1135282,46581
94,SRR5240729,5285
95,ERR3211783,7528
96,SRR14812369,45033
97,SRR8655115,7701
98,ERR3211879,4739
99,SRR11125751,29728
