,metag,count
0,ERR3211766,780
1,SRR11126273,214
2,SRR8960968,1349
3,SRR14369136,1322
4,SRR17241596,4576
5,SRR11551383,804
6,ERR1135349,1762
7,SRR17241663,2012
8,SRR17241609,4716
9,SRR11125534,308
10,ERR1135427,487
11,ERR1135331,1699
12,SRR14369255,1171
13,SRR11723733,686
14,ERR1135199,1448
15,SRR8960391,2706
16,SRR16235699,1903
17,SRR14369268,772
18,ERR3211929,1024
19,ERR3211812,1145
20,ERR1135401,1026
21,ERR3211801,1601
22,SRR12795775,0
23,ERR1135304,1812
24,ERR3211839,1007
25,SRR8960478,620
26,SRR7182060,108
27,SRR11126360,198
28,ERR8314769,1135
29,ERR3211891,764
30,SRR14369219,1196
31,ERR1135303,2144
32,SRR11183981,475
33,SRR11125497,447
34,ERR8314788,1100
35,SRR5976181,814
36,ERR8314743,904
37,SRR14369306,1042
38,ERR1135412,1913
39,ERR3212050,568
40,SRR8960309,1412
41,SRR14812375,2789
42,SRR17241485,1975
43,ERR1135213,1050
44,SRR11124923,506
45,ERR8314767,1538
46,SRR11489792,2399
47,ERR3212024,0
48,ERR1135459,1577
49,SRR11489783,2642
50,SRR8960101,1630
51,SRR11183784,598
52,SRR14369134,1235
53,ERR3211906,771
54,ERR8314733,1128
55,SRR11124687,468
56,ERR1135273,1671
57,ERR1135292,1875
58,SRR8960491,735
59,SRR11489750,1442
60,SRR2329775,791
61,SRR8960625,839
62,ERR3211949,1265
63,ERR3211964,886
64,SRR8960379,1344
65,SRR11551377,1544
66,SRR11489781,1909
67,SRR8960492,969
68,SRR12795790,0
69,SRR8655118,305
70,ERR3211876,562
71,SRR5240744,566
72,ERR3211971,774
73,SRR10209667,1417
74,SRR8655119,184
75,SRR7182028,683
76,SRR18048904,2718
77,SRR10209683,8959
78,ERR1135238,1244
79,SRR5241534,586
80,SRR17241521,4397
81,SRR11489769,3841
82,SRR11805642,1582
83,ERR3211974,537
84,SRR12795793,363
85,SRR8960444,2134
86,SRR11805643,1000
87,ERR1135289,1499
88,SRR15057929,617
89,SRR14369296,1348
90,SRR14812372,822
91,ERR1135346,2896
92,SRR17241595,3320
93,ERR1135282,2656
94,SRR5240729,74
95,ERR3211783,829
96,SRR14812369,1826
97,SRR8655115,385
98,ERR3211879,558
99,SRR11125751,864
