,metag,count
0,ERR3211766,365
1,SRR11126273,107
2,SRR8960968,1020
3,SRR14369136,1267
4,SRR17241596,3216
5,SRR11551383,1309
6,ERR1135349,1017
7,SRR17241663,10824
8,SRR17241609,5395
9,SRR11125534,179
10,ERR1135427,376
11,ERR1135331,1111
12,SRR14369255,1365
13,SRR11723733,280
14,ERR1135199,739
15,SRR8960391,2314
16,SRR16235699,3842
17,SRR14369268,1389
18,ERR3211929,710
19,ERR3211812,403
20,ERR1135401,736
21,ERR3211801,466
22,SRR12795775,41
23,ERR1135304,1837
24,ERR3211839,387
25,SRR8960478,501
26,SRR7182060,258
27,SRR11126360,449
28,ERR8314769,712
29,ERR3211891,221
30,SRR14369219,838
31,ERR1135303,1119
32,SRR11183981,529
33,SRR11125497,284
34,ERR8314788,993
35,SRR5976181,993
36,ERR8314743,714
37,SRR14369306,2234
38,ERR1135412,1013
39,ERR3212050,184
40,SRR8960309,914
41,SRR14812375,1852
42,SRR17241485,2741
43,ERR1135213,738
44,SRR11124923,653
45,ERR8314767,1208
46,SRR11489792,2783
47,ERR3212024,0
48,ERR1135459,766
49,SRR11489783,2173
50,SRR8960101,1483
51,SRR11183784,1111
52,SRR14369134,1171
53,ERR3211906,367
54,ERR8314733,800
55,SRR11124687,605
56,ERR1135273,2069
57,ERR1135292,1239
58,SRR8960491,410
59,SRR11489750,2169
60,SRR2329775,449
61,SRR8960625,691
62,ERR3211949,355
63,ERR3211964,295
64,SRR8960379,544
65,SRR11551377,1897
66,SRR11489781,1643
67,SRR8960492,891
68,SRR12795790,184
69,SRR8655118,614
70,ERR3211876,239
71,SRR5240744,1559
72,ERR3211971,366
73,SRR10209667,1298
74,SRR8655119,685
75,SRR7182028,968
76,SRR18048904,3873
77,SRR10209683,1979
78,ERR1135238,717
79,SRR5241534,218
80,SRR17241521,7243
81,SRR11489769,2960
82,SRR11805642,2249
83,ERR3211974,225
84,SRR12795793,1408
85,SRR8960444,1330
86,SRR11805643,1360
87,ERR1135289,1007
88,SRR15057929,455
89,SRR14369296,1643
90,SRR14812372,669
91,ERR1135346,1582
92,SRR17241595,2842
93,ERR1135282,1558
94,SRR5240729,817
95,ERR3211783,307
96,SRR14812369,1360
97,SRR8655115,1185
98,ERR3211879,179
99,SRR11125751,581
