,metag,count
0,ERR3211766,2103
1,SRR11126273,1285
2,SRR8960968,8114
3,SRR14369136,3854
4,SRR17241596,28477
5,SRR11551383,5239
6,ERR1135349,4928
7,SRR17241663,49330
8,SRR17241609,20481
9,SRR11125534,1495
10,ERR1135427,5652
11,ERR1135331,8264
12,SRR14369255,3377
13,SRR11723733,2618
14,ERR1135199,5907
15,SRR8960391,12722
16,SRR16235699,10190
17,SRR14369268,3274
18,ERR3211929,3660
19,ERR3211812,4419
20,ERR1135401,5964
21,ERR3211801,3819
22,SRR12795775,292
23,ERR1135304,9373
24,ERR3211839,2371
25,SRR8960478,12036
26,SRR7182060,3388
27,SRR11126360,4400
28,ERR8314769,4908
29,ERR3211891,1577
30,SRR14369219,2813
31,ERR1135303,6536
32,SRR11183981,3213
33,SRR11125497,1395
34,ERR8314788,5728
35,SRR5976181,5634
36,ERR8314743,3292
37,SRR14369306,4053
38,ERR1135412,11039
39,ERR3212050,1098
40,SRR8960309,7044
41,SRR14812375,7067
42,SRR17241485,18754
43,ERR1135213,8218
44,SRR11124923,2591
45,ERR8314767,7073
46,SRR11489792,12492
47,ERR3212024,2
48,ERR1135459,8741
49,SRR11489783,5264
50,SRR8960101,7393
51,SRR11183784,3859
52,SRR14369134,4363
53,ERR3211906,1969
54,ERR8314733,5140
55,SRR11124687,7338
56,ERR1135273,4416
57,ERR1135292,7634
58,SRR8960491,11517
59,SRR11489750,4373
60,SRR2329775,3280
61,SRR8960625,5538
62,ERR3211949,3703
63,ERR3211964,1911
64,SRR8960379,3704
65,SRR11551377,11389
66,SRR11489781,6948
67,SRR8960492,11392
68,SRR12795790,6747
69,SRR8655118,1025
70,ERR3211876,1138
71,SRR5240744,10945
72,ERR3211971,2072
73,SRR10209667,4884
74,SRR8655119,648
75,SRR7182028,4554
76,SRR18048904,11302
77,SRR10209683,14784
78,ERR1135238,4213
79,SRR5241534,2761
80,SRR17241521,25002
81,SRR11489769,9168
82,SRR11805642,7999
83,ERR3211974,1196
84,SRR12795793,11988
85,SRR8960444,7771
86,SRR11805643,5315
87,ERR1135289,7745
88,SRR15057929,3138
89,SRR14369296,4685
90,SRR14812372,2930
91,ERR1135346,7993
92,SRR17241595,17849
93,ERR1135282,12652
94,SRR5240729,4667
95,ERR3211783,1902
96,SRR14812369,4821
97,SRR8655115,2206
98,ERR3211879,1079
99,SRR11125751,3325
