,metag,count
0,ERR3211766,41968
1,SRR11126273,24264
2,SRR8960968,93028
3,SRR14369136,81330
4,SRR17241596,407701
5,SRR11551383,153183
6,ERR1135349,203464
7,SRR17241663,361722
8,SRR17241609,477516
9,SRR11125534,30564
10,ERR1135427,35296
11,ERR1135331,144283
12,SRR14369255,117764
13,SRR11723733,72750
14,ERR1135199,60488
15,SRR8960391,128082
16,SRR16235699,285823
17,SRR14369268,107542
18,ERR3211929,40229
19,ERR3211812,59970
20,ERR1135401,80685
21,ERR3211801,91239
22,SRR12795775,177603
23,ERR1135304,143639
24,ERR3211839,51905
25,SRR8960478,51168
26,SRR7182060,16310
27,SRR11126360,16830
28,ERR8314769,230625
29,ERR3211891,37179
30,SRR14369219,86288
31,ERR1135303,147008
32,SRR11183981,35113
33,SRR11125497,19103
34,ERR8314788,199755
35,SRR5976181,161971
36,ERR8314743,169500
37,SRR14369306,85203
38,ERR1135412,79639
39,ERR3212050,23987
40,SRR8960309,38610
41,SRR14812375,129403
42,SRR17241485,402260
43,ERR1135213,99106
44,SRR11124923,17227
45,ERR8314767,212308
46,SRR11489792,244209
47,ERR3212024,13992
48,ERR1135459,82254
49,SRR11489783,331891
50,SRR8960101,97359
51,SRR11183784,55086
52,SRR14369134,70922
53,ERR3211906,32035
54,ERR8314733,196626
55,SRR11124687,21434
56,ERR1135273,210608
57,ERR1135292,143066
58,SRR8960491,62492
59,SRR11489750,213393
60,SRR2329775,55709
61,SRR8960625,43006
62,ERR3211949,62550
63,ERR3211964,50900
64,SRR8960379,82880
65,SRR11551377,139964
66,SRR11489781,235712
67,SRR8960492,85913
68,SRR12795790,211445
69,SRR8655118,98242
70,ERR3211876,29200
71,SRR5240744,75838
72,ERR3211971,56630
73,SRR10209667,139936
74,SRR8655119,82854
75,SRR7182028,30263
76,SRR18048904,128070
77,SRR10209683,348004
78,ERR1135238,88085
79,SRR5241534,43199
80,SRR17241521,502105
81,SRR11489769,317968
82,SRR11805642,123939
83,ERR3211974,33219
84,SRR12795793,304921
85,SRR8960444,84592
86,SRR11805643,124286
87,ERR1135289,112936
88,SRR15057929,30740
89,SRR14369296,134777
90,SRR14812372,150266
91,ERR1135346,181153
92,SRR17241595,389440
93,ERR1135282,118053
94,SRR5240729,50642
95,ERR3211783,49195
96,SRR14812369,176336
97,SRR8655115,81154
98,ERR3211879,26674
99,SRR11125751,38699
