,metag,count
0,ERR3211766,49351
1,SRR11126273,46300
2,SRR8960968,143683
3,SRR14369136,123549
4,SRR17241596,683085
5,SRR11551383,166587
6,ERR1135349,117155
7,SRR17241663,505026
8,SRR17241609,616848
9,SRR11125534,46641
10,ERR1135427,45128
11,ERR1135331,110850
12,SRR14369255,129493
13,SRR11723733,66137
14,ERR1135199,76047
15,SRR8960391,183258
16,SRR16235699,334044
17,SRR14369268,113507
18,ERR3211929,67217
19,ERR3211812,68453
20,ERR1135401,88286
21,ERR3211801,81074
22,SRR12795775,257624
23,ERR1135304,148794
24,ERR3211839,56313
25,SRR8960478,86164
26,SRR7182060,28729
27,SRR11126360,33327
28,ERR8314769,249810
29,ERR3211891,37851
30,SRR14369219,97838
31,ERR1135303,130398
32,SRR11183981,59058
33,SRR11125497,34144
34,ERR8314788,233702
35,SRR5976181,191048
36,ERR8314743,213724
37,SRR14369306,108786
38,ERR1135412,101518
39,ERR3212050,27264
40,SRR8960309,77106
41,SRR14812375,135594
42,SRR17241485,413105
43,ERR1135213,139123
44,SRR11124923,30432
45,ERR8314767,246965
46,SRR11489792,342712
47,ERR3212024,26303
48,ERR1135459,96502
49,SRR11489783,216892
50,SRR8960101,170149
51,SRR11183784,97813
52,SRR14369134,110118
53,ERR3211906,44307
54,ERR8314733,266807
55,SRR11124687,34885
56,ERR1135273,137590
57,ERR1135292,135565
58,SRR8960491,102491
59,SRR11489750,243778
60,SRR2329775,62434
61,SRR8960625,74545
62,ERR3211949,62866
63,ERR3211964,49369
64,SRR8960379,115640
65,SRR11551377,192645
66,SRR11489781,205641
67,SRR8960492,128916
68,SRR12795790,340752
69,SRR8655118,167148
70,ERR3211876,34067
71,SRR5240744,137724
72,ERR3211971,60457
73,SRR10209667,176417
74,SRR8655119,141981
75,SRR7182028,44924
76,SRR18048904,183781
77,SRR10209683,449097
78,ERR1135238,81967
79,SRR5241534,54215
80,SRR17241521,580164
81,SRR11489769,311883
82,SRR11805642,107504
83,ERR3211974,32993
84,SRR12795793,511972
85,SRR8960444,146737
86,SRR11805643,118706
87,ERR1135289,124532
88,SRR15057929,41084
89,SRR14369296,138713
90,SRR14812372,132397
91,ERR1135346,133696
92,SRR17241595,650123
93,ERR1135282,143329
94,SRR5240729,82328
95,ERR3211783,53520
96,SRR14812369,120262
97,SRR8655115,140252
98,ERR3211879,30124
99,SRR11125751,79378
