,metag,count
0,ERR3211766,3226
1,SRR11126273,1190
2,SRR8960968,10912
3,SRR14369136,7800
4,SRR17241596,14670
5,SRR11551383,10894
6,ERR1135349,14070
7,SRR17241663,23841
8,SRR17241609,15940
9,SRR11125534,1772
10,ERR1135427,2527
11,ERR1135331,10748
12,SRR14369255,8116
13,SRR11723733,1978
14,ERR1135199,4188
15,SRR8960391,10616
16,SRR16235699,26427
17,SRR14369268,7423
18,ERR3211929,5731
19,ERR3211812,9034
20,ERR1135401,5595
21,ERR3211801,6545
22,SRR12795775,277
23,ERR1135304,12122
24,ERR3211839,2390
25,SRR8960478,6841
26,SRR7182060,910
27,SRR11126360,2304
28,ERR8314769,12511
29,ERR3211891,2505
30,SRR14369219,4597
31,ERR1135303,12902
32,SRR11183981,3055
33,SRR11125497,3679
34,ERR8314788,13571
35,SRR5976181,9840
36,ERR8314743,10823
37,SRR14369306,3811
38,ERR1135412,5645
39,ERR3212050,1526
40,SRR8960309,3676
41,SRR14812375,7256
42,SRR17241485,13324
43,ERR1135213,7334
44,SRR11124923,2668
45,ERR8314767,12984
46,SRR11489792,20369
47,ERR3212024,0
48,ERR1135459,5652
49,SRR11489783,17475
50,SRR8960101,13920
51,SRR11183784,9702
52,SRR14369134,4364
53,ERR3211906,2732
54,ERR8314733,11485
55,SRR11124687,2540
56,ERR1135273,12761
57,ERR1135292,13514
58,SRR8960491,14566
59,SRR11489750,11213
60,SRR2329775,4014
61,SRR8960625,5643
62,ERR3211949,6536
63,ERR3211964,2881
64,SRR8960379,17452
65,SRR11551377,14245
66,SRR11489781,11558
67,SRR8960492,6645
68,SRR12795790,407
69,SRR8655118,2362
70,ERR3211876,1908
71,SRR5240744,13034
72,ERR3211971,2741
73,SRR10209667,10609
74,SRR8655119,1800
75,SRR7182028,2044
76,SRR18048904,8506
77,SRR10209683,31497
78,ERR1135238,5881
79,SRR5241534,1795
80,SRR17241521,48598
81,SRR11489769,21912
82,SRR11805642,8600
83,ERR3211974,1443
84,SRR12795793,65960
85,SRR8960444,10457
86,SRR11805643,6984
87,ERR1135289,9333
88,SRR15057929,1640
89,SRR14369296,7619
90,SRR14812372,6848
91,ERR1135346,15131
92,SRR17241595,12753
93,ERR1135282,11189
94,SRR5240729,778
95,ERR3211783,3219
96,SRR14812369,11945
97,SRR8655115,2190
98,ERR3211879,1514
99,SRR11125751,6189
