,metag,count
0,ERR3211766,64601
1,SRR11126273,10644
2,SRR8960968,36245
3,SRR14369136,57753
4,SRR17241596,182897
5,SRR11551383,124493
6,ERR1135349,273554
7,SRR17241663,183394
8,SRR17241609,247885
9,SRR11125534,11693
10,ERR1135427,20596
11,ERR1135331,147611
12,SRR14369255,102842
13,SRR11723733,31708
14,ERR1135199,42916
15,SRR8960391,88088
16,SRR16235699,176816
17,SRR14369268,83058
18,ERR3211929,39861
19,ERR3211812,63306
20,ERR1135401,47551
21,ERR3211801,124453
22,SRR12795775,66518
23,ERR1135304,155456
24,ERR3211839,83229
25,SRR8960478,30656
26,SRR7182060,31676
27,SRR11126360,7117
28,ERR8314769,339173
29,ERR3211891,57753
30,SRR14369219,66932
31,ERR1135303,163438
32,SRR11183981,11744
33,SRR11125497,6383
34,ERR8314788,286675
35,SRR5976181,167484
36,ERR8314743,231519
37,SRR14369306,66227
38,ERR1135412,43959
39,ERR3212050,30601
40,SRR8960309,16182
41,SRR14812375,63878
42,SRR17241485,200160
43,ERR1135213,83545
44,SRR11124923,6828
45,ERR8314767,306926
46,SRR11489792,202235
47,ERR3212024,17476
48,ERR1135459,50082
49,SRR11489783,353982
50,SRR8960101,35556
51,SRR11183784,16770
52,SRR14369134,50367
53,ERR3211906,38173
54,ERR8314733,320411
55,SRR11124687,11397
56,ERR1135273,237508
57,ERR1135292,150407
58,SRR8960491,39451
59,SRR11489750,245239
60,SRR2329775,51306
61,SRR8960625,27177
62,ERR3211949,76428
63,ERR3211964,79902
64,SRR8960379,28942
65,SRR11551377,100719
66,SRR11489781,217448
67,SRR8960492,54776
68,SRR12795790,73351
69,SRR8655118,81463
70,ERR3211876,39284
71,SRR5240744,57491
72,ERR3211971,94277
73,SRR10209667,144231
74,SRR8655119,68915
75,SRR7182028,24663
76,SRR18048904,44501
77,SRR10209683,433298
78,ERR1135238,102593
79,SRR5241534,19590
80,SRR17241521,189234
81,SRR11489769,282171
82,SRR11805642,70915
83,ERR3211974,53571
84,SRR12795793,136028
85,SRR8960444,40016
86,SRR11805643,58121
87,ERR1135289,110329
88,SRR15057929,23828
89,SRR14369296,103488
90,SRR14812372,74085
91,ERR1135346,211045
92,SRR17241595,195403
93,ERR1135282,100267
94,SRR5240729,29835
95,ERR3211783,77588
96,SRR14812369,180004
97,SRR8655115,67240
98,ERR3211879,37241
99,SRR11125751,15893
