,metag,count
0,ERR3211766,30904
1,SRR11126273,24090
2,SRR8960968,67869
3,SRR14369136,63911
4,SRR17241596,345482
5,SRR11551383,94660
6,ERR1135349,89771
7,SRR17241663,287177
8,SRR17241609,309597
9,SRR11125534,22477
10,ERR1135427,20673
11,ERR1135331,70893
12,SRR14369255,80583
13,SRR11723733,32984
14,ERR1135199,38018
15,SRR8960391,104009
16,SRR16235699,184434
17,SRR14369268,73201
18,ERR3211929,33346
19,ERR3211812,37324
20,ERR1135401,42721
21,ERR3211801,48282
22,SRR12795775,143911
23,ERR1135304,82292
24,ERR3211839,35545
25,SRR8960478,39493
26,SRR7182060,21186
27,SRR11126360,12693
28,ERR8314769,161333
29,ERR3211891,23863
30,SRR14369219,58026
31,ERR1135303,78430
32,SRR11183981,27442
33,SRR11125497,15589
34,ERR8314788,148625
35,SRR5976181,114255
36,ERR8314743,131159
37,SRR14369306,70563
38,ERR1135412,47896
39,ERR3212050,15872
40,SRR8960309,38378
41,SRR14812375,74674
42,SRR17241485,216591
43,ERR1135213,65674
44,SRR11124923,15301
45,ERR8314767,159265
46,SRR11489792,175817
47,ERR3212024,25846
48,ERR1135459,43757
49,SRR11489783,137503
50,SRR8960101,86010
51,SRR11183784,48187
52,SRR14369134,57573
53,ERR3211906,24498
54,ERR8314733,171715
55,SRR11124687,15687
56,ERR1135273,89865
57,ERR1135292,75636
58,SRR8960491,41793
59,SRR11489750,153474
60,SRR2329775,41076
61,SRR8960625,32317
62,ERR3211949,37159
63,ERR3211964,32671
64,SRR8960379,54039
65,SRR11551377,96123
66,SRR11489781,114419
67,SRR8960492,60549
68,SRR12795790,189443
69,SRR8655118,98221
70,ERR3211876,19864
71,SRR5240744,71050
72,ERR3211971,38780
73,SRR10209667,103563
74,SRR8655119,86768
75,SRR7182028,24739
76,SRR18048904,92924
77,SRR10209683,256476
78,ERR1135238,49238
79,SRR5241534,27309
80,SRR17241521,325028
81,SRR11489769,175323
82,SRR11805642,63393
83,ERR3211974,21549
84,SRR12795793,282921
85,SRR8960444,68718
86,SRR11805643,62559
87,ERR1135289,69445
88,SRR15057929,19704
89,SRR14369296,84516
90,SRR14812372,69161
91,ERR1135346,93722
92,SRR17241595,333225
93,ERR1135282,66081
94,SRR5240729,48102
95,ERR3211783,34342
96,SRR14812369,79053
97,SRR8655115,86100
98,ERR3211879,18441
99,SRR11125751,37898
