,metag,count
0,ERR3211766,71053
1,SRR11126273,43910
2,SRR8960968,112320
3,SRR14369136,97078
4,SRR17241596,161543
5,SRR11551383,110130
6,ERR1135349,169455
7,SRR17241663,697377
8,SRR17241609,505932
9,SRR11125534,20992
10,ERR1135427,46451
11,ERR1135331,99677
12,SRR14369255,78299
13,SRR11723733,29393
14,ERR1135199,39096
15,SRR8960391,118681
16,SRR16235699,395504
17,SRR14369268,60322
18,ERR3211929,122525
19,ERR3211812,240279
20,ERR1135401,176378
21,ERR3211801,180621
22,SRR12795775,54890
23,ERR1135304,189147
24,ERR3211839,83294
25,SRR8960478,92799
26,SRR7182060,15621
27,SRR11126360,24123
28,ERR8314769,294090
29,ERR3211891,92467
30,SRR14369219,145770
31,ERR1135303,224783
32,SRR11183981,24079
33,SRR11125497,17824
34,ERR8314788,222121
35,SRR5976181,164513
36,ERR8314743,153126
37,SRR14369306,80542
38,ERR1135412,111669
39,ERR3212050,40992
40,SRR8960309,16746
41,SRR14812375,83187
42,SRR17241485,225005
43,ERR1135213,112480
44,SRR11124923,37693
45,ERR8314767,276393
46,SRR11489792,380335
47,ERR3212024,11476
48,ERR1135459,90505
49,SRR11489783,191744
50,SRR8960101,48840
51,SRR11183784,17354
52,SRR14369134,123236
53,ERR3211906,75222
54,ERR8314733,284464
55,SRR11124687,13716
56,ERR1135273,87772
57,ERR1135292,173582
58,SRR8960491,356551
59,SRR11489750,165049
60,SRR2329775,117918
61,SRR8960625,63934
62,ERR3211949,203260
63,ERR3211964,86070
64,SRR8960379,59298
65,SRR11551377,234829
66,SRR11489781,154870
67,SRR8960492,65947
68,SRR12795790,72456
69,SRR8655118,45180
70,ERR3211876,55086
71,SRR5240744,697138
72,ERR3211971,72886
73,SRR10209667,120652
74,SRR8655119,44170
75,SRR7182028,22120
76,SRR18048904,203777
77,SRR10209683,424371
78,ERR1135238,171032
79,SRR5241534,34913
80,SRR17241521,547301
81,SRR11489769,259725
82,SRR11805642,74194
83,ERR3211974,42054
84,SRR12795793,474678
85,SRR8960444,137566
86,SRR11805643,92165
87,ERR1135289,118774
88,SRR15057929,51153
89,SRR14369296,135261
90,SRR14812372,99664
91,ERR1135346,181434
92,SRR17241595,219011
93,ERR1135282,277238
94,SRR5240729,16105
95,ERR3211783,112130
96,SRR14812369,126499
97,SRR8655115,37809
98,ERR3211879,47666
99,SRR11125751,57743
