,metag,count
0,ERR3211766,846
1,SRR11126273,443
2,SRR8960968,2301
3,SRR14369136,1883
4,SRR17241596,14709
5,SRR11551383,3920
6,ERR1135349,2152
7,SRR17241663,11051
8,SRR17241609,9345
9,SRR11125534,605
10,ERR1135427,1726
11,ERR1135331,2489
12,SRR14369255,1649
13,SRR11723733,960
14,ERR1135199,2200
15,SRR8960391,3995
16,SRR16235699,6234
17,SRR14369268,1040
18,ERR3211929,1375
19,ERR3211812,1138
20,ERR1135401,2606
21,ERR3211801,1515
22,SRR12795775,24
23,ERR1135304,3100
24,ERR3211839,1311
25,SRR8960478,3353
26,SRR7182060,825
27,SRR11126360,1614
28,ERR8314769,2877
29,ERR3211891,801
30,SRR14369219,1526
31,ERR1135303,2729
32,SRR11183981,965
33,SRR11125497,643
34,ERR8314788,2902
35,SRR5976181,4902
36,ERR8314743,2628
37,SRR14369306,1664
38,ERR1135412,3975
39,ERR3212050,589
40,SRR8960309,3141
41,SRR14812375,2420
42,SRR17241485,7594
43,ERR1135213,2958
44,SRR11124923,797
45,ERR8314767,3351
46,SRR11489792,7765
47,ERR3212024,0
48,ERR1135459,4088
49,SRR11489783,2982
50,SRR8960101,2574
51,SRR11183784,1154
52,SRR14369134,2104
53,ERR3211906,956
54,ERR8314733,3338
55,SRR11124687,2677
56,ERR1135273,1963
57,ERR1135292,2892
58,SRR8960491,3322
59,SRR11489750,3424
60,SRR2329775,1770
61,SRR8960625,2542
62,ERR3211949,1282
63,ERR3211964,834
64,SRR8960379,1461
65,SRR11551377,5753
66,SRR11489781,4498
67,SRR8960492,2597
68,SRR12795790,998
69,SRR8655118,675
70,ERR3211876,677
71,SRR5240744,2905
72,ERR3211971,953
73,SRR10209667,1462
74,SRR8655119,552
75,SRR7182028,1066
76,SRR18048904,8554
77,SRR10209683,4159
78,ERR1135238,2044
79,SRR5241534,1356
80,SRR17241521,7924
81,SRR11489769,6297
82,SRR11805642,1881
83,ERR3211974,546
84,SRR12795793,2820
85,SRR8960444,3159
86,SRR11805643,1450
87,ERR1135289,2853
88,SRR15057929,1423
89,SRR14369296,1888
90,SRR14812372,837
91,ERR1135346,2593
92,SRR17241595,10341
93,ERR1135282,3636
94,SRR5240729,458
95,ERR3211783,914
96,SRR14812369,2277
97,SRR8655115,613
98,ERR3211879,670
99,SRR11125751,1071
