intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
20000,0.05405405405405406,0.0036363636363636364,0.05405405405405406,0.5490196078431373,378.0,378.0,30.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_008572485.1 Bacteroides caccae,1c1b60a5e22e023111f018c46ffe5f66,0.0036363636363636364,20000,0,350000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,756,756,1377,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae
20000,0.05405405405405406,0.006944444444444444,0.05405405405405406,0.4103122730573711,282.5,282.5,281.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_010571055.1 Staphylococcus aureus,c55d04e0060e33b7ab0620aff7951cc5,0.006944444444444444,20000,1,330000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,565,1321,1377,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
20000,0.05405405405405406,0.002012072434607646,0.02702702702702703,0.0007262164124909223,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_943119165.1 Salmonella enterica subsp. enterica serovar Senftenberg,4b369ebc3837e3674a06cf2708469dbe,0.004024144869215292,10000,2,320000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,1,1322,1377,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
10000,0.02702702702702703,0.00423728813559322,0.02702702702702703,0.013798111837327523,19.0,19.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_902375195.1 Fusobacterium nucleatum,82e716a1185135d4d694e0ecacdf2839,0.00423728813559322,10000,3,310000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,19,1341,1377,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum
20000,0.05405405405405406,0.0021321961620469083,0.02702702702702703,0.0007262164124909223,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900002875.1 Salmonella enterica subsp. enterica serovar Typhi,4544fdd44a95047d2122c8a7afd6bfc5,0.0042643923240938165,10000,4,300000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,1,1342,1377,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
20000,0.05405405405405406,0.002242152466367713,0.02702702702702703,0.0014524328249818446,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002283105.1 Salmonella enterica subsp. enterica serovar Virchow,a3a66908b63aeb0447d4cce11b17d6c0,0.004484304932735426,10000,5,290000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,2,1344,1377,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
10000,0.02702702702702703,0.008264462809917356,0.02702702702702703,0.0007262164124909223,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_023389595.1 Fusobacteriota bacterium,58ae6dfa6116f5591cc6f52a2df2b86a,0.008264462809917356,10000,6,280000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3212024.x.s__Phascolarctobacterium_A succinatutens,f8743daa,370000,51,DNA,10000,37,True,,,,,True,1,1345,1377,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium sp023389595
