intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
30000,0.0379746835443038,0.005494505494505495,0.0379746835443038,0.515802781289507,272.0,378.0,193.1338050851447,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015548495.1 Bacteroides fragilis,4d667b78b335031c3509e90de793f50d,0.005494505494505495,30000,0,760000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,816,816,1582,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
20000,0.02531645569620253,0.004123711340206186,0.02531645569620253,0.3634639696586599,287.5,287.5,286.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003689935.1 Salmonella enterica subsp. enterica serovar Paratyphi A,ad6ee85a094518b78f74886d23cf956a,0.004123711340206186,20000,1,740000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,575,1391,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
20000,0.02531645569620253,0.00847457627118644,0.02531645569620253,0.06257901390644753,49.5,49.5,41.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_902375195.1 Fusobacterium nucleatum,82e716a1185135d4d694e0ecacdf2839,0.00847457627118644,20000,2,720000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,99,1490,1582,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum
10000,0.012658227848101266,0.0035335689045936395,0.012658227848101266,0.007585335018963337,12.0,12.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034043035.1 Staphylococcus aureus,01e7141f49da2b5c718ce104176b9fd4,0.0035335689045936395,10000,3,710000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,12,1502,1582,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
20000,0.02531645569620253,0.002012072434607646,0.012658227848101266,0.0006321112515802782,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_943119165.1 Salmonella enterica subsp. enterica serovar Senftenberg,4b369ebc3837e3674a06cf2708469dbe,0.004024144869215292,10000,4,700000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,1,1503,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
10000,0.012658227848101266,0.001996007984031936,0.012658227848101266,0.0012642225031605564,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_035011205.1 Escherichia coli,b2a96d128defbd480b3b613227c87af0,0.001996007984031936,10000,5,690000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,2,1505,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
10000,0.012658227848101266,0.004098360655737705,0.012658227848101266,0.0012642225031605564,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_037993075.1 Fusobacterium nucleatum,575d64ef910150f4a998a7cccd59b4d2,0.004098360655737705,10000,6,680000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,2,1507,1582,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis
10000,0.012658227848101266,0.0022522522522522522,0.012658227848101266,0.0006321112515802782,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_014872245.1 Escherichia coli,a98c3ce397a4a5195fb4fe612bf88335,0.0022522522522522522,10000,7,670000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,1,1508,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
10000,0.012658227848101266,0.0019230769230769232,0.012658227848101266,0.0006321112515802782,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009909915.1 Escherichia coli,4ec2c4b9715918ca33444c04a572bcd8,0.0019230769230769232,10000,8,660000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,1,1509,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
10000,0.012658227848101266,0.003003003003003003,0.012658227848101266,0.0006321112515802782,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_019502745.1 Enterobacter sp. Colony194,a74b5bdb05595b82cc622c1e8e2d010d,0.003003003003003003,10000,9,650000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,1,1510,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter subterranea
10000,0.012658227848101266,0.005128205128205128,0.012658227848101266,0.0006321112515802782,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_024279495.1 Gammaproteobacteria bacterium,228a736f28efea32b8ea04f0ca512780,0.005128205128205128,10000,10,640000,outputs.mapping/bams.cds.rand/ERR3212024.x.s__Lactobacillus amylovorus.fastq.gz,ERR3212024.x.s__Lactobacillus amylovorus,56b5be60,790000,51,DNA,10000,79,True,,,,,True,1,1511,1582,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAJRRL01;f__JAJRRL01;g__JAJRRL01;s__JAJRRL01 sp024279495
