intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
530000,0.16307692307692306,0.2409090909090909,0.16307692307692306,0.1861198738170347,3.339622641509434,1.0,8.067973948345736,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_002320005.1 Firmicutes bacterium UBA1702,7e08ba56ee426e63c2029467361ad169,0.2409090909090909,530000,0,2720000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9650653344339036,0.9724773037388477,0.9687713190863756,0.9724773037388477,False,177,177,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
530000,0.16307692307692306,0.05263157894736842,0.033846153846153845,0.03890641430073607,3.3636363636363638,1.0,5.973771874889695,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945936195.1 uncultured Firmicutes bacterium,709cb201460207a15a23fa15a6fcb8c5,0.2535885167464115,110000,1,2610000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9650653344339036,0.9734558656457303,0.969260600039817,0.9734558656457303,False,37,214,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
90000,0.027692307692307693,0.021164021164021163,0.024615384615384615,0.13564668769716087,16.125,3.5,31.234746277183042,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.023809523809523808,80000,2,2530000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9320903731869981,0.9293334784911674,0.9307119258390828,0.9320903731869981,False,129,343,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
320000,0.09846153846153846,0.028846153846153848,0.018461538461538463,0.007360672975814932,1.1666666666666667,1.0,0.3726779962499649,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945864645.1 uncultured Firmicutes bacterium,2b8c11e85ff978fb6584aa90b61f1719,0.15384615384615385,60000,3,2470000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9555647701230944,0.9639633502871261,0.9597640602051103,0.9639633502871261,False,7,350,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
50000,0.015384615384615385,0.01483679525222552,0.015384615384615385,0.01892744479495268,3.6,1.0,3.8781438859330635,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015669665.1 Agathobacter rectalis,172f28499b1621de2a2a735c7b1f6385,0.01483679525222552,50000,4,2420000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9214094865050211,0.9207546559120915,0.9210820712085563,0.9214094865050211,True,18,368,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
460000,0.14153846153846153,0.02304147465437788,0.015384615384615385,0.008412197686645636,1.6,1.0,0.8,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945917585.1 uncultured Firmicutes bacterium,b70fcd2c576dbcd8467b57ad6ab73a3d,0.2119815668202765,50000,5,2370000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9623886219435105,0.9700411521656336,0.966214887054572,0.9700411521656336,False,8,376,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
60000,0.018461538461538463,0.009433962264150943,0.015384615384615385,0.04942166140904311,9.4,5.0,10.44222198576529,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000371485.1 [Clostridium] clostridioforme 90B1,1c2b5c97e829689c6b3d70b01cd79a65,0.011320754716981131,50000,6,2320000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9247093581060719,0.9158844672204532,0.9202969126632625,0.9247093581060719,True,47,423,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
40000,0.012307692307692308,0.0136986301369863,0.012307692307692308,0.023133543638275498,5.5,4.5,4.387482193696061,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945963325.1 uncultured Clostridium sp.,c72e40e1317e7f0af39a23d82804a2a6,0.0136986301369863,40000,7,2280000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9173867916318389,0.9193148122519929,0.9183508019419159,0.9193148122519929,True,22,445,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp017622575
430000,0.13230769230769232,0.020512820512820513,0.012307692307692308,0.006309148264984227,1.5,1.0,0.8660254037844386,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_938029315.1 uncultured Firmicutes bacterium,9aedb89ba42301e3934abbfbbf961424,0.2205128205128205,40000,8,2240000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9611168214355217,0.970791921811585,0.9659543716235534,0.970791921811585,False,6,451,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
40000,0.012307692307692308,0.013157894736842105,0.012307692307692308,0.01892744479495268,4.5,3.0,3.840572873934304,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_023347235.1 Faecalibacterium sp. I4-1-79,907fa411823bfbb5be9253d5f9643455,0.013157894736842105,40000,9,2200000,outputs.mapping/bams.cds.rand/ERR1135238.x.s__Fimisoma sp002320005.fastq.gz,ERR1135238.x.s__Fimisoma sp002320005,9877b366,3250000,51,DNA,10000,325,True,0.9173867916318389,0.9185891303484345,0.9179879609901367,0.9185891303484345,True,18,469,951,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium tardum
