intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1510000,0.10120643431635389,0.551094890510949,0.10120643431635389,0.06109510086455332,2.1059602649006623,2.0,2.30792564148697,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034104765.1 Bariatricus sp.,5fb309ac99bb26cd210eba81e4539c8d,0.551094890510949,1510000,0,13410000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9560800958826492,0.9883846853195485,0.9722323906010988,0.9883846853195485,False,318,318,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
320000,0.021447721179624665,0.10774410774410774,0.021447721179624665,0.07684918347742556,12.5,2.0,45.398926198754964,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009696065.1 Oliverpabstia intestinalis,73677b2e91ab00f52564bad2dbf630bb,0.10774410774410774,320000,1,13090000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9274318009148259,0.9572542960699043,0.9423430484923652,0.9572542960699043,False,400,718,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis
1310000,0.08780160857908847,0.1222707423580786,0.01876675603217158,0.013064361191162345,2.4285714285714284,1.5,2.498979383505129,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034171565.1 Bariatricus sp.,4ec87acad20ef2555254de0e78e21518,0.5720524017467249,280000,2,12810000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.953420228917775,0.9891082846529079,0.9712642567853415,0.9891082846529079,False,68,786,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
240000,0.0160857908847185,0.06128133704735376,0.014745308310991957,0.008261287223823247,1.9545454545454546,1.0,1.6916176423571267,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_022784915.1 Blautia sp.,813296a744f98eca3e19a0bd99b06bcd,0.06685236768802229,220000,3,12590000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9222150477012202,0.9483378280244914,0.9352764378628557,0.9483378280244914,False,43,829,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065
330000,0.022117962466487937,0.04714640198511166,0.012734584450402145,0.02862632084534102,7.842105263157895,3.0,13.417440174303923,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022782205.1 Lachnospiraceae bacterium,5d1fe08c84b2c770dab5488addf16ba5,0.08188585607940446,190000,4,12400000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9279915504473586,0.952117111663391,0.9400543310553748,0.952117111663391,False,149,978,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp004556655
170000,0.011394101876675604,0.07391304347826087,0.011394101876675604,0.07627281460134486,23.352941176470587,25.0,17.753015241727542,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945829295.1 uncultured Lachnobacterium sp.,cb8bcd25e47853fd001c1ad2b356cf3a,0.07391304347826087,170000,5,12230000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9160004524861663,0.9502066390673916,0.9331035457767789,0.9502066390673916,False,397,1375,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900549895
210000,0.014075067024128687,0.05387205387205387,0.010723860589812333,0.019596541786743516,6.375,1.5,9.720307351107783,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900066515.1 uncultured Dorea sp.,c3a15c59629032011e52ce97275bf861,0.0707070707070707,160000,6,12070000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9198036048051941,0.9493808077012653,0.9345922062532297,0.9493808077012653,False,102,1477,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans
1460000,0.09785522788203753,0.0599250936329588,0.010723860589812333,0.00595581171950048,1.9375,1.0,2.633171804117612,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034089445.1 Bariatricus sp.,9d20418ff58b4b6be00dd7d677cf98ec,0.5468164794007491,160000,7,11910000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9554490436320705,0.9882336529373811,0.9718413482847258,0.9882336529373811,False,31,1508,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
180000,0.012064343163538873,0.050359712230215826,0.00938337801608579,0.007108549471661864,2.642857142857143,2.0,1.9496205805651687,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034099995.1 Blautia sp.,0a4199b463d6243c8c712ed01dc18db9,0.06474820143884892,140000,8,11770000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9170276384394446,0.9477433360043385,0.9323854872218915,0.9477433360043385,False,37,1545,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp022777285
140000,0.00938337801608579,0.03333333333333333,0.00871313672922252,0.004803073967339097,1.9230769230769231,1.0,1.817078740156572,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003481455.1 Blautia sp. OM05-6,056956f9629a6b2febc3d5375451d801,0.035897435897435895,130000,9,11640000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Bariatricus sp004560705.fastq.gz,ERR1135346.x.s__Bariatricus sp004560705,cd49f09e,14920000,51,DNA,10000,1492,True,0.9125198858935352,0.9368453604420683,0.9246826231678018,0.9368453604420683,False,25,1570,5205,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
