intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
320000,0.054982817869415807,0.07476635514018691,0.054982817869415807,0.06215083798882681,2.78125,2.0,3.1098068167492334,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004562005.1 bacterium,96578991664abd2275b71f54014299fa,0.07476635514018691,320000,0,5500000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9447101218224581,0.9504205280469492,0.9475653249347036,0.9504205280469492,False,89,89,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
160000,0.027491408934707903,0.04437869822485207,0.02577319587628866,0.017458100558659217,1.6666666666666667,2.0,0.699205898780101,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022773565.1 Lachnospiraceae bacterium,22fb3c10dc1e4d51a67e4ee1e26e7869,0.047337278106508875,150000,1,5350000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9319573108754404,0.9419407676361888,0.9369490392558146,0.9419407676361888,False,25,114,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp000434275
150000,0.02577319587628866,0.034013605442176874,0.02577319587628866,0.07611731843575419,7.266666666666667,2.0,10.188010382579886,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_018785545.1 Blautia wexlerae,b6bd1acc9eae3940d4731b5f80b3faca,0.034013605442176874,150000,2,5200000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9307787009594554,0.9358556698969571,0.9333171854282063,0.9358556698969571,False,109,223,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
150000,0.02577319587628866,0.0377906976744186,0.022336769759450172,0.014664804469273743,1.6153846153846154,1.0,1.0769230769230769,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003467085.1 Agathobacter rectalis,87f350426e9969c6def927ae962726ae,0.0436046511627907,130000,3,5070000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9307787009594554,0.9404250153757189,0.9356018581675871,0.9404250153757189,False,21,244,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
130000,0.022336769759450172,0.02027027027027027,0.015463917525773196,0.04120111731843575,6.555555555555555,4.0,6.344045521608977,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_020731525.1 Roseburia inulinivorans DSM 16841,b1e9f68d57ff5c0cb20a4cb3ad79b686,0.02927927927927928,90000,4,4980000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9281706906487338,0.9331093829143532,0.9306400367815435,0.9331093829143532,False,59,303,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
110000,0.018900343642611683,0.039473684210526314,0.015463917525773196,0.023743016759776536,3.7777777777777777,1.0,5.370242654930921,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945867955.1 uncultured Clostridia bacterium,63ab50c3aef8bec83975bc071f715940,0.04824561403508772,90000,5,4890000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9251353762194979,0.9422918780757202,0.9337136271476091,0.9422918780757202,False,34,337,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp003487665
100000,0.01718213058419244,0.03409090909090909,0.015463917525773196,0.009078212290502794,1.4444444444444444,1.0,0.4969039949999533,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945917315.1 uncultured Lachnobacterium sp.,b3c85573bddb32fae48404a53c1b9314,0.03787878787878788,90000,6,4800000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9234080727173715,0.9378327900791945,0.930620431398283,0.9378327900791945,False,13,350,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900543445
90000,0.015463917525773196,0.03404255319148936,0.013745704467353952,0.018156424581005588,3.25,2.5,2.277608394786075,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034171385.1 Agathobacter sp.,1bee46cbb4e96c5ec07c73d678babce4,0.03829787234042553,80000,7,4720000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9215023800946508,0.938035146083173,0.9297687630889119,0.938035146083173,False,26,376,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900549895
180000,0.030927835051546393,0.020895522388059702,0.012027491408934709,0.006284916201117319,1.2857142857142858,1.0,0.45175395145262565,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945948405.1 uncultured bacterium,36b55ff59cb6784f34b9a340a23280fe,0.05373134328358209,70000,8,4650000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9341121268109834,0.9442837235270569,0.9391979251690201,0.9442837235270569,False,9,385,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
120000,0.020618556701030927,0.020771513353115726,0.012027491408934709,0.011871508379888268,2.4285714285714284,1.0,1.9897697538834456,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_019424215.1 Roseburia sp.,d4122d01cc0bcb0e126032ead1689b19,0.03560830860534125,70000,9,4580000,outputs.mapping/bams.cds.rand/ERR3212050.x.s__Roseburia inulinivorans.fastq.gz,ERR3212050.x.s__Roseburia inulinivorans,2de99372,5820000,51,DNA,10000,582,True,0.9267151019155395,0.9366968203047958,0.9317059611101677,0.9366968203047958,False,17,402,1432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
