intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
300000,0.029940119760479042,0.14285714285714285,0.029940119760479042,0.1764505119453925,34.46666666666667,2.0,72.55422493249829,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000188175.1 Phascolarctobacterium succinatutens YIT 12067,c90964210746f7c7ce1dc8419f0465dc,0.14285714285714285,300000,0,9720000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9335178321442249,0.9625636347671247,0.9480407334556749,0.9625636347671247,False,1034,1034,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
190000,0.018962075848303395,0.10919540229885058,0.018962075848303395,0.008020477815699659,2.473684210526316,2.0,2.1366087505457303,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945868145.1 uncultured Phascolarctobacterium sp.,b987e57ac949e449735b1b00f454bffd,0.10919540229885058,190000,1,9530000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9251945300412762,0.9575054659183578,0.941349997979817,0.9575054659183578,False,47,1081,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900553055
180000,0.017964071856287425,0.0641025641025641,0.014970059880239521,0.010409556313993174,4.066666666666666,2.0,8.045426582157647,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034086985.1 Phascolarctobacterium sp.,73ca3e1d60f648a57774236d9506161f,0.07692307692307693,150000,2,9380000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9242142125673478,0.950950636564582,0.937582424565965,0.950950636564582,False,61,1142,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp034086985
120000,0.011976047904191617,0.035830618892508145,0.010978043912175649,0.17064846416382254,90.9090909090909,13.0,130.2860172121005,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009876955.1 Bittarella massiliensis (ex Durand et al. 2017),3baea426bc15582e037d93291a35240f,0.03908794788273615,110000,3,9270000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9168955670398317,0.9384108002363158,0.9276531836380737,0.9384108002363158,False,1000,2142,5860,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Bittarella;s__Bittarella massiliensis
120000,0.011976047904191617,0.043243243243243246,0.007984031936127744,0.003242320819112628,2.375,1.5,1.8666480653835098,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004558595.1 Phascolarctobacterium sp.,82f5ae137c37969242b7840b4f05f8d0,0.06486486486486487,80000,4,9190000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9168955670398317,0.9477767897138991,0.9323361783768653,0.9477767897138991,False,19,2161,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004558595
80000,0.007984031936127744,0.018140589569160998,0.007984031936127744,0.08344709897610922,61.125,8.5,116.78873821991571,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_013302025.1 Blautia wexlerae,36a5f8f485f6629a4f2c02a4d11b4e29,0.018140589569160998,80000,5,9110000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9096348762284724,0.9243914284213022,0.9170131523248872,0.9243914284213022,False,489,2650,5860,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
110000,0.010978043912175649,0.05,0.006986027944111776,0.0018771331058020477,1.5714285714285714,1.0,0.7284313590846835,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945949475.1 uncultured Phascolarctobacterium sp.,74363dd08844650db75a8cfe97a737d7,0.07857142857142857,70000,6,9040000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9153325802223671,0.9513460570442884,0.9333393186333278,0.9513460570442884,False,11,2661,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp945949475
280000,0.027944111776447105,0.03111111111111111,0.006986027944111776,0.024573378839590442,20.571428571428573,2.0,35.64450325428731,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004557745.1 Phascolarctobacterium sp.,bd60db0343f75cedcf2f5b5458e684ec,0.12444444444444444,70000,7,8970000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9322558217295768,0.9599628398440028,0.9461093307867898,0.9599628398440028,False,144,2805,5860,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
70000,0.006986027944111776,0.021660649819494584,0.005988023952095809,0.011092150170648464,10.833333333333334,5.0,14.380735570740306,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004557945.1 Bacteroidales bacterium,09e14cec75f525839d7e831d2f205eca,0.02527075812274368,60000,8,8910000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9072563284421111,0.9304194694536365,0.9188378989478738,0.9304194694536365,False,65,2870,5860,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565
70000,0.006986027944111776,0.02459016393442623,0.005988023952095809,0.003924914675767918,3.8333333333333335,3.5,2.034425935955617,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_934852635.1 uncultured bacterium,a6e020ecae499a40c60ec7b41541e2ad,0.028688524590163935,60000,9,8850000,outputs.mapping/bams.cds.rand/SRR14369134.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14369134.x.s__Phascolarctobacterium_A succinatutens,412c1992,10020000,51,DNA,10000,1002,True,0.9072563284421111,0.9327365270664969,0.919996427754304,0.9327365270664969,False,23,2893,5860,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975
