intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1730000,0.15336879432624115,0.8160377358490566,0.15336879432624115,0.21959755030621173,4.3526011560693645,4.0,2.619944986272981,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963649195.1 Clostridiales bacterium,21e896d6aea212c2fd0b217e597645e9,0.8160377358490566,1730000,0,9550000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9639046134300278,0.996021764031036,0.9799631887305319,0.996021764031036,False,753,753,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
1620000,0.14361702127659576,0.14009661835748793,0.025709219858156027,0.07874015748031496,9.310344827586206,3.0,19.84092504843576,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_023497905.1 Phascolarctobacterium succinatutens,44ca03cd188471971178a61ff5969afd,0.782608695652174,290000,1,9260000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9626637664525002,0.9952052091797308,0.9789344878161155,0.9952052091797308,False,270,1023,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
210000,0.018617021276595744,0.15,0.018617021276595744,0.037328667249927096,6.095238095238095,4.0,5.731323805401181,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945949475.1 uncultured Phascolarctobacterium sp.,74363dd08844650db75a8cfe97a737d7,0.15,210000,2,9050000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9248614348712247,0.9634849310274809,0.9441731829493528,0.9634849310274809,False,128,1151,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp945949475
1690000,0.149822695035461,0.0761904761904762,0.014184397163120567,0.04286964129483815,9.1875,3.0,17.547146313574753,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000188175.1 Phascolarctobacterium succinatutens YIT 12067,c90964210746f7c7ce1dc8419f0465dc,0.8047619047619048,160000,3,8890000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9634625872728533,0.9957500602749978,0.9796063237739255,0.9957500602749978,False,147,1298,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
1690000,0.149822695035461,0.048034934497816595,0.00975177304964539,0.006124234470691163,1.9090909090909092,2.0,1.378704626191191,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963586075.1 Oscillospiraceae bacterium,d311dd10f41d07fc0a4e5c6573029269,0.7379912663755459,110000,4,8780000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9634625872728533,0.9940603902574187,0.9787614887651359,0.9940603902574187,False,21,1319,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
1610000,0.1427304964539007,0.044642857142857144,0.008865248226950355,0.00379119276757072,1.3,1.0,0.45825756949558394,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963644095.1 Acutalibacteraceae bacterium,f764780a86df363558cb5af61ba6af1d,0.71875,100000,5,8680000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9625468954022596,0.9935455925591548,0.9780462439807072,0.9935455925591548,False,13,1332,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
130000,0.01152482269503546,0.05102040816326531,0.008865248226950355,0.009623797025371828,3.3,2.5,2.6476404589747453,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034118385.1 Phascolarctobacterium sp.,0d2e34ff373c5a54660e59018749ca54,0.0663265306122449,100000,6,8580000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9162053606732791,0.9481910005547493,0.9321981806140142,0.9481910005547493,False,33,1365,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900553055
380000,0.03368794326241135,0.035398230088495575,0.0070921985815602835,0.004666083406240887,2.0,1.0,1.3228756555322954,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_037245785.1 Phascolarctobacterium succinatutens,244d59718d0010125868c1c2b0406559,0.168141592920354,80000,7,8500000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9356791475043741,0.9656442525609699,0.950661700032672,0.9656442525609699,False,16,1381,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B
1680000,0.14893617021276595,0.035555555555555556,0.0070921985815602835,0.0568678915135608,24.375,1.0,57.738499937216936,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004557745.1 Phascolarctobacterium sp.,bd60db0343f75cedcf2f5b5458e684ec,0.7466666666666667,80000,8,8420000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9633504781951399,0.9942882095045462,0.978819343849843,0.9942882095045462,False,195,1576,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
100000,0.008865248226950355,0.031413612565445025,0.005319148936170213,0.0029163021289005542,1.6666666666666667,2.0,0.4714045207910317,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_946002345.1 uncultured Phascolarctobacterium sp.,c11f97afa92f7df7247c6946f127e115,0.05235602094240838,60000,9,8360000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9115041390946241,0.943803750208405,0.9276539446515146,0.943803750208405,False,10,1586,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp946002345
1620000,0.14361702127659576,0.028846153846153848,0.005319148936170213,0.0026246719160104987,1.5,1.5,0.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_958447615.1 Phascolarctobacterium succinatutens,0631b8dc3b3b2fb9acae5c751943ea07,0.7788461538461539,60000,10,8300000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9626637664525002,0.9951111708980973,0.9788874686752987,0.9951111708980973,False,9,1595,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
80000,0.0070921985815602835,0.01639344262295082,0.004432624113475178,0.025663458734324875,17.6,3.0,27.796402644946703,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_041324805.1 Gemmiger qucibialis,3d55458823d5c74aa216138e186c8b7d,0.02622950819672131,50000,11,8250000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9075246890445401,0.931099053665909,0.9193118713552245,0.931099053665909,False,88,1683,3429,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
60000,0.005319148936170213,0.00865051903114187,0.004432624113475178,0.039953339165937594,27.4,20.0,22.913751329714653,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_001304835.1 Clostridia bacterium UC5.1-1F7,d107f21fae9affb0d2aedbfc6a2cca84,0.010380622837370242,50000,12,8200000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9024199122476589,0.9143288425854469,0.9083743774165529,0.9143288425854469,True,137,1820,3429,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
310000,0.0274822695035461,0.021367521367521368,0.004432624113475178,0.0023330417031204435,1.6,1.0,0.8,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963653385.1 bacterium,15a5502d297b17fe627cd98aff3ab888,0.13247863247863248,50000,13,8150000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9319512348610226,0.961141154126347,0.9465461944936848,0.961141154126347,False,8,1828,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp937920985
50000,0.004432624113475178,0.013227513227513227,0.004432624113475178,0.005249343832020997,3.6,1.0,3.8781438859330635,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004552745.1 Bacteroidales bacterium,3e08b90199a5db83c0a22b1dda3b56da,0.013227513227513227,50000,14,8100000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.8991995816491367,0.9186841832521313,0.908941882450634,0.9186841832521313,True,18,1846,3429,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000433355
1570000,0.13918439716312056,0.020100502512562814,0.0035460992907801418,0.0017497812773403325,1.5,1.5,0.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_958353795.1 Phascolarctobacterium succinatutens,265aaae2a0adb4d1845d3bb69fe26f32,0.7889447236180904,40000,15,8060000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9620721832171184,0.9953625701713735,0.978717376694246,0.9953625701713735,False,6,1852,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
60000,0.005319148936170213,0.021621621621621623,0.0035460992907801418,0.019247594050743656,16.5,5.0,22.46664193866097,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004558595.1 Phascolarctobacterium sp.,82f5ae137c37969242b7840b4f05f8d0,0.032432432432432434,40000,16,8020000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9024199122476589,0.9349825812683754,0.9187012467580171,0.9349825812683754,True,66,1918,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004558595
370000,0.03280141843971631,0.018779342723004695,0.0035460992907801418,0.002041411490230388,1.75,1.5,0.82915619758885,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_036737635.1 Acidaminococcaceae bacterium,5de9c11bd70048e4cfc5e8f3d05fe630,0.17370892018779344,40000,17,7980000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9351900024101442,0.966261223343891,0.9507256128770176,0.966261223343891,False,7,1925,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B
1470000,0.13031914893617022,0.02072538860103627,0.0035460992907801418,0.0014581510644502771,1.25,1.0,0.4330127018922193,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_958440845.1 Phascolarctobacterium succinatutens,9b8a606bd69c15ab1c90d71a95ee1598,0.7616580310880829,40000,18,7940000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9608314728147596,0.9946758394962967,0.9777536561555281,0.9946758394962967,False,5,1930,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
90000,0.007978723404255319,0.0273972602739726,0.0035460992907801418,0.004666083406240887,4.0,2.0,4.123105625617661,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004555045.1 Phascolarctobacterium sp.,b4a42755a57cb42fe32565fa6e1c372a,0.06164383561643835,40000,19,7900000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,ERR3211801.x.s__Phascolarctobacterium_A succinatutens,3877414d,11280000,51,DNA,10000,1128,True,0.9096230133336805,0.9468307329600422,0.9282268731468613,0.9468307329600422,False,16,1946,3429,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900553055
