intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
230000,0.026869158878504672,0.14375,0.026869158878504672,0.00377256804095931,1.2173913043478262,1.0,0.4124709991523974,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945948055.1 Lactobacillus johnsonii,b2cdc21f17ec9d37e77938487770e6e1,0.14375,230000,0,8330000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9315390393575321,0.9626812360802135,0.9471101377188729,0.9626812360802135,False,28,28,7422,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp910589675
120000,0.014018691588785047,0.04597701149425287,0.014018691588785047,0.040959310158986795,25.333333333333332,1.0,55.51626388325817,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002128515.1 Limosilactobacillus reuteri,d5ae3ccf56e2809b1a47738b90552564,0.04597701149425287,120000,1,8210000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9197312248210182,0.9414024161382295,0.9305668204796238,0.9414024161382295,False,304,332,7422,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_I
90000,0.010514018691588784,0.036,0.010514018691588784,0.009431420102398275,7.777777777777778,6.0,7.856742013183861,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034099875.1 Sodaliphilus sp.,dc8565192ef992673d48c031778e8cf5,0.036,90000,2,8120000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9145577869272499,0.9368977714068633,0.9257277791670566,0.9368977714068633,False,70,402,7422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565
80000,0.009345794392523364,0.0221606648199446,0.009345794392523364,0.050794933980059284,47.125,8.5,84.45329700491273,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_900767545.1 uncultured Prevotella sp.,3c24bd84290a8e846399a50440910004,0.0221606648199446,80000,3,8040000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9124480790702567,0.9280266474356654,0.920237363252961,0.9280266474356654,False,377,779,7422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900556795
60000,0.007009345794392523,0.018575851393188854,0.007009345794392523,0.02950687146321746,36.5,29.5,37.94623389305804,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003478105.1 Clostridiaceae bacterium AF31-3BH,713e339b178eb6b325744cf6d00a2f43,0.018575851393188854,60000,4,7980000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9073156084734507,0.9248212884205945,0.9160684484470226,0.9248212884205945,True,219,998,7422,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola aquisgranensis
50000,0.005841121495327103,0.01718213058419244,0.005841121495327103,0.28294260307194824,420.0,171.0,635.6747596058852,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002251295.1 Prevotella sp. P5-50,e0b4f5e74144729f3a8f0c0fb991e304,0.01718213058419244,50000,5,7930000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9040778073380499,0.9234080727173715,0.9137429400277106,0.9234080727173715,True,2100,3098,7422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251295
50000,0.005841121495327103,0.013477088948787063,0.005841121495327103,0.038264618701158715,56.8,2.0,88.93008489819404,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531135.1 Segatella hominis,fbfb9fa1cd55529571913ff882c8b132,0.013477088948787063,50000,6,7880000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9040778073380499,0.9190209541195856,0.9115493807288177,0.9190209541195856,True,284,3382,7422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945863825
70000,0.008177570093457943,0.01904761904761905,0.004672897196261682,0.016168148746968473,30.0,2.0,49.08156476723211,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000188175.1 Phascolarctobacterium succinatutens YIT 12067,c90964210746f7c7ce1dc8419f0465dc,0.03333333333333333,40000,7,7840000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9100621752143704,0.9354850213892802,0.9227735983018253,0.9354850213892802,False,120,3502,7422,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
40000,0.004672897196261682,0.009925558312655087,0.004672897196261682,0.007006197790353005,13.0,12.5,11.113055385446435,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009494055.1 Segatella copri,d382d7b09d6bebac6f7924e8a841e02a,0.009925558312655087,40000,8,7800000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9001307792101635,0.9135255221232728,0.9068281506667182,0.9135255221232728,True,52,3554,7422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_F
210000,0.02453271028037383,0.02531645569620253,0.004672897196261682,0.0005389382915656157,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_000219475.3 Lactobacillus johnsonii pf01,ccf4c8325a83553214c3ae11cf8a6dcb,0.13291139240506328,40000,9,7760000,outputs.mapping/bams.cds.rand/ERR1135346.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135346.x.s__Lactobacillus amylovorus,d5a40758,8560000,51,DNA,10000,856,True,0.9298788780533038,0.9612026185349023,0.9455407482941031,0.9612026185349023,False,4,3558,7422,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
