intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2550000,0.038334335538184,0.8614864864864865,0.038334335538184,0.12658771333500304,13.874509803921569,13.0,11.207837648704045,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945899945.1 uncultured Bacteroidales bacterium,f3474a6004af9ec394f65826b862bd74,0.8614864864864865,2550000,0,63970000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.93805264964486,0.9970808199170894,0.9675667347809747,0.9970808199170894,False,3538,3538,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
1080000,0.016235718580877932,0.29329608938547486,0.015784726398075766,0.033060216823499945,8.8,4.0,18.41293541172049,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_905193385.1 uncultured Prevotella sp.,fb54e231109b2ad44ac0cff7c4bd6760,0.3016759776536313,1050000,1,62920000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9223828217839313,0.9767758562193224,0.9495793390016268,0.9767758562193224,False,924,4462,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp905193385
2440000,0.03668069753457607,0.3333333333333333,0.014281419122068552,0.03345379083330352,9.842105263157896,8.0,9.052264374437433,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022785385.1 Prevotella sp.,1382327904e0cdf4335f8b100532d599,0.856140350877193,950000,2,61970000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9372419466065087,0.9969591239368768,0.9671005352716928,0.9969591239368768,False,935,5397,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
2040000,0.030667468430547205,0.18873239436619718,0.010072158749248347,0.02007227449998211,8.373134328358208,3.0,23.08700986495098,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_019052395.1 Leyella stercorea,3f0fda1097a77cdaec6e92a540d9fada,0.5746478873239437,670000,3,61300000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9339572939536411,0.9891960842197394,0.9615766890866903,0.9891960842197394,False,561,5958,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
760000,0.011425135297654841,0.16085790884718498,0.009019843656043296,0.07306164800171741,34.03333333333333,9.5,145.4025408611861,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_019409885.1 Prevotella sp.,6c154c098b819aff0d260c0c4f175361,0.2037533512064343,600000,4,60700000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9160493060090916,0.9692884428257053,0.9426688744173984,0.9692884428257053,False,2042,8000,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215
540000,0.008117859290438966,0.1356382978723404,0.007666867107636801,0.055279258649683354,30.294117647058822,20.0,57.304927111726414,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_037065365.1 Prevotella sp.,605b0cec1d5e057a79649508b53f6ab4,0.14361702127659576,510000,5,60190000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9099314110545798,0.9626637664525002,0.93629758875354,0.9626637664525002,False,1545,9545,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900546535
2490000,0.037432351172579675,0.16206896551724137,0.007065544197233915,0.01907044974775484,11.340425531914894,5.0,14.373848291690697,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945830405.1 uncultured Bacteroidales bacterium,8e863c8ca825f6c151f6b856d354b387,0.8586206896551725,470000,6,59720000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9376147980972797,0.9970156771373502,0.9673152376173149,0.9970156771373502,False,533,10078,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
490000,0.007366205652435358,0.13855421686746988,0.006915213469633193,0.030162080933128197,18.32608695652174,6.0,52.845161165438164,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040095575.1 Hallella faecis,f700ccc7abfc04c22b47eb0be811ccdd,0.14759036144578314,460000,7,59260000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.908199485959487,0.963179031836405,0.935689258897946,0.963179031836405,False,843,10921,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella faecis
440000,0.00661455201443175,0.17768595041322313,0.006464221286831029,0.009517335146159076,6.186046511627907,5.0,4.933303124557309,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022780275.1 Prevotella sp.,0efe65561c2ccbd32a73faf2b8eacf02,0.18181818181818182,430000,8,58830000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9062848381116159,0.9671260570018316,0.9367054475567238,0.9671260570018316,False,266,11187,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900543975
530000,0.007967528562838245,0.14189189189189189,0.006313890559230307,0.024008014598017817,15.976190476190476,8.0,23.303880828694705,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000834015.1 Prevotella pectinovora,998bf93c9b97aad01e78f3ba768ae63b,0.17905405405405406,420000,9,58410000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9095979710070475,0.9668355940042277,0.9382167825056376,0.9668355940042277,False,671,11858,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pectinovora
420000,0.006313890559230307,0.10242587601078167,0.005712567648827421,0.07789187448567032,57.28947368421053,25.0,121.7268097215488,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531135.1 Segatella hominis,fbfb9fa1cd55529571913ff882c8b132,0.11320754716981132,380000,10,58030000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9054585408128886,0.9581831665816657,0.9318208536972772,0.9581831665816657,False,2177,14035,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945863825
2540000,0.03818400481058328,0.12211221122112212,0.005562236921226699,0.013560413610504848,10.243243243243244,5.0,11.45945945945946,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_037247825.1 Prevotella sp.,d023cd9b314ef6acd6593cdde9eec80e,0.8382838283828383,370000,11,57660000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9379803804725924,0.996547179868163,0.9672637801703776,0.996547179868163,False,379,14414,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
370000,0.005562236921226699,0.11326860841423948,0.005261575466025256,0.015456724748649326,12.342857142857143,8.0,11.242630239133435,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_958366005.1 uncultured Prevotella sp.,63a2c62758af4c722d85d6b69ac1b5e4,0.11974110032362459,350000,12,57310000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9032109738725029,0.959237918761615,0.9312244463170589,0.959237918761615,False,432,14846,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436915
440000,0.00661455201443175,0.10355029585798817,0.005261575466025256,0.017388815342230492,13.885714285714286,7.0,15.182266777059214,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531415.1 Segatella copri,bc0d0c632b87ac4d8583d45ab9a636fe,0.1301775147928994,350000,13,56960000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9062848381116159,0.9608109862921631,0.9335479122018895,0.9608109862921631,False,486,15332,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri
680000,0.010222489476849068,0.08959537572254335,0.0046602525556223694,0.003291709900175319,2.967741935483871,1.0,3.514797025000318,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531355.1 Leyella stercorea,54ca2f53dc3b2581e6ad7338841f2186,0.19653179190751446,310000,14,56650000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9140536757563121,0.96860284749412,0.9413282616252161,0.96860284749412,False,92,15424,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552515
2370000,0.035628382441371016,0.1039426523297491,0.004359591100420926,0.005188021038319797,5.0,4.0,5.212716546399147,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945949445.1 uncultured Bacteroidales bacterium,cabd04d92abe55c5033d59d55c605a96,0.8494623655913979,290000,15,56360000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9367071714383199,0.9968060597358595,0.9667566155870897,0.9968060597358595,False,145,15569,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
420000,0.006313890559230307,0.08333333333333333,0.004209260372820205,0.01330995742244803,13.285714285714286,10.5,12.469554760229709,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_036298005.1 Segatella copri,87f15e944fac495c7d4032c34adb8e84,0.125,280000,16,56080000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.9054585408128886,0.9600466868547932,0.9327526138338409,0.9600466868547932,False,372,15941,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sinensis
1420000,0.021346963319302466,0.08253968253968254,0.0039085989176187615,0.0032201509893019426,3.4615384615384617,2.0,2.911922035499646,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963602675.1 bacterium,c52e94ee1cdb20b761604b3f5594c769,0.4507936507936508,260000,17,55820000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.92734617373047,0.984498935289431,0.9559225545099506,0.984498935289431,False,90,16031,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975
260000,0.0039085989176187615,0.09663865546218488,0.0034576067348165967,0.002110987870764607,2.5652173913043477,3.0,1.3776503928482486,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_958448905.1 uncultured Prevotella sp.,acdc7c92ad13352bdfa0ccd317033593,0.1092436974789916,230000,18,55590000,outputs.mapping/bams.cds.rand/ERR3211801.x.s__Prevotella sp000434975.fastq.gz,ERR3211801.x.s__Prevotella sp000434975,f8943ef2,66520000,51,DNA,10000,6652,True,0.8969840645108992,0.9575137677970558,0.9272489161539774,0.9575137677970558,False,59,16090,27949,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022788105
