intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
910000,0.1104368932038835,0.4504950495049505,0.1104368932038835,0.14119977362761743,5.483516483516484,4.0,10.320536059595966,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_901971765.1 Limosilactobacillus reuteri,c6584976189db17036f52cc77976f9eb,0.4504950495049505,910000,0,7330000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9577177420599163,0.984486144421449,0.9711019432406827,0.984486144421449,False,499,499,3534,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
400000,0.04854368932038835,0.1792452830188679,0.04611650485436893,0.07611771363893605,7.078947368421052,5.0,8.67659155413172,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027695305.1 Lactobacillus crispatus,bdb44496d2aff5b1f2b6ea5c8f06f73d,0.18867924528301888,380000,1,6950000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9424056857294083,0.9678287352665268,0.9551172104979675,0.9678287352665268,False,269,768,3534,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
290000,0.03519417475728155,0.00012378879071157212,0.03519417475728155,0.012733446519524618,1.5517241379310345,1.0,1.162227554920877,/group/ctbrowngrp5/sourmash-db.new/ncbi-euks-2025.01/ncbi-euks-all-2025.01-k51.dna.rocksdb,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,0.00012378879071157212,290000,2,6660000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9364819847057896,0.8382738301440297,0.8873779074249096,0.9364819847057896,False,45,813,3534,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa;unclassified Sus scrofa subspecies/strain
120000,0.014563106796116505,0.07407407407407407,0.014563106796116505,0.004527447651386531,1.3333333333333333,1.0,0.6236095644623235,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000204985.1 Lactobacillus johnsonii DPC 6026,e0ec82c5623dd8316458c04296771a87,0.07407407407407407,120000,3,6540000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.920418572086174,0.9502471872885216,0.9353328796873478,0.9502471872885216,False,16,829,3534,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
840000,0.10194174757281553,0.038314176245210725,0.012135922330097087,0.02037351443123939,7.2,4.5,8.715503427800371,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002128515.1 Limosilactobacillus reuteri,d5ae3ccf56e2809b1a47738b90552564,0.3218390804597701,100000,4,6440000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9562158166393362,0.9780157717738684,0.9671157942066023,0.9780157717738684,False,72,901,3534,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_I
90000,0.010922330097087379,0.014827018121911038,0.010922330097087379,0.09422750424448217,37.0,22.0,42.79667692187742,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040097765.1 Enterocloster aldenensis,187735c4e56a17bbe7ff8c43f6a2d45f,0.014827018121911038,90000,5,6350000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9152412679015896,0.9207427548594629,0.9179920113805262,0.9207427548594629,False,333,1234,3534,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis
360000,0.043689320388349516,0.043243243243243246,0.009708737864077669,0.01726089417091115,7.625,6.0,5.498579361980693,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002218845.1 Lactobacillus crispatus,c9597d08b0db75ca683d6e06a9fe01a0,0.1945945945945946,80000,6,6270000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9404607865932988,0.9684147323852055,0.9544377594892521,0.9684147323852055,False,61,1295,3534,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
60000,0.007281553398058253,0.01718213058419244,0.006067961165048544,0.08375778155065082,59.2,4.0,100.37410024503335,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002251295.1 Prevotella sp. P5-50,e0b4f5e74144729f3a8f0c0fb991e304,0.020618556701030927,50000,7,6220000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9079936771149049,0.9267151019155395,0.9173543895152222,0.9267151019155395,True,296,1591,3534,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251295
50000,0.006067961165048544,0.025,0.006067961165048544,0.00933786078098472,6.6,2.0,7.337574531137657,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004551965.1 Bacteroidales bacterium,ba34461ad72649a5157c2bbf5cb4ef6c,0.025,50000,8,6170000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9047534562576379,0.9302229692504613,0.9174882127540496,0.9302229692504613,True,33,1624,3534,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004552965
50000,0.006067961165048544,0.021645021645021644,0.006067961165048544,0.03225806451612903,22.8,3.0,28.526478927480692,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034174925.1 Succinivibrio sp.,c1dc4da81851644dc3439e87d80898e7,0.021645021645021644,50000,9,6120000,outputs.mapping/bams.cds.rand/SRR7182028.x.s__Lactobacillus amylovorus.fastq.gz,SRR7182028.x.s__Lactobacillus amylovorus,41af671f,8240000,51,DNA,10000,824,True,0.9047534562576379,0.927598336788338,0.916175896522988,0.927598336788338,True,114,1738,3534,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900316375
