intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
190000,0.04611650485436893,0.033391915641476276,0.04611650485436893,0.059886086248982916,19.36842105263158,9.0,25.697041661220542,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009025625.1 Bacteroides salyersiae,5ccd2d137cef097b9c2536c319b8a916,0.033391915641476276,190000,0,3930000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9414583368690954,0.9355172306325548,0.9384877837508251,0.9414583368690954,False,368,368,6145,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae
100000,0.024271844660194174,0.017241379310344827,0.021844660194174758,0.053376729048006506,36.44444444444444,8.0,46.346787281946796,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900480005.1 Escherichia coli,b67dfdd296ced158c90cf5385843f014,0.019157088122605363,90000,1,3840000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9296839827774839,0.9253801645916926,0.9275320736845882,0.9296839827774839,False,328,696,6145,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
80000,0.019417475728155338,0.008291873963515755,0.012135922330097087,0.0014646053702196907,1.8,2.0,0.7483314773547883,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015548595.1 Bacteroides fragilis,c166b4a3c8b7d02f6d23b71fff2fe3d7,0.013266998341625208,50000,2,3790000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9256251630605478,0.9187378761138002,0.922181519587174,0.9256251630605478,False,9,705,6145,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
50000,0.012135922330097087,0.011547344110854504,0.012135922330097087,0.004231082180634662,5.2,5.0,2.039607805437114,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002160465.1 Anaerotruncus colihominis,bb19ca007d85e445187c39e60728900b,0.011547344110854504,50000,3,3740000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9171340123696726,0.9162404333090077,0.9166872228393401,0.9171340123696726,True,26,731,6145,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis
40000,0.009708737864077669,0.022099447513812154,0.009708737864077669,0.16973148901545973,260.75,62.0,381.5221979125199,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_033447155.1 Limosilactobacillus reuteri,6c162d2e6f3fe630829cf273222404ff,0.022099447513812154,40000,4,3700000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.913129983386235,0.9279763123898893,0.9205531478880622,0.9279763123898893,True,1043,1774,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E
60000,0.014563106796116505,0.005698005698005698,0.009708737864077669,0.0026037428803905613,4.0,2.0,4.06201920231798,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_024793155.1 Bacteroides thetaiotaomicron,3561e5c818ea5159f4b11ba17a2313ca,0.008547008547008548,40000,5,3660000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.920418572086174,0.9108509928265499,0.915634782456362,0.920418572086174,True,16,1790,6145,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron
70000,0.01699029126213592,0.008097165991902834,0.009708737864077669,0.0161106590724166,24.75,1.0,41.13620667976084,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_025946545.1 Escherichia coli O125ac:K+:H10,1c7ecc69ca6721ca675b931d07c02f68,0.01417004048582996,40000,6,3620000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9232048032654986,0.9199249001778903,0.9215648517216944,0.9232048032654986,False,99,1889,6145,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
40000,0.009708737864077669,1.7074315960216845e-05,0.009708737864077669,0.025549227013832384,39.25,39.0,28.314086600135983,/group/ctbrowngrp5/sourmash-db.new/ncbi-euks-2025.01/ncbi-euks-all-2025.01-k51.dna.rocksdb,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,1.7074315960216845e-05,40000,7,3580000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.913129983386235,0.8063369016800074,0.8597334425331211,0.913129983386235,True,157,2046,6145,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa;unclassified Sus scrofa subspecies/strain
70000,0.01699029126213592,0.007228915662650603,0.007281553398058253,0.0009764035801464605,2.0,2.0,0.816496580927726,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027686205.1 Phocaeicola massiliensis,4236c11d9b1c04e458454919db2aa5a8,0.016867469879518072,30000,8,3550000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9232048032654986,0.9230734791046142,0.9231391411850565,0.9232048032654986,False,6,2052,6145,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis
30000,0.007281553398058253,0.015,0.007281553398058253,0.3389747762408462,694.3333333333334,188.0,832.5063896985348,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027583955.1 Lactobacillus crispatus,fb3e28616a2c99f5023215f0df582d93,0.015,30000,9,3520000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9079936771149049,0.9209521869155373,0.9144729320152211,0.9209521869155373,True,2083,4135,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
20000,0.0048543689320388345,0.008438818565400843,0.0048543689320388345,0.0014646053702196907,4.5,4.5,2.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015550945.1 Faecalicoccus pleomorphus,5a2ddeeb117d2ed37dc750f793dbe366,0.008438818565400843,20000,10,3500000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.900803478377785,0.9106235044887697,0.9057134914332774,0.9106235044887697,True,9,4144,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus;s__Faecalicoccus sp900546545
20000,0.0048543689320388345,0.006920415224913495,0.0048543689320388345,0.004882017900732303,15.0,15.0,11.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040095105.1 [Ruminococcus] torques,b709d78667ae5178e97f4f1b509a6044,0.006920415224913495,20000,11,3480000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.900803478377785,0.907088477090657,0.9039459777342209,0.907088477090657,True,30,4174,6145,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques
20000,0.0048543689320388345,0.008771929824561403,0.0048543689320388345,0.002278275020341741,7.0,7.0,6.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_004120385.1 Streptococcus agalactiae,6e9da56072eccc8fb777514b334ddfa6,0.008771929824561403,20000,12,3460000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.900803478377785,0.911315028588222,0.9060592534830034,0.911315028588222,True,14,4188,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
20000,0.0048543689320388345,0.005154639175257732,0.0048543689320388345,0.004231082180634662,13.0,13.0,1.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002302065.1 Clostridioides difficile,4791ba81b2e50e4c19e5e89b9b3af733,0.005154639175257732,20000,13,3440000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.900803478377785,0.901864189290774,0.9013338338342796,0.901864189290774,True,26,4214,6145,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile
70000,0.01699029126213592,0.001953125,0.0024271844660194173,0.012367778681855167,76.0,76.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003984495.1 Escherichia coli,89aa4aa8c54a232f4eba9cb370d409dc,0.013671875,10000,14,3430000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9232048032654986,0.9192795718983704,0.9212421875819345,0.9232048032654986,False,76,4290,6145,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
10000,0.0024271844660194173,0.005714285714285714,0.0024271844660194173,0.00032546786004882016,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900985685.1 Streptococcus pyogenes,7ec5d03491ca9b54332fdd09958b7b7a,0.005714285714285714,10000,15,3420000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.9036887208642069,0.8961660459649567,0.9036887208642069,True,2,4292,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
10000,0.0024271844660194173,0.0029585798816568047,0.0024271844660194173,0.00048820179007323027,3.0,3.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963645235.1 Bifidobacterium animalis,654d031e96a7e5cbbfe6fbb6cd326b74,0.0029585798816568047,10000,16,3410000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8920997096774607,0.8903715403715836,0.8920997096774607,True,3,4295,6145,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
10000,0.0024271844660194173,0.0041841004184100415,0.0024271844660194173,0.00016273393002441008,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_020905525.1 Enterococcus faecium,8c03b85a75f95d20e60e73f260c5a4d8,0.0041841004184100415,10000,17,3400000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8981828266298771,0.8934130988477919,0.8981828266298771,True,1,4296,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
10000,0.0024271844660194173,0.0026041666666666665,0.0024271844660194173,0.014646053702196907,90.0,90.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_019126295.1 Thomasclavelia ramosa,81d854c269f04cd49ec1b6c069ed9a7e,0.0026041666666666665,10000,18,3390000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8898705593756182,0.8892569652206623,0.8898705593756182,True,90,4386,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa
10000,0.0024271844660194173,0.0036363636363636364,0.0024271844660194173,0.00016273393002441008,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_018917785.1 Paraeggerthella hongkongensis,ed0e1b179afcf52670cacf241ba6be44,0.0036363636363636364,10000,19,3380000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8957152063205601,0.8921792886931333,0.8957152063205601,True,1,4387,6145,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Paraeggerthella;s__Paraeggerthella hominis
10000,0.0024271844660194173,0.004098360655737705,0.0024271844660194173,0.00032546786004882016,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003446375.1 Eubacteriaceae bacterium,5f6e963d4e10ede6b8dc9ec3dcdb8987,0.004098360655737705,10000,20,3370000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8978182617731918,0.8932308164194491,0.8978182617731918,True,2,4389,6145,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Alkalibacteraceae;g__Alkalibacter;s__Alkalibacter sp003446375
10000,0.0024271844660194173,0.004878048780487805,0.0024271844660194173,0.00016273393002441008,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_014869355.1 Oscillospiraceae bacterium,b2cfa88cb8acca51a741b6cd78e6d97c,0.004878048780487805,10000,21,3360000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.9008894330777228,0.8947664020717148,0.9008894330777228,True,1,4390,6145,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis
10000,0.0024271844660194173,0.0011862396204033216,0.0024271844660194173,0.00016273393002441008,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_041028215.1 Streptomyces flavofungini,c91867cf87829569a5385d1ad9a9a70b,0.0011862396204033216,10000,22,3350000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8762556512173197,0.8824495111415132,0.8886433710657066,True,1,4391,6145,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces flavofungini_B
10000,0.0024271844660194173,0.003367003367003367,0.0024271844660194173,0.00016273393002441008,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_029011395.1 Enterococcus faecalis,14e221663cba1dbe40865b5743d97f0a,0.003367003367003367,10000,23,3340000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.8886433710657066,0.8943645555749845,0.8915039633203455,0.8943645555749845,True,1,4392,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
30000,0.007281553398058253,0.005780346820809248,0.0024271844660194173,0.011879576891781936,73.0,73.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_013694365.1 Limosilactobacillus reuteri,4b62a33136ca59a2c24d9f75386779cc,0.017341040462427744,10000,24,3330000,outputs.mapping/bams.cds.rand/SRR12795775.x.s__Sodaliphilus sp004557565.fastq.gz,SRR12795775.x.s__Sodaliphilus sp004557565,e86af641,4120000,51,DNA,10000,412,True,0.9079936771149049,0.9235747728581746,0.9157842249865398,0.9235747728581746,True,73,4465,6145,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E
