intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
120000,0.06486486486486487,0.0210896309314587,0.06486486486486487,0.010537692515536342,3.25,1.5,3.3942353090693835,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009025625.1 Bacteroides salyersiae,5ccd2d137cef097b9c2536c319b8a916,0.0210896309314587,120000,0,1730000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9477767897138991,0.9271256733630938,0.9374512315384964,0.9477767897138991,False,39,39,3701,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae
70000,0.03783783783783784,0.013539651837524178,0.03783783783783784,0.0032423669278573357,1.7142857142857142,1.0,1.3850513878332367,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_031851515.1 Enterobacter ludwigii,e4282d5711c7ee7e9f0598fab6b05360,0.013539651837524178,70000,1,1660000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9378128996681344,0.9191044162693252,0.9284586579687297,0.9378128996681344,False,12,51,3701,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii
40000,0.021621621621621623,0.008350730688935281,0.021621621621621623,0.1215887597946501,112.5,11.5,181.06697655839952,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945936355.1 Escherichia coli,110979750398054b3f3bb475015e2f69,0.008350730688935281,40000,2,1620000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9275786634388747,0.9104361625170689,0.9190074129779718,0.9275786634388747,True,450,501,3701,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
30000,0.016216216216216217,0.012605042016806723,0.016216216216216217,0.007295325587679005,9.0,2.0,10.614455552060438,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_900755655.1 Bacteroidaceae bacterium,70565451fbfa558c4f355eb68359b82d,0.012605042016806723,30000,3,1590000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9223610841315945,0.9178163089665942,0.9200886965490943,0.9223610841315945,True,27,528,3701,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546645
30000,0.016216216216216217,0.0079155672823219,0.016216216216216217,0.0010807889759524452,1.3333333333333333,1.0,0.4714045207910317,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_938023405.1 Bacteroides ilei,dcefc3add4af25d86b362ec53b656fcf,0.0079155672823219,30000,4,1560000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9223610841315945,0.9094812826078398,0.9159211833697172,0.9223610841315945,True,4,532,3701,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola faecicola
30000,0.016216216216216217,0.012875536480686695,0.016216216216216217,0.2458794920291813,303.3333333333333,413.0,211.8841402486012,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027153925.1 Lactobacillus crispatus,88f9c33a4b93d5e1318c5569b98dd9f2,0.012875536480686695,30000,5,1530000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9223610841315945,0.9181984920039337,0.920279788067764,0.9223610841315945,True,910,1442,3701,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
50000,0.02702702702702703,0.004889975550122249,0.010810810810810811,0.0032423669278573357,6.0,6.0,2.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003458595.1 Phocaeicola plebeius,fb9d8bd0911f9e5d0b9cc53420879e92,0.012224938875305624,20000,6,1510000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9316460491565735,0.9172654451717759,0.9244557471641747,0.9316460491565735,True,12,1454,3701,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A
20000,0.010810810810810811,0.006430868167202572,0.010810810810810811,0.04350175628208592,80.5,80.5,79.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_020553215.1 [Clostridium] nexile,c615cad73babbfa7fc30daae2dfaff6d,0.006430868167202572,20000,7,1490000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9150571131134657,0.9057845199968129,0.9104208165551393,0.9150571131134657,True,161,1615,3701,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas phoceensis
40000,0.021621621621621623,0.003883495145631068,0.010810810810810811,0.0010807889759524452,2.0,2.0,1.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015561035.1 Phocaeicola vulgatus,592f7f2073472d7021949e283cc7fb1d,0.007766990291262136,20000,8,1470000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9275786634388747,0.9091434352157254,0.9183610493273,0.9275786634388747,True,4,1619,3701,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
20000,0.010810810810810811,0.005154639175257732,0.010810810810810811,0.005133747635774115,9.5,9.5,4.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002302065.1 Clostridioides difficile,4791ba81b2e50e4c19e5e89b9b3af733,0.005154639175257732,20000,9,1450000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Prevotella sp000434975.fastq.gz,SRR12795790.x.s__Prevotella sp000434975,f23f6097,1850000,51,DNA,10000,185,True,0.9150571131134657,0.901864189290774,0.9084606512021198,0.9150571131134657,True,19,1638,3701,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile
