intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2000000,0.07513148009015777,0.7299270072992701,0.07513148009015777,0.10844983552631579,5.275,5.0,3.111169394295335,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034104765.1 Bariatricus sp.,5fb309ac99bb26cd210eba81e4539c8d,0.7299270072992701,2000000,0,24620000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9505113191680149,0.9938462527362109,0.9721787859521129,0.9938462527362109,False,1055,1055,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
1950000,0.07325319308790383,0.14232209737827714,0.014274981217129978,0.019325657894736843,4.947368421052632,4.0,4.9308233988434145,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034089445.1 Bariatricus sp.,9d20418ff58b4b6be00dd7d677cf98ec,0.7303370786516854,380000,1,24240000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9500395762107072,0.9938571975771211,0.9719483868939142,0.9938571975771211,False,188,1243,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
300000,0.011269722013523666,0.07142857142857142,0.0101427498121713,0.07391036184210527,26.62962962962963,6.0,73.33492328990944,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.07936507936507936,270000,2,23970000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9158033327894348,0.9515335529178865,0.9336684428536607,0.9515335529178865,False,719,1962,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
1750000,0.06574004507888806,0.10666666666666667,0.009015777610818933,0.010382401315789474,4.208333333333333,3.0,5.243878706538596,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945864945.1 uncultured bacterium,a85a13152b1fe03742052de93510692a,0.7777777777777778,240000,3,23730000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9480258861077828,0.9950843874743182,0.9715551367910504,0.9950843874743182,False,101,2063,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
220000,0.008264462809917356,0.09401709401709402,0.008264462809917356,0.02261513157894737,10.0,10.0,6.4666979068286325,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022779605.1 Lachnobacterium sp.,50cd1a9ae18f4e55f69ca9d51073c99b,0.09401709401709402,220000,4,23510000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9102508039235093,0.9546997315774514,0.9324752677504804,0.9546997315774514,False,220,2283,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900549895
250000,0.009391435011269721,0.056338028169014086,0.007513148009015778,0.006887335526315789,3.35,2.0,3.305676935213119,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034103665.1 Blautia sp.,feb8d436083d4d3ce1ba8a5398c30a0c,0.07042253521126761,200000,5,23310000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9125352427852317,0.9493057488331388,0.9309204958091852,0.9493057488331388,False,67,2350,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065
210000,0.007888805409466567,0.06153846153846154,0.007513148009015778,0.006887335526315789,3.35,2.0,3.758656674930553,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034086425.1 Oliverpabstia sp.,3e5d4b4fde161cf88ed9a189925e3d4b,0.06461538461538462,200000,6,23110000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9094208906900345,0.9477051782320637,0.9285630344610492,0.9477051782320637,False,67,2417,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp022764165
300000,0.011269722013523666,0.05723905723905724,0.006386175807663411,0.005550986842105263,3.176470588235294,2.0,3.364788152017669,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009696065.1 Oliverpabstia intestinalis,73677b2e91ab00f52564bad2dbf630bb,0.10101010101010101,170000,7,22940000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9158033327894348,0.9560436940473637,0.9359235134183992,0.9560436940473637,False,54,2471,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis
1660000,0.06235912847483095,0.06696428571428571,0.005634861006761833,0.007915296052631578,5.133333333333334,3.0,6.458758050550861,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945947505.1 uncultured bacterium,e11b17d6f92655e869f92e5918a7ee33,0.7410714285714286,150000,8,22790000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9470449420655075,0.9941415756608722,0.9705932588631898,0.9941415756608722,False,77,2548,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
150000,0.005634861006761833,0.047619047619047616,0.005634861006761833,0.002569901315789474,1.6666666666666667,1.0,0.7888106377466155,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022787145.1 Lachnospiraceae bacterium,d0862086a2034a2fb11b1c8e4afd51cd,0.047619047619047616,150000,9,22640000,outputs.mapping/bams.cds.rand/SRR10209667.x.s__Bariatricus sp004560705.fastq.gz,SRR10209667.x.s__Bariatricus sp004560705,d86ab993,26620000,51,DNA,10000,2662,True,0.9034407397591178,0.9420503851773752,0.9227455624682465,0.9420503851773752,False,25,2573,9728,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JALFVM01;s__JALFVM01 sp022787145
