intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2250000,0.05512003919647232,0.6048387096774194,0.05512003919647232,0.028463313030056593,7.622222222222222,2.0,28.299579022301838,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022771455.1 bacterium,b87e98acd3536e5eafa858e07ab2c6b5,0.6048387096774194,2250000,0,38570000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9447562952646803,0.9901897424883623,0.9674730188765213,0.9901897424883623,False,1715,1715,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
660000,0.016168544830965213,0.187683284457478,0.01567858892699657,0.04210578726370471,39.640625,42.0,23.969620869120458,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034184045.1 Lachnospiraceae bacterium,b49096a3ec5c734b6c25d44d91ad8d57,0.1935483870967742,640000,1,37930000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9223078407483248,0.9683123735355451,0.945310107141935,0.9683123735355451,False,2537,4252,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
2200000,0.05389514943655071,0.1425233644859813,0.014943655071043607,0.041093389540769756,40.59016393442623,4.0,108.91828446196286,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004562005.1 bacterium,96578991664abd2275b71f54014299fa,0.514018691588785,610000,2,37320000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9443400855590922,0.9870358339322646,0.9656879597456784,0.9870358339322646,False,2476,6728,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
490000,0.01200391964723175,0.13259668508287292,0.011758941695247428,0.07574726569631388,95.08333333333333,11.0,334.4383247409835,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900078295.2 Blautia sp. Marseille-P2398,9bca3150ac384d9da3b1eba867227fe4,0.13535911602209943,480000,3,36840000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9169373602108539,0.9615466149874761,0.939241987599165,0.9615466149874761,False,4564,11292,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
430000,0.010534051935325821,0.1347517730496454,0.009309162175404213,0.01500340232021642,23.789473684210527,9.5,35.75660255167961,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945828465.1 uncultured Ruminococcus sp.,9323176e50fa9ee2158f3f64e4e0b5c1,0.1524822695035461,380000,4,36460000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9145919233643015,0.9637950536082844,0.9391934884862929,0.9637950536082844,False,904,12196,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis
1250000,0.030622243998040175,0.07882882882882883,0.00857422831945125,0.0674323270210612,116.08571428571429,3.0,264.3321905080339,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_020731525.1 Roseburia inulinivorans DSM 16841,b1e9f68d57ff5c0cb20a4cb3ad79b686,0.28153153153153154,350000,5,36110000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9339302689242258,0.9754531434560421,0.9546917061901339,0.9754531434560421,False,4063,16259,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
390000,0.009554140127388535,0.11956521739130435,0.008084272415482607,0.04187343368794915,76.45454545454545,33.0,149.43106060414024,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_021531235.1 Blautia producta,4645e019875be83dc81769376aa27ccc,0.14130434782608695,330000,6,35780000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9128426306331032,0.9623573838112381,0.9376000072221706,0.9623573838112381,False,2523,18782,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis
380000,0.009309162175404213,0.08732394366197183,0.007594316511513963,0.01951770036346738,37.935483870967744,20.0,39.02599256564285,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034103665.1 Blautia sp.,feb8d436083d4d3ce1ba8a5398c30a0c,0.10704225352112676,310000,7,35470000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9123778170262775,0.9571316366009357,0.9347547268136066,0.9571316366009357,False,1176,19958,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065
350000,0.00857422831945125,0.06382978723404255,0.005879470847623714,0.008132375151444741,20.416666666666668,10.5,23.517576169513916,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003469945.1 Blautia obeum,30426620a84a0c690d46b4b34255fffe,0.09308510638297872,240000,8,35230000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.910907782636386,0.9545132572498549,0.9327105199431205,0.9545132572498549,False,490,20448,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum
450000,0.011024007839294463,0.05707196029776675,0.005634492895639392,0.00403299420775729,10.565217391304348,4.0,13.29212282897533,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022782205.1 Lachnospiraceae bacterium,5d1fe08c84b2c770dab5488addf16ba5,0.11166253101736973,230000,9,35000000,outputs.mapping/bams.cds.rand/SRR17241521.x.s__Roseburia inulinivorans.fastq.gz,SRR17241521.x.s__Roseburia inulinivorans,982a68dc,40820000,51,DNA,10000,4082,True,0.9154075715612566,0.9579250249587873,0.936666298260022,0.9579250249587873,False,243,20691,60253,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp004556655
