species,gene_name,description
s__Phascolarctobacterium_A succinatutens,CNENGHLA_01260,BLAST match to hydrogenase large subunit [Phascolarctobacterium succinatutens]
s__Phascolarctobacterium_A succinatutens,EHOAPHDI_01174,BLAST match to protein phosphatase 2C domain-containing protein partial [Phascolarctobacterium succinatutens]
s__Phascolarctobacterium_A succinatutens,CNENGHLA_00658,BLAST match to 4-hydroxy-3-methylbut-2-enyl diphosphate reductase partial [Phascolarctobacterium succinatutens]
s__Phascolarctobacterium_A succinatutens,IFIBFMPA_00800,BLAST match to  2-isopropylmalate synthase [Phascolarctobacterium sp.]
