intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
60000,0.02912621359223301,2.5611473940325264e-05,0.02912621359223301,0.0027063599458728013,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/ncbi-euks-2025.01/ncbi-euks-all-2025.01-k51.dna.rocksdb,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,2.5611473940325264e-05,60000,0,2000000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.9330134880817497,0.8127730697358785,0.8728932789088141,0.9330134880817497,True,6,6,2217,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa;unclassified Sus scrofa subspecies/strain
50000,0.024271844660194174,0.012987012987012988,0.024271844660194174,0.08795669824086604,39.0,2.0,73.02328395792674,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027660365.1 Mediterraneibacter gnavus,b7a7c051d835f14a4483221747846be9,0.012987012987012988,50000,1,1950000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.9296839827774839,0.9183537120490333,0.9240188474132586,0.9296839827774839,True,195,201,2217,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
40000,0.019417475728155338,0.0068846815834767644,0.019417475728155338,0.011727559765448805,6.5,2.5,7.88986691902975,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_013327835.1 Bacteroides fragilis,2568606af144eada2c4ecd83841efa7c,0.0068846815834767644,40000,2,1910000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.9256251630605478,0.9069964053791211,0.9163107842198344,0.9256251630605478,True,26,227,2217,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
30000,0.014563106796116505,0.016129032258064516,0.014563106796116505,0.41271989174560214,305.0,425.0,215.79156610025333,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_008694745.1 Lactobacillus crispatus,235fce7440bdc6c4b2bc4272ccdb2c1c,0.016129032258064516,30000,3,1880000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.920418572086174,0.9222635930295016,0.9213410825578378,0.9222635930295016,True,915,1142,2217,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
20000,0.009708737864077669,0.005154639175257732,0.009708737864077669,0.0009021199819576004,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_964239495.1 [Clostridium] innocuum,8ee86bd0dbb271ec8390fe61d9875b8a,0.005154639175257732,20000,4,1860000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.913129983386235,0.901864189290774,0.9074970863385046,0.913129983386235,True,2,1144,2217,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum
30000,0.014563106796116505,7.704783514845192e-06,0.009708737864077669,0.0009021199819576004,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/ncbi-euks-2025.01/ncbi-euks-all-2025.01-k51.dna.rocksdb,GCA_023783065.1 southern white-cheeked gibbon (Nomascus siki),283831ff296a3d002cab236d6128b21f,1.1557175272267787e-05,20000,5,1840000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.920418572086174,0.8001900937786188,0.8603043329323964,0.920418572086174,True,2,1146,2217,Eukaryota;Chordata;Mammalia;Primates;Hylobatidae;Nomascus;Nomascus siki;unclassified Nomascus siki subspecies/strain
10000,0.0048543689320388345,0.0017921146953405018,0.0048543689320388345,0.0004510599909788002,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_948624845.1 Phocaeicola dorei,fdd732eeceb7828b3bad1f2cbc0321ed,0.0017921146953405018,10000,6,1830000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.900803478377785,0.8833736232549991,0.892088550816392,0.900803478377785,True,1,1147,2217,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
10000,0.0048543689320388345,0.0041841004184100415,0.0048543689320388345,0.0009021199819576004,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_020905525.1 Enterococcus faecium,8c03b85a75f95d20e60e73f260c5a4d8,0.0041841004184100415,10000,7,1820000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.900803478377785,0.8981828266298771,0.899493152503831,0.900803478377785,True,2,1149,2217,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
10000,0.0048543689320388345,0.0037593984962406013,0.0048543689320388345,0.0009021199819576004,2.0,2.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_014000865.1 Enterococcus hirae,f6a6262d3b2d8543ff6b817903a2b71a,0.0037593984962406013,10000,8,1810000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.900803478377785,0.896299803565827,0.898551640971806,0.900803478377785,True,2,1151,2217,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
10000,0.0048543689320388345,0.007407407407407408,0.0048543689320388345,0.0004510599909788002,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_037064685.1 Sutterella wadsworthensis,f12afecd0cab645075888b66cf6aba31,0.007407407407407408,10000,9,1800000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__Holdemanella porci.fastq.gz,SRR12795790.x.s__Holdemanella porci,97bb821e,2060000,51,DNA,10000,206,True,0.900803478377785,0.9082988192772692,0.9045511488275271,0.9082988192772692,True,1,1152,2217,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A
