intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1370000,0.10855784469096671,0.7287234042553191,0.10855784469096671,0.2513527309851965,17.970802919708028,15.0,23.609023885886746,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027683005.1 Holdemanella porci,13fcb172b92ef55a3f6332274ecfdf07,0.7287234042553191,1370000,0,11250000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9573955318797633,0.9938140936163294,0.9756048127480463,0.9938140936163294,False,2462,2462,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
1260000,0.09984152139461172,0.22012578616352202,0.0277337559429477,0.03971413986727922,11.114285714285714,11.0,6.692304444323361,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_036298905.1 Holdemanella sp.,e0edcb9d426f87906c18336df5f4abf2,0.7924528301886793,350000,1,10900000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9558255838960151,0.9954491650969977,0.9756373744965063,0.9954491650969977,False,389,2851,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
1210000,0.09587955625990491,0.0963855421686747,0.012678288431061807,0.012557427258805513,7.6875,4.0,10.281772403141396,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009696075.1 Holdemanella porci,a84000c7ef58f47f4eafd654fbfc98c6,0.7289156626506024,160000,2,10740000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9550670090094957,0.9938192340695362,0.974443121539516,0.9938192340695362,False,123,2974,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
1240000,0.098256735340729,0.08974358974358974,0.011093502377179081,0.01031138335885656,7.214285714285714,3.5,7.062765255990353,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034172225.1 Holdemanella porci,e534a57ba7fbc4ee344c1a5ab1f36480,0.7948717948717948,140000,3,10600000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9555257576837856,0.9955086567441666,0.9755172072139761,0.9955086567441666,False,101,3075,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
120000,0.009508716323296355,0.04918032786885246,0.009508716323296355,0.02930066360387953,23.916666666666668,3.0,32.00900480941088,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_902362575.1 Catenibacterium mitsuokai,c152f5a66b9ecf767b94aef6757699e6,0.04918032786885246,120000,4,10480000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.912757334019612,0.9426464826670732,0.9277019083433427,0.9426464826670732,False,287,3362,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai_A
710000,0.056259904912836764,0.04721030042918455,0.008716323296354992,0.016743236345074016,14.909090909090908,1.0,36.07934323493795,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_040930005.1 Erysipelotrichaceae bacterium 1033st1_E7_1033SCRN_220408,fb12c6d106ff67f7d8c41d7e54dfed16,0.30472103004291845,110000,5,10370000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9451355479175488,0.9769682268939707,0.9610518874057598,0.9769682268939707,False,164,3526,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915
120000,0.009508716323296355,0.059782608695652176,0.008716323296354992,0.02154160285860133,19.181818181818183,16.0,15.902076375676579,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034099185.1 Bulleidia sp.,789800c7d987e9e369991fa654400854,0.06521739130434782,110000,6,10260000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.912757334019612,0.9478775208340171,0.9303174274268146,0.9478775208340171,False,211,3737,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900539965
80000,0.006339144215530904,0.0221606648199446,0.006339144215530904,0.07585502807554875,92.875,8.0,218.36233506490996,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003480065.1 Firmicutes bacterium AM43-11BH,6705bbeb0fc259c5aba9783798c0c9bb,0.0221606648199446,80000,7,10180000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9055294129494809,0.9280266474356654,0.9167780301925732,0.9280266474356654,False,743,4480,9795,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella hominis
600000,0.04754358161648178,0.027450980392156862,0.005546751188589541,0.13067891781521185,182.85714285714286,6.0,399.4748082782938,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_958437275.1 uncultured Erysipelotrichaceae bacterium,1deebb4af858a259717b7864a9a2ddf4,0.23529411764705882,70000,8,10110000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.942021088915944,0.9720277160730982,0.9570244024945211,0.9720277160730982,False,1280,5760,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915
1200000,0.09508716323296355,0.041666666666666664,0.005546751188589541,0.001633486472690148,2.2857142857142856,2.0,1.4846149779161804,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963594635.1 Lachnospiraceae bacterium,f0ee3214b537bb9ff2f93c5a7dfe4739,0.7142857142857143,70000,9,10040000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9549116115985375,0.9934242208507227,0.9741679162246302,0.9934242208507227,False,16,5776,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
1050000,0.0832012678288431,0.056,0.005546751188589541,0.003777437468095967,5.285714285714286,4.0,5.091008480344418,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945989275.1 uncultured Solobacterium sp.,24c8d70e7313247e874f5e9c7e484430,0.84,70000,10,9970000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9524146724867087,0.9965871432146647,0.9745009078506868,0.9965871432146647,False,37,5813,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
1320000,0.1045958795562599,0.03468208092485549,0.004754358161648178,0.001225114854517611,2.0,1.5,1.1547005383792515,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945907595.1 uncultured Solobacterium sp.,7bbf4656b5f86690d45e9f158166bf4b,0.7630057803468208,60000,11,9910000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9566978448140232,0.9947103208286621,0.9757040828213426,0.9947103208286621,False,12,5825,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci
450000,0.03565768621236133,0.022222222222222223,0.003961965134706815,0.03950995405819296,77.4,1.0,151.80197627172052,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_036303645.1 Holdemanella sp.,6a126854eef5739853c110a723dd6675,0.2,50000,12,9860000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.9367222717543596,0.9689351382462063,0.9528287050002829,0.9689351382462063,False,387,6212,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis
50000,0.003961965134706815,0.025510204081632654,0.003961965134706815,0.0027565084226646246,5.4,2.0,6.086049621881176,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003725415.1 Absicoccus porci,7adac8e22728fc858c50f97991f19c39,0.025510204081632654,50000,13,9810000,outputs.mapping/bams.cds.rand/SRR8960101.x.s__Holdemanella porci.fastq.gz,SRR8960101.x.s__Holdemanella porci,f670dc0d,12620000,51,DNA,10000,1262,True,0.8972226090646876,0.9305915328805314,0.9139070709726096,0.9305915328805314,True,27,6239,9795,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__Absicoccus porci
