intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1520000,0.09954158480681075,0.6495726495726496,0.09954158480681075,0.07629612859406837,2.2171052631578947,2.0,1.2717464326349288,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034174305.1 Gemmiger qucibialis,085bbb933225d7a6722bd06e3adfb201,0.6495726495726496,1520000,0,13750000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9557691984426554,0.9915760623915184,0.9736726304170868,0.9915760623915184,False,337,337,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
430000,0.028159790438768827,0.13870967741935483,0.028159790438768827,0.014036676477247,1.441860465116279,1.0,0.7564398124321206,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004555365.1 Subdoligranulum variabile,5d3f8307d7c941d3ac7e7948c432e38f,0.13870967741935483,430000,1,13320000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9323963759569573,0.9620077349327224,0.9472020554448399,0.9620077349327224,False,62,399,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis_B
410000,0.026850032743942372,0.11079545454545454,0.025540275049115914,0.08648403894045732,9.794871794871796,1.0,36.107517142754816,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_041330965.1 Gemmiger formicilis,46111ac4c050ac4b66ad8e0d8a4b4533,0.11647727272727272,390000,2,12930000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9315260330025055,0.95871827026971,0.9451221516361077,0.95871827026971,False,382,781,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
1400000,0.091683038637852,0.0898876404494382,0.020956123117223315,0.014036676477247,1.9375,1.0,1.539835624344365,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_021620765.1 Oscillospiraceae bacterium,3e8edd2f7be55371f092d9fc5952f759,0.39325842696629215,320000,3,12610000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9542292513239397,0.9818666533344648,0.9680479523292023,0.9818666533344648,False,62,843,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
310000,0.020301244269810084,0.12184873949579832,0.01899148657498363,0.018564636631197645,2.8275862068965516,1.0,5.038260273883829,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022772255.1 Faecalibacterium sp.,20a653e08905c968feaa8457858996cf,0.13025210084033614,290000,4,12320000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9264333270147779,0.960821777435312,0.943627552225045,0.960821777435312,False,82,925,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp003449675
280000,0.0183366077275704,0.10204081632653061,0.016371971185330715,0.03260131310844465,5.76,1.0,9.449994708993229,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004559325.1 bacterium,1233462b0e3f0bfb40fa4e874dd5742d,0.11428571428571428,250000,5,12070000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9245862515501354,0.9583612688750863,0.9414737602126109,0.9583612688750863,False,144,1069,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
230000,0.015062213490504257,0.11578947368421053,0.014407334643091027,0.008376726284808693,1.6818181818181819,1.0,1.2205201438270503,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_946055545.1 uncultured bacterium,45ec3272b6f7be4f3af981ba8953beb0,0.12105263157894737,220000,6,11850000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9210269313326949,0.9594428321348742,0.9402348817337846,0.9594428321348742,False,37,1106,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp004561545
1420000,0.09299279633267846,0.07555555555555556,0.011132940406024885,0.005433552184740774,1.411764705882353,1.0,0.8442764761416072,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945963285.1 uncultured Clostridia bacterium,3e565f3b974db11ccd55e6a7fb1a0249,0.6311111111111111,170000,7,11680000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9544946881102804,0.9910156352402516,0.972755161675266,0.9910156352402516,False,24,1130,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
460000,0.030124426981008513,0.058419243986254296,0.011132940406024885,0.005886348200135839,1.5294117647058822,1.0,0.9150793638884732,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_019418285.1 Oscillospiraceae bacterium,0c62e98d1053433823091a402b9c1d57,0.15807560137457044,170000,8,11510000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9336301720555604,0.964476094081479,0.9490531330685197,0.964476094081479,False,26,1156,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
240000,0.015717092337917484,0.05245901639344262,0.010478061558611657,0.022413402762055695,6.1875,1.0,17.536457559895045,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009679665.1 Faecalibacterium sp. BIOML-A4,c2976c97ede54b479bc64fac2093a2aa,0.07868852459016394,160000,9,11350000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Gemmiger qucibialis.fastq.gz,ERR1135303.x.s__Gemmiger qucibialis,47b342e8,15270000,51,DNA,10000,1527,True,0.9217958511612597,0.9513738368209864,0.9365848439911231,0.9513738368209864,False,99,1255,4417,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium taiwanense
