intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
110000,0.03125,0.04119850187265917,0.03125,0.042027194066749075,3.090909090909091,1.0,5.991729837557848,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034089445.1 Bariatricus sp.,9d20418ff58b4b6be00dd7d677cf98ec,0.04119850187265917,110000,0,3410000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9343019501159521,0.9393789243231081,0.93684043721953,0.9393789243231081,False,34,34,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
110000,0.03125,0.02102803738317757,0.02556818181818182,0.06056860321384425,5.444444444444445,1.0,7.181938938307694,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004562005.1 bacterium,96578991664abd2275b71f54014299fa,0.02570093457943925,90000,1,3320000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9343019501159521,0.9307274607000469,0.9325147054079994,0.9343019501159521,False,49,83,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
70000,0.019886363636363636,0.018276762402088774,0.019886363636363636,0.054388133498145856,6.285714285714286,2.0,11.731694381513035,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040092875.1 Blautia wexlerae,64d1cff9ab2ebbd5d09a254a0144ba22,0.018276762402088774,70000,2,3250000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.926058325939385,0.9245269884663992,0.9252926572028921,0.926058325939385,False,44,127,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
60000,0.017045454545454544,0.015424164524421594,0.017045454545454544,0.024721878862793572,3.3333333333333335,2.5,2.6246692913372702,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_001406435.1 Roseburia intestinalis,f6b26d9a07e109bc98f6a688cb57f8df,0.015424164524421594,60000,3,3190000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9232634828314646,0.921455872428926,0.9223596776301953,0.9232634828314646,True,20,147,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
70000,0.019886363636363636,0.01643835616438356,0.017045454545454544,0.023485784919653894,3.1666666666666665,2.5,2.4094720491334933,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022782435.1 Lachnospiraceae bacterium,5c2ffea3e1ece2c92b660a036b998227,0.019178082191780823,60000,4,3130000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.926058325939385,0.9254000385300994,0.9257291822347422,0.926058325939385,False,19,166,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp004556565
80000,0.022727272727272728,0.013114754098360656,0.011363636363636364,0.012360939431396786,2.5,1.0,2.598076211353316,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_039832105.1 Dorea sp. YH-dor226,3c56cbfb20755d30fd6683468b687848,0.02622950819672131,40000,5,3090000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9284861667955484,0.931099053665909,0.9297926102307287,0.931099053665909,False,10,176,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A sp016295505
30000,0.008522727272727272,0.005504587155963303,0.008522727272727272,0.042027194066749075,11.333333333333334,3.0,12.498888839501783,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015235485.1 Bacteroides acidifaciens,14b0346a97631b88c0d2270690e791b3,0.005504587155963303,30000,6,3060000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9108001839010786,0.9030264794968282,0.9069133316989535,0.9108001839010786,True,34,210,809,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens
30000,0.008522727272727272,0.007462686567164179,0.008522727272727272,0.06551297898640297,17.666666666666668,9.0,18.208667044996886,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009718105.1 Ruthenibacterium lactatiformans,db9099b0c692e67c8a3b4a6a5c0ee20d,0.007462686567164179,30000,7,3030000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9108001839010786,0.9084312442666432,0.909615714083861,0.9108001839010786,True,53,263,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
30000,0.008522727272727272,0.010273972602739725,0.008522727272727272,0.006180469715698393,1.6666666666666667,1.0,0.9428090415820634,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945963325.1 uncultured Clostridium sp.,c72e40e1317e7f0af39a23d82804a2a6,0.010273972602739725,30000,8,3000000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9108001839010786,0.9141437166561762,0.9124719502786274,0.9141437166561762,True,5,268,809,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp017622575
30000,0.008522727272727272,0.008086253369272238,0.008522727272727272,0.06551297898640297,17.666666666666668,17.0,13.072447700751718,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531135.1 Segatella hominis,fbfb9fa1cd55529571913ff882c8b132,0.008086253369272238,30000,9,2970000,outputs.mapping/bams.cds.rand/ERR3211783.x.s__JAFBIX01 sp021531895.fastq.gz,ERR3211783.x.s__JAFBIX01 sp021531895,091864ec,3520000,51,DNA,10000,352,True,0.9108001839010786,0.909861813237758,0.9103309985694183,0.9108001839010786,True,53,321,809,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945863825
