intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
120000,0.013172338090010977,0.037267080745341616,0.013172338090010977,0.13709884467265726,44.5,3.5,79.74386078773296,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_003477595.1 Clostridium sp. AF37-7,643ddbb29adc2dcb4b1adbab34991aaf,0.037267080745341616,120000,0,8990000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.9186088909047837,0.9375334506382956,0.9280711707715397,0.9375334506382956,False,534,534,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea fessa
90000,0.009879253567508232,0.03557312252964427,0.009879253567508232,0.045699614890885754,19.77777777777778,13.0,19.41807736092999,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003435415.1 Faecalicoccus pleomorphus,8c1715b0824d8b3e115ca7dbb1d46701,0.03557312252964427,90000,1,8900000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.91344176607798,0.9366786626895717,0.9250602143837758,0.9366786626895717,False,178,712,3895,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus;s__Faecalicoccus sp900546545
80000,0.008781558726673985,0.03333333333333333,0.008781558726673985,0.009242618741976894,4.5,4.5,2.958039891549808,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034099845.1 Faecousia sp.,5f934a406218ceb63e362d93f2fbd61c,0.03333333333333333,80000,2,8820000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.9113346326651475,0.9354850213892802,0.9234098270272139,0.9354850213892802,False,36,748,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp034099845
90000,0.009879253567508232,0.030303030303030304,0.008781558726673985,0.04261874197689345,20.75,6.5,38.09117351828373,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000765235.1 Oscillibacter sp. ER4,b86d494b379656b1b7a7b4d8bf763e29,0.03409090909090909,80000,3,8740000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.91344176607798,0.9358973283021059,0.924669547190043,0.9358973283021059,False,166,914,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis
90000,0.009879253567508232,0.021164021164021163,0.008781558726673985,0.06983311938382541,34.0,6.0,62.639843550251626,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004552745.1 Bacteroidales bacterium,3e08b90199a5db83c0a22b1dda3b56da,0.023809523809523808,80000,4,8660000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.91344176607798,0.9293334784911674,0.9213876222845737,0.9293334784911674,False,272,1186,3895,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000433355
70000,0.007683863885839737,0.02413793103448276,0.007683863885839737,0.006418485237483954,3.5714285714285716,3.0,2.6108095546424384,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945877945.1 uncultured Clostridia bacterium,4ee1ded38b6064222e99ba5b00a3150b,0.02413793103448276,70000,5,8590000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.908951640291166,0.9295831354442654,0.9192673878677158,0.9295831354442654,False,25,1211,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp016302405
70000,0.007683863885839737,0.01694915254237288,0.006586169045005488,0.026957637997432605,17.5,15.5,14.545904349105742,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_021640625.1 Bacteroidales bacterium,73de56fbc82ef6758ec03b140ead1db6,0.01977401129943503,60000,6,8530000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.908951640291166,0.925955453155326,0.9174535467232461,0.925955453155326,False,105,1316,3895,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000432515
70000,0.007683863885839737,0.03,0.006586169045005488,0.04544287548138639,29.5,6.0,53.903463092210814,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004551965.1 Bacteroidales bacterium,ba34461ad72649a5157c2bbf5cb4ef6c,0.035,60000,7,8470000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.908951640291166,0.9363803999603123,0.9226660201257392,0.9363803999603123,False,177,1493,3895,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004552965
110000,0.012074643249176729,0.013513513513513514,0.006586169045005488,0.05391527599486521,35.0,1.0,65.48536732227538,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_020731525.1 Roseburia inulinivorans DSM 16841,b1e9f68d57ff5c0cb20a4cb3ad79b686,0.024774774774774775,60000,8,8410000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.9170429834683181,0.9300579179170737,0.9235504506926959,0.9300579179170737,False,210,1703,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
120000,0.013172338090010977,0.013227513227513227,0.005488474204171241,0.03748395378690629,29.2,2.0,49.134102210175776,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.031746031746031744,50000,9,8360000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.9186088909047837,0.9345904989903611,0.9265996949475723,0.9345904989903611,False,146,1849,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
70000,0.007683863885839737,0.008223684210526315,0.005488474204171241,0.021566110397946085,16.8,2.0,27.679595372765117,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_024462715.1 Blautia producta,c06f49c8ef794aa66533ee63f1e07297,0.011513157894736841,50000,10,8310000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.908951640291166,0.9161871686386716,0.9125694044649189,0.9161871686386716,False,84,1933,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia coccoides
70000,0.007683863885839737,0.027932960893854747,0.005488474204171241,0.00693196405648267,5.4,5.0,3.6110940170535573,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945917815.1 uncultured Clostridia bacterium,21978f00bce7592dfabe68c0ee2a17f1,0.03910614525139665,50000,11,8260000,outputs.mapping/bams.cds.rand/ERR1135412.x.s__Mogibacterium_A kristiansenii.fastq.gz,ERR1135412.x.s__Mogibacterium_A kristiansenii,c30eabec,9110000,51,DNA,10000,911,True,0.908951640291166,0.938419364488615,0.9236855023898904,0.938419364488615,False,27,1960,3895,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825
