species_with_acc,len
GCA_945928745 s__UBA2868 sp004552595 singlehash,3152
GCA_902756905 s__Prevotella sp002251295 singlehash,3115
GCA_947072165 s__Colivicinus sp002299675 singlehash,3084
GCF_023523445 s__Lactobacillus amylovorus singlehash,3183
GCA_945877245 s__Bariatricus sp004560705 singlehash,3101
GCA_902796665 s__Cryptobacteroides sp000432655 singlehash,3065
GCA_945876855 s__JAFBIX01 sp021531895 singlehash,3136
GCF_008634965 s__Escherichia coli singlehash,3124
GCA_022772045 s__Sodaliphilus sp004557565 singlehash,3188
GCA_028721505 s__Cryptobacteroides sp034089285 singlehash,3111
GCA_945837225 s__Ornithospirochaeta sp022785155 singlehash,3075
GCA_946410115 s__Cryptobacteroides sp900546925 singlehash,3147
GCA_958345775 s__Mogibacterium_A kristiansenii singlehash,3155
GCA_945864645 s__Fimisoma sp002320005 singlehash,3132
GCA_902468955 s__Cryptobacteroides sp000434935 singlehash,3072
GCF_034115845 s__Floccifex porci singlehash,3124
GCA_958450955 s__Prevotella sp000434975 singlehash,3066
